x (m),Y_He_rms (-)
-3.087500000e+00, 1.741410000e-08
-3.062500000e+00, 2.047930000e-08
-3.037500000e+00, 1.989130000e-08
-3.012500000e+00, 1.681910000e-08
-2.987500000e+00, 1.545090000e-08
-2.962500000e+00, 1.463460000e-08
-2.937500000e+00, 1.455070000e-08
-2.912500000e+00, 1.824870000e-08
-2.887500000e+00, 1.956670000e-08
-2.862500000e+00, 2.041750000e-08
-2.837500000e+00, 2.112200000e-08
-2.812500000e+00, 1.955870000e-08
-2.787500000e+00, 1.789220000e-08
-2.762500000e+00, 1.755900000e-08
-2.737500000e+00, 1.778350000e-08
-2.712500000e+00, 1.741340000e-08
-2.687500000e+00, 1.934730000e-08
-2.662500000e+00, 1.942350000e-08
-2.637500000e+00, 1.608920000e-08
-2.612500000e+00, 1.596920000e-08
-2.587500000e+00, 1.631960000e-08
-2.562500000e+00, 1.758720000e-08
-2.537500000e+00, 1.782700000e-08
-2.512500000e+00, 1.653130000e-08
-2.487500000e+00, 1.701240000e-08
-2.462500000e+00, 1.580380000e-08
-2.437500000e+00, 1.495710000e-08
-2.412500000e+00, 1.510520000e-08
-2.387500000e+00, 1.473780000e-08
-2.362500000e+00, 1.709320000e-08
-2.337500000e+00, 1.562470000e-08
-2.312500000e+00, 1.514480000e-08
-2.287500000e+00, 1.374520000e-08
-2.262500000e+00, 1.327700000e-08
-2.237500000e+00, 1.294800000e-08
-2.212500000e+00, 1.254210000e-08
-2.187500000e+00, 1.195240000e-08
-2.162500000e+00, 1.202120000e-08
-2.137500000e+00, 1.092490000e-08
-2.112500000e+00, 1.130930000e-08
-2.087500000e+00, 1.030120000e-08
-2.062500000e+00, 1.091640000e-08
-2.037500000e+00, 1.080680000e-08
-2.012500000e+00, 1.015630000e-08
-1.987500000e+00, 1.036250000e-08
-1.962500000e+00, 1.019260000e-08
-1.937500000e+00, 1.069990000e-08
-1.912500000e+00, 1.032450000e-08
-1.887500000e+00, 8.991330000e-09
-1.862500000e+00, 9.426260000e-09
-1.837500000e+00, 1.459680000e-08
-1.812500000e+00, 2.499220000e-08
-1.787500000e+00, 1.547420000e-08
-1.762500000e+00, 1.542460000e-08
-1.737500000e+00, 1.618230000e-08
-1.712500000e+00, 1.345140000e-08
-1.687500000e+00, 1.252640000e-08
-1.662500000e+00, 1.231940000e-08
-1.637500000e+00, 1.214140000e-08
-1.612500000e+00, 1.249960000e-08
-1.587500000e+00, 1.102140000e-08
-1.562500000e+00, 1.000510000e-08
-1.537500000e+00, 9.852180000e-09
-1.512500000e+00, 1.184620000e-08
-1.487500000e+00, 1.119190000e-08
-1.462500000e+00, 1.217230000e-08
-1.437500000e+00, 1.314420000e-08
-1.412500000e+00, 1.335430000e-08
-1.387500000e+00, 1.384540000e-08
-1.362500000e+00, 1.468180000e-08
-1.337500000e+00, 1.509370000e-08
-1.312500000e+00, 1.476800000e-08
-1.287500000e+00, 1.581100000e-08
-1.262500000e+00, 1.574860000e-08
-1.237500000e+00, 1.488810000e-08
-1.212500000e+00, 1.408420000e-08
-1.187500000e+00, 1.412120000e-08
-1.162500000e+00, 1.353220000e-08
-1.137500000e+00, 1.139680000e-08
-1.112500000e+00, 9.238390000e-09
-1.087500000e+00, 8.038900000e-09
-1.062500000e+00, 6.261430000e-09
-1.037500000e+00, 5.780870000e-09
-1.012500000e+00, 4.557250000e-09
-9.875000000e-01, 4.947830000e-09
-9.625000000e-01, 4.233940000e-09
-9.375000000e-01, 4.977410000e-09
-9.125000000e-01, 4.959170000e-09
-8.875000000e-01, 7.130770000e-09
-8.625000000e-01, 1.777030000e-08
-8.375000000e-01, 2.261990000e-08
-8.125000000e-01, 1.405700000e-08
-7.875000000e-01, 1.065270000e-08
-7.625000000e-01, 1.102070000e-08
-7.375000000e-01, 1.054770000e-08
-7.125000000e-01, 9.057680000e-09
-6.875000000e-01, 9.460740000e-09
-6.625000000e-01, 8.419930000e-09
