Z/Q^0.4 (-),V/Q^0.2 (-)
 0.000000000e+00, 5.401449971e-03
 1.990647158e-03, 2.579239025e-02
 3.991018342e-03, 9.215799975e-02
 6.001312003e-03, 1.833853986e-01
 8.021528139e-03, 2.838755952e-01
 1.005166675e-02, 3.842815967e-01
 1.209192629e-02, 4.808074959e-01
 1.414210830e-02, 5.722326864e-01
 1.620241124e-02, 6.571761904e-01
 1.827283511e-02, 7.358295629e-01
 2.035337990e-02, 8.072305741e-01
 2.244424407e-02, 8.721498988e-01
 2.454542761e-02, 9.322714391e-01
 2.665693053e-02, 9.887044320e-01
 2.877875282e-02, 1.051253821e+00
 3.091129138e-02, 1.102064897e+00
 3.305414933e-02, 1.150327847e+00
 3.520752509e-02, 1.195646195e+00
 3.737161713e-02, 1.237748201e+00
 3.954622700e-02, 1.276807601e+00
 4.173155314e-02, 1.313960361e+00
 4.392779400e-02, 1.350378084e+00
 4.613475114e-02, 1.386354786e+00
 4.835262300e-02, 1.421395986e+00
 5.058140958e-02, 1.454900291e+00
 5.282111089e-02, 1.486324220e+00
 5.507192537e-02, 1.515556403e+00
 5.733365458e-02, 1.526532950e+00
 5.960669540e-02, 1.559801153e+00
 6.189084940e-02, 1.581054848e+00
 6.418631503e-02, 1.607498347e+00
 6.649309228e-02, 1.623891891e+00
 6.881118115e-02, 1.638142692e+00
 7.114078009e-02, 1.651048153e+00
 7.348169065e-02, 1.663080479e+00
 7.583430974e-02, 1.673665006e+00
 7.819843890e-02, 1.678975089e+00
 8.057407813e-02, 1.685265221e+00
 8.296162433e-02, 1.689737807e+00
 8.536087905e-02, 1.694348491e+00
 8.777184230e-02, 1.699320012e+00
 9.019471252e-02, 1.705022114e+00
 9.262968815e-02, 1.714279120e+00
 9.507637231e-02, 1.718658157e+00
 9.753536034e-02, 1.724952743e+00
 1.000062553e-01, 1.731265148e+00
 1.024894542e-01, 1.736989524e+00
 1.049849570e-01, 1.741858585e+00
 1.074925651e-01, 1.746353445e+00
 1.100124772e-01, 1.751071044e+00
 1.125450900e-01, 1.756100476e+00
 1.150900066e-01, 1.760524060e+00
 1.176474256e-01, 1.763410750e+00
 1.202173469e-01, 1.765059014e+00
 1.228001675e-01, 1.777278440e+00
 1.253954903e-01, 1.779274176e+00
 1.280037124e-01, 1.780717521e+00
 1.306248337e-01, 1.781287731e+00
 1.332586557e-01, 1.781679751e+00
 1.359055755e-01, 1.781782210e+00
 1.385655929e-01, 1.781007081e+00
 1.412387079e-01, 1.779799839e+00
 1.439249207e-01, 1.778690602e+00
 1.466244295e-01, 1.778378768e+00
 1.493372345e-01, 1.778418861e+00
 1.520633356e-01, 1.778690602e+00
 1.548027328e-01, 1.768270901e+00
 1.575558230e-01, 1.768435727e+00
 1.603224078e-01, 1.767740784e+00
 1.631026856e-01, 1.766101429e+00
 1.658964580e-01, 1.761878310e+00
 1.687033280e-01, 1.757289899e+00
