Z/Q^0.4 (-),V/Q^0.2 (-)
 0.000000000e+00, 3.006751340e-02
 2.913232579e-03, 1.141948243e-01
 5.840695883e-03, 2.329682197e-01
 8.782680333e-03, 3.565222772e-01
 1.173918593e-02, 4.786234359e-01
 1.471021268e-02, 5.944436098e-01
 1.769605099e-02, 7.038151982e-01
 2.069641046e-02, 8.054426638e-01
 2.371158149e-02, 8.980919049e-01
 2.674156409e-02, 9.820377651e-01
 2.978635827e-02, 1.058638295e+00
 3.284625443e-02, 1.127586317e+00
 3.592125259e-02, 1.189609358e+00
 3.901135275e-02, 1.245149323e+00
 4.211655489e-02, 1.280798155e+00
 4.523743988e-02, 1.325619220e+00
 4.837342686e-02, 1.366694866e+00
 5.152480626e-02, 1.404332273e+00
 5.469186849e-02, 1.439302080e+00
 5.787432314e-02, 1.471760571e+00
 6.107246063e-02, 1.501222728e+00
 6.428657138e-02, 1.527623882e+00
 6.751636497e-02, 1.550554461e+00
 7.076213183e-02, 1.569313885e+00
 7.402387194e-02, 1.583751258e+00
 7.730158532e-02, 1.595181518e+00
 8.059556238e-02, 1.604757932e+00
 8.390551271e-02, 1.633557231e+00
 8.723201714e-02, 1.626206511e+00
 9.057478526e-02, 1.633201551e+00
 9.393410748e-02, 1.632420133e+00
 9.730998381e-02, 1.636548176e+00
 1.007024143e-01, 1.638957099e+00
 1.041116892e-01, 1.639215776e+00
 1.075375183e-01, 1.638730757e+00
 1.109804823e-01, 1.638229572e+00
 1.144402909e-01, 1.646507215e+00
 1.179169440e-01, 1.645817411e+00
 1.214110225e-01, 1.646178480e+00
 1.249222359e-01, 1.646178480e+00
 1.284505843e-01, 1.647277855e+00
 1.319963580e-01, 1.649519716e+00
 1.355598476e-01, 1.656239912e+00
 1.391404721e-01, 1.649476604e+00
 1.427391028e-01, 1.649859229e+00
 1.463551590e-01, 1.648312560e+00
 1.499892213e-01, 1.644680313e+00
 1.536412898e-01, 1.639366670e+00
 1.573110742e-01, 1.633217718e+00
 1.609988648e-01, 1.627122657e+00
 1.647052424e-01, 1.621566505e+00
 1.684296263e-01, 1.617470796e+00
 1.721723068e-01, 1.614533742e+00
 1.759332840e-01, 1.612577502e+00
 1.797131386e-01, 1.612000869e+00
 1.835112899e-01, 1.608206950e+00
 1.873283187e-01, 1.606126761e+00
 1.911642250e-01, 1.607226135e+00
 1.950187183e-01, 1.610923051e+00
 1.988923796e-01, 1.614496018e+00
 2.027852088e-01, 1.617702527e+00
 2.066972059e-01, 1.621027596e+00
 2.106283709e-01, 1.624411944e+00
 2.145789942e-01, 1.627084933e+00
 2.185490759e-01, 1.629375297e+00
 2.225386159e-01, 1.629650140e+00
 2.265476143e-01, 1.622385646e+00
 2.305766518e-01, 1.620337792e+00
 2.346254381e-01, 1.617476185e+00
 2.386942636e-01, 1.612793066e+00
 2.427828379e-01, 1.607280026e+00
 2.468905800e-01, 1.601190354e+00
 2.510203943e-01, 1.595332413e+00
 2.551705382e-01, 1.589533752e+00
 2.593410117e-01, 1.572153935e+00
 2.635318149e-01, 1.568597136e+00
 2.677429476e-01, 1.560244046e+00
 2.719744099e-01, 1.553076556e+00
 2.762262019e-01, 1.546695873e+00
 2.805012276e-01, 1.540131961e+00
 2.847936788e-01, 1.533417154e+00
 2.891093638e-01, 1.526917911e+00
 2.934482826e-01, 1.518721105e+00
 2.978075310e-01, 1.510465018e+00
 3.021871091e-01, 1.500452088e+00
 3.065870167e-01, 1.490282875e+00
 3.110101582e-01, 1.480582512e+00
 3.154565335e-01, 1.472186310e+00
 3.199232384e-01, 1.465805627e+00
 3.244102730e-01, 1.462173380e+00
 3.289234456e-01, 1.460605154e+00
 3.334540435e-01, 1.458562689e+00
 3.380107796e-01, 1.455841199e+00
 3.425878452e-01, 1.453119708e+00
 3.471881447e-01, 1.450505999e+00
 3.518116780e-01, 1.447709061e+00
 3.564584451e-01, 1.446103112e+00
 3.611255419e-01, 1.443349287e+00
 3.658187767e-01, 1.439447586e+00
