Z/Q^0.4 (-),dT (C)
 0.000000000e+00, 8.202100000e+02
 2.913232579e-03, 8.916600000e+02
 5.840695883e-03, 9.466300000e+02
 8.782680333e-03, 9.869300000e+02
 1.173918593e-02, 9.895200000e+02
 1.471021268e-02, 9.878000000e+02
 1.769605099e-02, 9.827300000e+02
 2.069641046e-02, 9.796100000e+02
 2.371158149e-02, 9.750900000e+02
 2.674156409e-02, 9.696300000e+02
 2.978635827e-02, 9.619600000e+02
 3.284625443e-02, 9.530700000e+02
 3.592125259e-02, 9.430000000e+02
 3.901135275e-02, 9.311900000e+02
 4.211655489e-02, 9.076500000e+02
 4.523743988e-02, 8.937000000e+02
 4.837342686e-02, 8.803600000e+02
 5.152480626e-02, 8.666600000e+02
 5.469186849e-02, 8.523400000e+02
 5.787432314e-02, 8.376300000e+02
 6.107246063e-02, 8.227600000e+02
 6.428657138e-02, 8.076500000e+02
 6.751636497e-02, 7.918400000e+02
 7.076213183e-02, 7.750600000e+02
 7.402387194e-02, 7.568500000e+02
 7.730158532e-02, 7.372200000e+02
 8.059556238e-02, 7.170700000e+02
 8.390551271e-02, 7.059100000e+02
 8.723201714e-02, 6.764760000e+02
 9.057478526e-02, 6.567110000e+02
 9.393410748e-02, 6.355900000e+02
 9.730998381e-02, 6.159370000e+02
 1.007024143e-01, 5.978890000e+02
 1.041116892e-01, 5.806760000e+02
 1.075375183e-01, 5.637070000e+02
 1.109804823e-01, 5.468940000e+02
 1.144402909e-01, 5.342180000e+02
 1.179169440e-01, 5.174350000e+02
 1.214110225e-01, 5.015790000e+02
 1.249222359e-01, 4.853040000e+02
 1.284505843e-01, 4.698130000e+02
 1.319963580e-01, 4.549910000e+02
 1.355598476e-01, 4.435340000e+02
 1.391404721e-01, 4.250160000e+02
 1.427391028e-01, 4.106950000e+02
 1.463551590e-01, 3.960810000e+02
 1.499892213e-01, 3.814950000e+02
 1.536412898e-01, 3.673550000e+02
 1.573110742e-01, 3.539970000e+02
 1.609988648e-01, 3.417530000e+02
 1.647052424e-01, 3.307540000e+02
 1.684296263e-01, 3.204900000e+02
 1.721723068e-01, 3.108160000e+02
 1.759332840e-01, 3.016440000e+02
 1.797131386e-01, 2.980110000e+02
 1.835112899e-01, 2.894700000e+02
 1.873283187e-01, 2.810630000e+02
 1.911642250e-01, 2.729270000e+02
 1.950187183e-01, 2.655010000e+02
 1.988923796e-01, 2.583820000e+02
 2.027852088e-01, 2.515900000e+02
 2.066972059e-01, 2.448110000e+02
 2.106283709e-01, 2.380510000e+02
 2.145789942e-01, 2.316810000e+02
 2.185490759e-01, 2.256790000e+02
 2.225386159e-01, 2.201370000e+02
 2.265476143e-01, 2.127750000e+02
 2.305766518e-01, 2.076730000e+02
 2.346254381e-01, 2.028190000e+02
 2.386942636e-01, 1.982290000e+02
 2.427828379e-01, 1.938010000e+02
 2.468905800e-01, 1.895130000e+02
 2.510203943e-01, 1.852740000e+02
 2.551705382e-01, 1.811880000e+02
 2.593410117e-01, 1.762420000e+02
 2.635318149e-01, 1.729820000e+02
 2.677429476e-01, 1.695280000e+02
 2.719744099e-01, 1.662080000e+02
 2.762262019e-01, 1.631230000e+02
 2.805012276e-01, 1.600920000e+02
 2.847936788e-01, 1.569630000e+02
 2.891093638e-01, 1.537890000e+02
 2.934482826e-01, 1.506740000e+02
 2.978075310e-01, 1.475070000e+02
 3.021871091e-01, 1.445940000e+02
 3.065870167e-01, 1.416850000e+02
 3.110101582e-01, 1.388500000e+02
 3.154565335e-01, 1.360420000e+02
 3.199232384e-01, 1.327970000e+02
 3.244102730e-01, 1.302200000e+02
 3.289234456e-01, 1.276910000e+02
 3.334540435e-01, 1.253620000e+02
 3.380107796e-01, 1.232520000e+02
 3.425878452e-01, 1.213260000e+02
 3.471881447e-01, 1.194750000e+02
 3.518116780e-01, 1.176780000e+02
 3.564584451e-01, 1.159670000e+02
 3.611255419e-01, 1.142630000e+02
 3.658187767e-01, 1.124660000e+02
 3.705323411e-01, 1.107040000e+02
 3.752720436e-01, 1.090090000e+02
 3.800320757e-01, 1.073040000e+02
 3.848182459e-01, 1.055810000e+02
 3.896276499e-01, 1.036220000e+02
 3.944573835e-01, 1.017120000e+02
 3.993132552e-01, 9.972300000e+01
 4.041952649e-01, 9.774000000e+01
 4.090976042e-01, 9.593300000e+01
 4.140260816e-01, 9.430400000e+01
 4.189777929e-01, 9.301000000e+01
 4.239556422e-01, 9.151000000e+01
 4.289567253e-01, 9.012000000e+01
 4.339810423e-01, 8.868900000e+01
 4.390314974e-01, 8.727700000e+01
 4.441080905e-01, 8.599200000e+01
 4.492079174e-01, 8.493900000e+01
 4.543338824e-01, 8.392700000e+01
 4.594859855e-01, 8.278900000e+01
 4.646613224e-01, 8.146400000e+01
 4.698627974e-01, 8.015000000e+01
 4.750904104e-01, 7.895100000e+01
 4.803441615e-01, 7.766800000e+01
 4.856211465e-01, 7.653700000e+01
 4.909271737e-01, 7.534900000e+01
 4.962564348e-01, 7.421800000e+01
 5.016147382e-01, 7.314000000e+01
 5.069991796e-01, 7.191500000e+01
 5.124097591e-01, 7.076300000e+01
 5.178464767e-01, 6.958400000e+01
 5.233093323e-01, 6.853800000e+01
 5.287983260e-01, 6.758800000e+01
 5.343163620e-01, 6.654200000e+01
 5.398605360e-01, 6.558200000e+01
 5.454337524e-01, 6.465100000e+01
 5.510331068e-01, 6.379200000e+01
 5.566615035e-01, 6.298800000e+01
 5.623160383e-01, 6.221300000e+01
 5.679967111e-01, 6.144200000e+01
 5.737093305e-01, 6.052800000e+01
 5.794480879e-01, 5.964600000e+01
 5.852129834e-01, 5.872200000e+01
 5.910098254e-01, 5.780100000e+01
