Z/Q^0.4 (-),dT (C)
 0.000000000e+00, 9.927600000e+02
 3.490543190e-03, 1.017540000e+03
 6.998137185e-03, 1.030500000e+03
 1.052312996e-02, 1.020110000e+03
 1.406552151e-02, 1.003150000e+03
 1.762531185e-02, 9.834200000e+02
 2.120284894e-02, 9.587400000e+02
 2.479778480e-02, 9.324600000e+02
 2.841046743e-02, 9.062500000e+02
 3.204089681e-02, 8.832900000e+02
 3.568907294e-02, 8.628100000e+02
 3.935534381e-02, 8.424500000e+02
 4.303970941e-02, 8.208600000e+02
 4.674216973e-02, 7.983200000e+02
 5.046272479e-02, 7.669400000e+02
 5.420207053e-02, 7.442900000e+02
 5.795951100e-02, 7.220300000e+02
 6.173539418e-02, 6.992900000e+02
 6.553006804e-02, 6.759740000e+02
 6.934318461e-02, 6.520510000e+02
 7.317509186e-02, 6.289650000e+02
 7.702613776e-02, 6.068300000e+02
 8.089597435e-02, 5.858000000e+02
 8.478494960e-02, 5.656930000e+02
 8.869306350e-02, 5.462690000e+02
 9.262031607e-02, 5.275130000e+02
 9.656705526e-02, 5.090890000e+02
 1.005329331e-01, 4.816780000e+02
 1.045186456e-01, 4.800460000e+02
 1.085238447e-01, 4.612880000e+02
 1.125488784e-01, 4.344860000e+02
 1.165937467e-01, 4.154830000e+02
 1.206584496e-01, 3.968990000e+02
 1.247433351e-01, 3.787320000e+02
 1.288480552e-01, 3.610290000e+02
 1.329733059e-01, 3.437410000e+02
 1.371187392e-01, 3.234320000e+02
 1.412843550e-01, 3.081520000e+02
 1.454708494e-01, 2.909400000e+02
 1.496778743e-01, 2.777330000e+02
 1.539054298e-01, 2.656310000e+02
 1.581538639e-01, 2.544800000e+02
 1.624235244e-01, 2.401200000e+02
 1.667137155e-01, 2.308630000e+02
 1.710254811e-01, 2.222790000e+02
 1.753581252e-01, 2.144560000e+02
 1.797123439e-01, 2.075090000e+02
 1.840881370e-01, 2.012640000e+02
 1.884851566e-01, 1.955070000e+02
 1.929037507e-01, 1.899790000e+02
 1.973446152e-01, 1.850170000e+02
 2.018070542e-01, 1.803690000e+02
 2.062914157e-01, 1.759880000e+02
 2.107976997e-01, 1.717630000e+02
 2.153266020e-01, 1.678410000e+02
 2.198774269e-01, 1.635810000e+02
 2.244508701e-01, 1.592350000e+02
 2.290469318e-01, 1.551920000e+02
 2.336652639e-01, 1.514290000e+02
 2.383065623e-01, 1.480750000e+02
 2.429708272e-01, 1.449040000e+02
 2.476580585e-01, 1.419530000e+02
 2.523682561e-01, 1.391610000e+02
 2.571017681e-01, 1.363700000e+02
 2.618585945e-01, 1.336300000e+02
 2.666387353e-01, 1.309170000e+02
 2.714421904e-01, 1.276110000e+02
 2.762696558e-01, 1.251180000e+02
 2.811207836e-01, 1.227210000e+02
 2.859959216e-01, 1.203460000e+02
 2.908947221e-01, 1.180320000e+02
 2.958164889e-01, 1.159100000e+02
 3.007647018e-01, 1.138950000e+02
 3.057372731e-01, 1.119810000e+02
 3.107342026e-01, 1.099660000e+02
 3.157554905e-01, 1.082730000e+02
 3.208011366e-01, 1.065170000e+02
 3.258711410e-01, 1.047290000e+02
 3.309655037e-01, 1.028540000e+02
 3.360877045e-01, 1.009850000e+02
 3.412307837e-01, 9.907900000e+01
 3.464017011e-01, 9.720000000e+01
 3.516004565e-01, 9.540500000e+01
 3.568235701e-01, 9.377200000e+01
 3.620710421e-01, 9.245000000e+01
 3.673428724e-01, 9.111900000e+01
 3.726425407e-01, 8.981700000e+01
 3.779700470e-01, 8.854300000e+01
 3.833219117e-01, 8.688100000e+01
 3.886981346e-01, 8.537400000e+01
 3.941056754e-01, 8.382100000e+01
 3.995340946e-01, 8.237300000e+01
 4.049938317e-01, 8.096900000e+01
 4.104779271e-01, 7.956600000e+01
 4.159898605e-01, 7.822700000e+01
 4.215296320e-01, 7.691300000e+01
 4.270972415e-01, 7.571600000e+01
 4.326892093e-01, 7.472000000e+01
 4.383124949e-01, 7.367300000e+01
 4.439601388e-01, 7.268900000e+01
 4.496391005e-01, 7.157100000e+01
 4.553424205e-01, 7.071000000e+01
 4.610770583e-01, 6.974900000e+01
 4.668395342e-01, 6.880400000e+01
 4.726263683e-01, 6.783900000e+01
 4.784445202e-01, 6.718100000e+01
 4.842939900e-01, 6.649500000e+01
 4.901678180e-01, 6.574700000e+01
 4.960729639e-01, 6.484600000e+01
 5.020059478e-01, 6.372700000e+01
 5.079702495e-01, 6.268400000e+01
 5.139623892e-01, 6.166300000e+01
 5.199823670e-01, 6.072400000e+01
 5.260336626e-01, 5.988500000e+01
 5.321162760e-01, 5.909800000e+01
 5.382267274e-01, 5.829400000e+01
 5.443684967e-01, 5.752700000e+01
 5.505415837e-01, 5.662400000e+01
 5.567425088e-01, 5.579000000e+01
 5.629747517e-01, 5.511300000e+01
 5.692383124e-01, 5.444800000e+01
 5.755331909e-01, 5.394400000e+01
 5.818559075e-01, 5.346900000e+01
 5.882134216e-01, 5.291200000e+01
 5.945987738e-01, 5.228800000e+01
 6.010189235e-01, 5.155700000e+01
 6.074703910e-01, 5.066100000e+01
 6.139531763e-01, 4.990400000e+01
 6.204672795e-01, 4.920200000e+01
 6.270127004e-01, 4.848700000e+01
 6.335894391e-01, 4.779900000e+01
 6.402009754e-01, 4.716000000e+01
 6.468438295e-01, 4.653700000e+01
 6.535214812e-01, 4.594400000e+01
 6.602304507e-01, 4.536300000e+01
 6.669742177e-01, 4.472900000e+01
 6.737493025e-01, 4.404100000e+01
 6.805557052e-01, 4.334500000e+01
 6.874003851e-01, 4.264100000e+01
 6.942763829e-01, 4.196400000e+01
 7.011836984e-01, 4.113900000e+01
 7.081292913e-01, 4.034000000e+01
