Z/Q^0.4 (-),V/Q^0.2 (-)
 0.000000000e+00, 3.486093996e-02
 3.490543190e-03, 1.325127347e-01
 6.998137185e-03, 2.605682261e-01
 1.052312996e-02, 3.858553423e-01
 1.406552151e-02, 5.106805711e-01
 1.762531185e-02, 6.288924919e-01
 2.120284894e-02, 7.362886959e-01
 2.479778480e-02, 8.321524612e-01
 2.841046743e-02, 9.171031771e-01
 3.204089681e-02, 9.931287883e-01
 3.568907294e-02, 1.061574254e+00
 3.935534381e-02, 1.123979200e+00
 4.303970941e-02, 1.180573684e+00
 4.674216973e-02, 1.231794229e+00
 5.046272479e-02, 1.272367177e+00
 5.420207053e-02, 1.312710066e+00
 5.795951100e-02, 1.348280709e+00
 6.173539418e-02, 1.379031912e+00
 6.553006804e-02, 1.404651033e+00
 6.934318461e-02, 1.426306062e+00
 7.317509186e-02, 1.444681278e+00
 7.702613776e-02, 1.460301686e+00
 8.089597435e-02, 1.474299884e+00
 8.478494960e-02, 1.487177282e+00
 8.869306350e-02, 1.499116748e+00
 9.262031607e-02, 1.509959010e+00
 9.656705526e-02, 1.519285243e+00
 1.005329331e-01, 1.508289609e+00
 1.045186456e-01, 1.545747913e+00
 1.085238447e-01, 1.549381664e+00
 1.125488784e-01, 1.535112114e+00
 1.165937467e-01, 1.534528119e+00
 1.206584496e-01, 1.533342431e+00
 1.247433351e-01, 1.532327812e+00
 1.288480552e-01, 1.531501960e+00
 1.329733059e-01, 1.530882570e+00
 1.371187392e-01, 1.523951309e+00
 1.412843550e-01, 1.522671238e+00
 1.454708494e-01, 1.510548905e+00
 1.496778743e-01, 1.509711254e+00
 1.539054298e-01, 1.508619950e+00
 1.581538639e-01, 1.506968245e+00
 1.624235244e-01, 1.489336296e+00
 1.667137155e-01, 1.492722291e+00
 1.710254811e-01, 1.491353736e+00
 1.753581252e-01, 1.489967483e+00
 1.797123439e-01, 1.489778717e+00
 1.840881370e-01, 1.491188565e+00
 1.884851566e-01, 1.493530447e+00
 1.929037507e-01, 1.495724854e+00
 1.973446152e-01, 1.497683304e+00
 2.018070542e-01, 1.498898487e+00
 2.062914157e-01, 1.499393999e+00
 2.107976997e-01, 1.499570967e+00
 2.153266020e-01, 1.500792049e+00
 2.198774269e-01, 1.499541472e+00
 2.244508701e-01, 1.496320648e+00
 2.290469318e-01, 1.491636885e+00
 2.336652639e-01, 1.487336554e+00
 2.383065623e-01, 1.482953637e+00
 2.429708272e-01, 1.478647407e+00
 2.476580585e-01, 1.474423762e+00
 2.523682561e-01, 1.469846180e+00
 2.571017681e-01, 1.465563545e+00
 2.618585945e-01, 1.459629206e+00
 2.666387353e-01, 1.452644855e+00
 2.714421904e-01, 1.439378126e+00
 2.762696558e-01, 1.431951353e+00
 2.811207836e-01, 1.426199881e+00
 2.859959216e-01, 1.422282981e+00
 2.908947221e-01, 1.419905706e+00
 2.958164889e-01, 1.418655130e+00
 3.007647018e-01, 1.415575880e+00
 3.057372731e-01, 1.411027793e+00
 3.107342026e-01, 1.403081913e+00
 3.157554905e-01, 1.399955472e+00
 3.208011366e-01, 1.395749524e+00
 3.258711410e-01, 1.390977277e+00
 3.309655037e-01, 1.386499977e+00
 3.360877045e-01, 1.381173229e+00
 3.412307837e-01, 1.373840840e+00
 3.464017011e-01, 1.366219402e+00
 3.516004565e-01, 1.360987037e+00
 3.568235701e-01, 1.362479471e+00
 3.620710421e-01, 1.359765956e+00
 3.673428724e-01, 1.355677986e+00
 3.726425407e-01, 1.350315845e+00
 3.779700470e-01, 1.345036288e+00
 3.833219117e-01, 1.342570529e+00
 3.886981346e-01, 1.336860350e+00
 3.941056754e-01, 1.329769817e+00
 3.995340946e-01, 1.325487183e+00
 4.049938317e-01, 1.321617474e+00
 4.104779271e-01, 1.318030915e+00
 4.159898605e-01, 1.316172748e+00
 4.215296320e-01, 1.314320479e+00
 4.270972415e-01, 1.311949102e+00
 4.326892093e-01, 1.308569007e+00
 4.383124949e-01, 1.302145055e+00
 4.439601388e-01, 1.293921925e+00
 4.496391005e-01, 1.285150192e+00
 4.553424205e-01, 1.278325112e+00
 4.610770583e-01, 1.272449763e+00
 4.668395342e-01, 1.266999137e+00
 4.726263683e-01, 1.265707268e+00
 4.784445202e-01, 1.272030937e+00
 4.842939900e-01, 1.276449248e+00
 4.901678180e-01, 1.280531318e+00
 4.960729639e-01, 1.280543116e+00
 5.020059478e-01, 1.276095311e+00
 5.079702495e-01, 1.270461818e+00
 5.139623892e-01, 1.264321015e+00
 5.199823670e-01, 1.261737277e+00
 5.260336626e-01, 1.262858077e+00
 5.321162760e-01, 1.264238430e+00
 5.382267274e-01, 1.264556973e+00
 5.443684967e-01, 1.262993753e+00
 5.505415837e-01, 1.259088651e+00
 5.567425088e-01, 1.252877061e+00
 5.629747517e-01, 1.246730360e+00
 5.692383124e-01, 1.248635719e+00
 5.755331909e-01, 1.248966060e+00
 5.818559075e-01, 1.248677012e+00
 5.882134216e-01, 1.247975037e+00
 5.945987738e-01, 1.243745493e+00
 6.010189235e-01, 1.236755243e+00
 6.074703910e-01, 1.228632394e+00
 6.139531763e-01, 1.226721136e+00
 6.204672795e-01, 1.225706517e+00
 6.270127004e-01, 1.223069689e+00
 6.335894391e-01, 1.218474410e+00
 6.402009754e-01, 1.211566745e+00
 6.468438295e-01, 1.208605474e+00
 6.535214812e-01, 1.203904014e+00
 6.602304507e-01, 1.197828100e+00
 6.669742177e-01, 1.191238978e+00
 6.737493025e-01, 1.185092277e+00
 6.805557052e-01, 1.177217184e+00
 6.874003851e-01, 1.165484182e+00
 6.942763829e-01, 1.152111272e+00
 7.011836984e-01, 1.141504968e+00
 7.081292913e-01, 1.133057677e+00
