Z/Q^0.4 (-),V/Q^0.2 (-)
 0.000000000e+00, 1.218904601e-02
 2.188059990e-03, 5.410280664e-02
 4.386808340e-03, 1.382561376e-01
 6.596463180e-03, 2.374739623e-01
 8.817024510e-03, 3.428605000e-01
 1.104849233e-02, 4.467609046e-01
 1.329108477e-02, 5.456331171e-01
 1.554458370e-02, 6.374258814e-01
 1.780920725e-02, 7.223904672e-01
 2.008495542e-02, 8.011573834e-01
 2.237182820e-02, 8.728766105e-01
 2.467004374e-02, 9.381926688e-01
 2.697960203e-02, 9.985580641e-01
 2.930050306e-02, 1.055528052e+00
 3.163274685e-02, 1.103890425e+00
 3.397676964e-02, 1.153014079e+00
 3.633213519e-02, 1.200082741e+00
 3.869906161e-02, 1.245652192e+00
 4.107776704e-02, 1.289386162e+00
 4.346803336e-02, 1.330985742e+00
 4.587007868e-02, 1.370348184e+00
 4.828412114e-02, 1.407566894e+00
 5.070994261e-02, 1.442473739e+00
 5.314776121e-02, 1.474863218e+00
 5.559757696e-02, 1.504819399e+00
 5.805938984e-02, 1.532589816e+00
 6.053341800e-02, 1.558828330e+00
 6.301944329e-02, 1.582194525e+00
 6.551790198e-02, 1.594398377e+00
 6.802857594e-02, 1.617764572e+00
 7.055168330e-02, 1.646338304e+00
 7.308722405e-02, 1.663889805e+00
 7.563519821e-02, 1.679022020e+00
 7.819582389e-02, 1.691478075e+00
 8.076888297e-02, 1.701598912e+00
 8.335481171e-02, 1.710099107e+00
 8.595339198e-02, 1.720332034e+00
 8.856462378e-02, 1.727627256e+00
 9.118894336e-02, 1.730350121e+00
 9.382613260e-02, 1.736374984e+00
 9.647619150e-02, 1.742413859e+00
 9.913933819e-02, 1.748434052e+00
 1.018157908e-01, 1.747873599e+00
 1.045051131e-01, 1.750923395e+00
 1.072079594e-01, 1.757242496e+00
 1.099238935e-01, 1.763229995e+00
 1.126533516e-01, 1.769212825e+00
 1.153963338e-01, 1.774836031e+00
 1.181526219e-01, 1.779511138e+00
 1.209224341e-01, 1.782822478e+00
 1.237062065e-01, 1.785279127e+00
 1.265035030e-01, 1.787254722e+00
 1.293145417e-01, 1.788744592e+00
 1.321393226e-01, 1.789865496e+00
 1.349782819e-01, 1.796077177e+00
 1.378309834e-01, 1.797819250e+00
 1.406978633e-01, 1.799112961e+00
 1.435789217e-01, 1.800047049e+00
 1.464739403e-01, 1.799986333e+00
 1.493833555e-01, 1.799066257e+00
 1.523071673e-01, 1.796207950e+00
 1.552453757e-01, 1.791005083e+00
 1.581979806e-01, 1.784307677e+00
 1.611652003e-01, 1.776601456e+00
 1.641470346e-01, 1.769352938e+00
 1.671434836e-01, 1.762263215e+00
 1.701545473e-01, 1.757191121e+00
 1.731806620e-01, 1.752562718e+00
 1.762216095e-01, 1.748588176e+00
 1.792776079e-01, 1.745118042e+00
 1.823484392e-01, 1.740578377e+00
 1.854336670e-01, 1.735020557e+00
 1.885354727e-01, 1.727930834e+00
 1.916525475e-01, 1.719771581e+00
 1.947848914e-01, 1.720098512e+00
 1.979325044e-01, 1.709641404e+00
 2.010953864e-01, 1.702981361e+00
 2.042735376e-01, 1.695681468e+00
 2.074669578e-01, 1.687312046e+00
 2.106778284e-01, 1.679531098e+00
 2.139017868e-01, 1.672427364e+00
 2.171431956e-01, 1.665225550e+00
 2.204020547e-01, 1.658257259e+00
 2.236761830e-01, 1.649000453e+00
 2.269655803e-01, 1.639687602e+00
 2.302702467e-01, 1.630094525e+00
 2.335923635e-01, 1.620627549e+00
 2.369319307e-01, 1.612216093e+00
 2.402867670e-01, 1.606163207e+00
 2.436568724e-01, 1.599573220e+00
 2.470466094e-01, 1.593333517e+00
 2.504494342e-01, 1.586416600e+00
 2.538718907e-01, 1.578341415e+00
 2.573096163e-01, 1.569929958e+00
 2.607647923e-01, 1.561032776e+00
 2.642374187e-01, 1.551430358e+00
 2.677274954e-01, 1.539175132e+00
 2.712328413e-01, 1.526317420e+00
 2.747578188e-01, 1.515024304e+00
 2.782980654e-01, 1.505305125e+00
 2.818579436e-01, 1.495698036e+00
 2.854330910e-01, 1.484568385e+00
 2.890278701e-01, 1.475054706e+00
 2.926400995e-01, 1.469249353e+00
 2.962675980e-01, 1.464761063e+00
 2.999147282e-01, 1.458843620e+00
 3.035814901e-01, 1.449161804e+00
 3.072635211e-01, 1.437009328e+00
 3.109651837e-01, 1.422278770e+00
 3.146842967e-01, 1.409752659e+00
 3.184230415e-01, 1.401345872e+00
 3.221792366e-01, 1.393219312e+00
 3.259528820e-01, 1.386993620e+00
 3.297461592e-01, 1.381094859e+00
 3.335590680e-01, 1.379203332e+00
 3.373894273e-01, 1.377690110e+00
 3.412394182e-01, 1.373981783e+00
 3.451090408e-01, 1.369003098e+00
 3.489961138e-01, 1.362305691e+00
 3.529028184e-01, 1.355421468e+00
 3.568291548e-01, 1.351007905e+00
 3.607751228e-01, 1.348154268e+00
 3.647385412e-01, 1.344268465e+00
 3.687237726e-01, 1.339906277e+00
 3.727264543e-01, 1.336370756e+00
 3.767509491e-01, 1.332914633e+00
 3.807950755e-01, 1.334530604e+00
 3.848588336e-01, 1.331765705e+00
 3.889422234e-01, 1.328253537e+00
 3.930452449e-01, 1.319015413e+00
 3.971678980e-01, 1.309431677e+00
 4.013123642e-01, 1.300151519e+00
 4.054764620e-01, 1.293953849e+00
 4.096623728e-01, 1.289558968e+00
 4.138679153e-01, 1.285145405e+00
 4.180952707e-01, 1.280003255e+00
 4.223422579e-01, 1.272553908e+00
 4.266088767e-01, 1.262316311e+00
 4.308994898e-01, 1.251238035e+00
 4.352097346e-01, 1.240421303e+00
 4.395396110e-01, 1.230473273e+00
 4.438934818e-01, 1.219777972e+00
