Z/Q^0.4 (-),dT (C)
 0.000000000e+00, 6.101250000e+02
 2.477072138e-03, 7.630200000e+02
 4.966244420e-03, 8.470600000e+02
 7.467763786e-03, 8.820700000e+02
 9.981630236e-03, 8.989200000e+02
 1.250784377e-02, 9.162600000e+02
 1.504665133e-02, 9.246900000e+02
 1.759780598e-02, 9.287200000e+02
 2.016155465e-02, 9.313300000e+02
 2.273789735e-02, 9.309600000e+02
 2.532683408e-02, 9.283500000e+02
 2.792861177e-02, 9.256700000e+02
 3.054323043e-02, 9.220900000e+02
 3.317069006e-02, 9.155400000e+02
 3.581099066e-02, 9.124700000e+02
 3.846462611e-02, 9.105500000e+02
 4.113110253e-02, 9.083800000e+02
 4.381066686e-02, 9.060300000e+02
 4.650356604e-02, 9.040600000e+02
 4.920955313e-02, 9.001800000e+02
 5.192887507e-02, 8.970500000e+02
 5.466177880e-02, 8.920000000e+02
 5.740801739e-02, 8.848100000e+02
 6.016783777e-02, 8.762600000e+02
 6.294123994e-02, 8.663600000e+02
 6.572822390e-02, 8.558500000e+02
 6.852903660e-02, 8.470900000e+02
 7.134343110e-02, 8.310800000e+02
 7.417190126e-02, 8.182300000e+02
 7.701420017e-02, 8.053300000e+02
 7.987057475e-02, 7.925400000e+02
 8.274102501e-02, 7.799300000e+02
 8.562555094e-02, 7.670900000e+02
 8.852439950e-02, 7.546300000e+02
 9.143732372e-02, 7.421000000e+02
 9.436481751e-02, 7.287300000e+02
 9.730663392e-02, 7.146400000e+02
 1.002627729e-01, 6.990800000e+02
 1.032337285e-01, 6.826220000e+02
 1.062192536e-01, 6.659560000e+02
 1.092193482e-01, 6.497340000e+02
 1.122342594e-01, 6.334210000e+02
 1.152642339e-01, 6.174120000e+02
 1.183087781e-01, 6.017240000e+02
 1.213686326e-01, 5.861870000e+02
 1.244433037e-01, 5.706200000e+02
 1.275332851e-01, 5.559140000e+02
 1.306385769e-01, 5.422290000e+02
 1.337589322e-01, 5.292540000e+02
 1.368945978e-01, 5.167260000e+02
 1.400460677e-01, 5.044200000e+02
 1.432128480e-01, 4.924970000e+02
 1.463951856e-01, 4.811480000e+02
 1.495930806e-01, 4.706620000e+02
 1.528070267e-01, 4.604270000e+02
 1.560365302e-01, 4.504690000e+02
 1.592820849e-01, 4.406250000e+02
 1.625436908e-01, 4.310730000e+02
 1.658211010e-01, 4.214640000e+02
 1.691148093e-01, 4.115870000e+02
 1.724248158e-01, 4.014750000e+02
 1.757511204e-01, 3.910950000e+02
 1.790937232e-01, 3.805330000e+02
 1.824528710e-01, 3.694610000e+02
 1.858285640e-01, 3.585190000e+02
 1.892208021e-01, 3.503300000e+02
 1.926295852e-01, 3.411570000e+02
 1.960554073e-01, 3.326000000e+02
 1.994980215e-01, 3.244640000e+02
 2.029576746e-01, 3.171970000e+02
 2.064341198e-01, 3.079520000e+02
 2.099268631e-01, 3.010970000e+02
 2.134383740e-01, 2.941910000e+02
 2.169671709e-01, 2.873000000e+02
 2.205132536e-01, 2.806150000e+02
 2.240766222e-01, 2.741580000e+02
 2.276572768e-01, 2.678610000e+02
 2.312552173e-01, 2.618580000e+02
 2.348704437e-01, 2.558010000e+02
 2.385054255e-01, 2.493810000e+02
 2.421552237e-01, 2.428960000e+02
 2.458247773e-01, 2.363560000e+02
 2.495140862e-01, 2.299550000e+02
 2.532206810e-01, 2.236540000e+02
 2.569445618e-01, 2.174670000e+02
 2.606857285e-01, 2.118840000e+02
 2.644466505e-01, 2.064080000e+02
 2.682273278e-01, 2.013460000e+02
 2.720252911e-01, 1.966720000e+02
 2.758405403e-01, 1.919970000e+02
 2.796780142e-01, 1.872960000e+02
 2.835303046e-01, 1.828890000e+02
 2.874048198e-01, 1.787730000e+02
 2.912966209e-01, 1.748900000e+02
 2.952081774e-01, 1.713220000e+02
 2.991394891e-01, 1.685110000e+02
 3.030905563e-01, 1.655180000e+02
 3.070589093e-01, 1.625760000e+02
 3.110494871e-01, 1.597320000e+02
 3.150573508e-01, 1.566010000e+02
 3.190874392e-01, 1.530890000e+02
 3.231348136e-01, 1.506990000e+02
 3.272044127e-01, 1.480270000e+02
 3.312937672e-01, 1.456090000e+02
 3.354004076e-01, 1.432960000e+02
 3.395292727e-01, 1.415330000e+02
 3.436803626e-01, 1.393470000e+02
 3.478487384e-01, 1.372420000e+02
 3.520393390e-01, 1.349670000e+02
 3.562496948e-01, 1.328060000e+02
 3.604822755e-01, 1.304130000e+02
 3.647346115e-01, 1.282340000e+02
 3.690067028e-01, 1.260910000e+02
 3.733010189e-01, 1.240090000e+02
 3.776175597e-01, 1.220090000e+02
 3.819538558e-01, 1.201420000e+02
 3.863123767e-01, 1.183350000e+02
 3.906931224e-01, 1.163340000e+02
 3.950936234e-01, 1.143110000e+02
 3.995163492e-01, 1.122330000e+02
 4.039612997e-01, 1.102570000e+02
 4.084284749e-01, 1.085120000e+02
 4.129154055e-01, 1.067160000e+02
 4.174270303e-01, 1.050760000e+02
 4.219584104e-01, 1.036970000e+02
 4.265144846e-01, 1.025010000e+02
 4.310927836e-01, 1.013290000e+02
 4.356933074e-01, 1.001470000e+02
 4.403160559e-01, 9.889500000e+01
 4.449610292e-01, 9.747200000e+01
 4.496282272e-01, 9.590100000e+01
 4.543201194e-01, 9.438300000e+01
 4.590342364e-01, 9.302500000e+01
 4.637730475e-01, 9.186100000e+01
 4.685340834e-01, 9.082000000e+01
 4.733198134e-01, 8.957900000e+01
 4.781277682e-01, 8.831500000e+01
 4.829579477e-01, 8.698100000e+01
 4.878152909e-01, 8.556300000e+01
 4.926948588e-01, 8.416700000e+01
 4.975966514e-01, 8.268800000e+01
 5.025256076e-01, 8.129500000e+01
