Z/Q^0.4 (-),dT (C)
 0.000000000e+00, 2.914370000e+02
 1.990647158e-03, 4.822460000e+02
 3.991018342e-03, 5.891140000e+02
 6.001312003e-03, 6.512080000e+02
 8.021528139e-03, 6.903860000e+02
 1.005166675e-02, 7.155700000e+02
 1.209192629e-02, 7.364600000e+02
 1.414210830e-02, 7.527900000e+02
 1.620241124e-02, 7.716500000e+02
 1.827283511e-02, 7.899500000e+02
 2.035337990e-02, 8.055300000e+02
 2.244424407e-02, 8.186300000e+02
 2.454542761e-02, 8.297500000e+02
 2.665693053e-02, 8.390600000e+02
 2.877875282e-02, 8.529800000e+02
 3.091129138e-02, 8.576000000e+02
 3.305414933e-02, 8.606400000e+02
 3.520752509e-02, 8.619400000e+02
 3.737161713e-02, 8.623400000e+02
 3.954622700e-02, 8.620200000e+02
 4.173155314e-02, 8.624800000e+02
 4.392779400e-02, 8.637400000e+02
 4.613475114e-02, 8.655500000e+02
 4.835262300e-02, 8.673200000e+02
 5.058140958e-02, 8.687900000e+02
 5.282111089e-02, 8.697700000e+02
 5.507192537e-02, 8.700200000e+02
 5.733365458e-02, 8.617200000e+02
 5.960669540e-02, 8.583700000e+02
 6.189084940e-02, 8.532600000e+02
 6.418631503e-02, 8.593100000e+02
 6.649309228e-02, 8.537300000e+02
 6.881118115e-02, 8.470500000e+02
 7.114078009e-02, 8.404200000e+02
 7.348169065e-02, 8.343200000e+02
 7.583430974e-02, 8.276200000e+02
 7.819843890e-02, 8.165600000e+02
 8.057407813e-02, 8.067500000e+02
 8.296162433e-02, 7.959000000e+02
 8.536087905e-02, 7.853000000e+02
 8.777184230e-02, 7.751200000e+02
 9.019471252e-02, 7.651900000e+02
 9.262968815e-02, 7.562100000e+02
 9.507637231e-02, 7.443500000e+02
 9.753536034e-02, 7.342300000e+02
 1.000062553e-01, 7.247600000e+02
 1.024894542e-01, 7.155100000e+02
 1.049849570e-01, 7.061800000e+02
 1.074925651e-01, 6.969320000e+02
 1.100124772e-01, 6.877320000e+02
 1.125450900e-01, 6.777930000e+02
 1.150900066e-01, 6.669700000e+02
 1.176474256e-01, 6.552120000e+02
 1.202173469e-01, 6.430370000e+02
 1.228001675e-01, 6.359250000e+02
 1.253954903e-01, 6.242960000e+02
 1.280037124e-01, 6.121900000e+02
 1.306248337e-01, 6.000900000e+02
 1.332586557e-01, 5.881840000e+02
 1.359055755e-01, 5.766700000e+02
 1.385655929e-01, 5.651560000e+02
 1.412387079e-01, 5.533790000e+02
 1.439249207e-01, 5.406660000e+02
 1.466244295e-01, 5.282020000e+02
 1.493372345e-01, 5.171510000e+02
 1.520633356e-01, 5.070080000e+02
 1.548027328e-01, 4.938130000e+02
 1.575558230e-01, 4.843420000e+02
 1.603224078e-01, 4.741570000e+02
 1.631026856e-01, 4.634930000e+02
 1.658964580e-01, 4.534560000e+02
 1.687033280e-01, 4.436050000e+02
 1.715252802e-01, 4.342930000e+02
 1.743611239e-01, 4.259090000e+02
 1.772108590e-01, 4.143000000e+02
 1.800744856e-01, 4.079450000e+02
 1.829520037e-01, 4.000610000e+02
 1.858434133e-01, 3.920190000e+02
 1.887487143e-01, 3.836880000e+02
 1.916698912e-01, 3.751750000e+02
 1.946029752e-01, 3.663280000e+02
 1.975519351e-01, 3.567900000e+02
 2.005167709e-01, 3.470630000e+02
 2.034954983e-01, 3.335780000e+02
 2.064881171e-01, 3.247350000e+02
 2.094946273e-01, 3.163160000e+02
 2.125170135e-01, 3.086260000e+02
 2.155552757e-01, 3.013880000e+02
 2.186074294e-01, 2.927380000e+02
 2.216734745e-01, 2.870660000e+02
 2.247573801e-01, 2.812150000e+02
 2.278531926e-01, 2.750630000e+02
 2.309668656e-01, 2.687620000e+02
 2.340944301e-01, 2.622200000e+02
 2.372378705e-01, 2.555130000e+02
 2.403971869e-01, 2.487040000e+02
 2.435723793e-01, 2.421450000e+02
 2.467614631e-01, 2.362570000e+02
 2.499684074e-01, 2.310150000e+02
 2.531892431e-01, 2.261010000e+02
 2.564279393e-01, 2.214250000e+02
 2.596805270e-01, 2.168030000e+02
 2.629509751e-01, 2.125470000e+02
 2.662372992e-01, 2.081330000e+02
 2.695375148e-01, 2.038500000e+02
 2.728555908e-01, 1.987830000e+02
 2.761915273e-01, 1.939120000e+02
 2.795413552e-01, 1.895260000e+02
 2.829090436e-01, 1.854950000e+02
 2.862926079e-01, 1.816580000e+02
 2.896940327e-01, 1.775990000e+02
 2.931113335e-01, 1.737500000e+02
 2.965445103e-01, 1.700570000e+02
 2.999955474e-01, 1.660960000e+02
 3.034644451e-01, 1.623610000e+02
 3.069492187e-01, 1.590510000e+02
 3.104518528e-01, 1.561290000e+02
 3.139723473e-01, 1.530380000e+02
 3.175087178e-01, 1.495410000e+02
 3.210629487e-01, 1.467810000e+02
 3.246350401e-01, 1.438350000e+02
 3.282249920e-01, 1.417400000e+02
 3.318308198e-01, 1.398580000e+02
 3.354564926e-01, 1.380150000e+02
 3.390980413e-01, 1.357640000e+02
 3.427594350e-01, 1.332460000e+02
 3.464386891e-01, 1.306180000e+02
 3.501358037e-01, 1.275720000e+02
 3.538507788e-01, 1.243040000e+02
 3.575836143e-01, 1.210320000e+02
 3.613343103e-01, 1.178600000e+02
 3.651048512e-01, 1.156200000e+02
 3.688932526e-01, 1.133970000e+02
 3.727014989e-01, 1.117280000e+02
 3.765276057e-01, 1.103150000e+02
 3.803735574e-01, 1.090460000e+02
 3.842373696e-01, 1.079100000e+02
 3.881190423e-01, 1.066170000e+02
 3.920225444e-01, 1.052420000e+02
 3.959439070e-01, 1.039250000e+02
 3.998831300e-01, 1.024790000e+02
 4.038441824e-01, 1.010110000e+02
