Z/Q^0.4 (-),dT (C)
 0.000000000e+00, 4.446580000e+02
 2.188059990e-03, 6.286520000e+02
 4.386808340e-03, 7.320000000e+02
 6.596463180e-03, 7.765700000e+02
 8.817024510e-03, 7.998800000e+02
 1.104849233e-02, 8.162900000e+02
 1.329108477e-02, 8.304000000e+02
 1.554458370e-02, 8.407200000e+02
 1.780920725e-02, 8.507600000e+02
 2.008495542e-02, 8.588200000e+02
 2.237182820e-02, 8.640000000e+02
 2.467004374e-02, 8.674600000e+02
 2.697960203e-02, 8.699400000e+02
 2.930050306e-02, 8.718400000e+02
 3.163274685e-02, 8.614400000e+02
 3.397676964e-02, 8.596800000e+02
 3.633213519e-02, 8.590000000e+02
 3.869906161e-02, 8.587500000e+02
 4.107776704e-02, 8.581200000e+02
 4.346803336e-02, 8.572800000e+02
 4.587007868e-02, 8.569700000e+02
 4.828412114e-02, 8.566400000e+02
 5.070994261e-02, 8.561000000e+02
 5.314776121e-02, 8.547400000e+02
 5.559757696e-02, 8.528200000e+02
 5.805938984e-02, 8.503200000e+02
 6.053341800e-02, 8.476500000e+02
 6.301944329e-02, 8.373500000e+02
 6.551790198e-02, 8.339700000e+02
 6.802857594e-02, 8.308600000e+02
 7.055168330e-02, 8.297200000e+02
 7.308722405e-02, 8.228200000e+02
 7.563519821e-02, 8.154900000e+02
 7.819582389e-02, 8.073400000e+02
 8.076888297e-02, 7.986600000e+02
 8.335481171e-02, 7.894900000e+02
 8.595339198e-02, 7.782100000e+02
 8.856462378e-02, 7.689500000e+02
 9.118894336e-02, 7.590400000e+02
 9.382613260e-02, 7.504300000e+02
 9.647619150e-02, 7.415100000e+02
 9.913933819e-02, 7.331000000e+02
 1.018157908e-01, 7.233800000e+02
 1.045051131e-01, 7.141600000e+02
 1.072079594e-01, 7.058700000e+02
 1.099238935e-01, 6.967350000e+02
 1.126533516e-01, 6.864070000e+02
 1.153963338e-01, 6.762130000e+02
 1.181526219e-01, 6.655400000e+02
 1.209224341e-01, 6.546660000e+02
 1.237062065e-01, 6.433390000e+02
 1.265035030e-01, 6.316930000e+02
 1.293145417e-01, 6.195220000e+02
 1.321393226e-01, 6.069980000e+02
 1.349782819e-01, 6.002340000e+02
 1.378309834e-01, 5.872580000e+02
 1.406978633e-01, 5.733180000e+02
 1.435789217e-01, 5.591450000e+02
 1.464739403e-01, 5.457370000e+02
 1.493833555e-01, 5.325770000e+02
 1.523071673e-01, 5.191070000e+02
 1.552453757e-01, 5.047800000e+02
 1.581979806e-01, 4.895410000e+02
 1.611652003e-01, 4.737400000e+02
 1.641470346e-01, 4.584500000e+02
 1.671434836e-01, 4.434380000e+02
 1.701545473e-01, 4.302160000e+02
 1.731806620e-01, 4.180940000e+02
 1.762216095e-01, 4.069580000e+02
 1.792776079e-01, 3.967080000e+02
 1.823484392e-01, 3.872210000e+02
 1.854336670e-01, 3.778620000e+02
 1.885354727e-01, 3.682520000e+02
 1.916525475e-01, 3.583470000e+02
 1.947848914e-01, 3.500060000e+02
 1.979325044e-01, 3.400190000e+02
 2.010953864e-01, 3.309090000e+02
 2.042735376e-01, 3.219050000e+02
 2.074669578e-01, 3.131030000e+02
 2.106778284e-01, 3.046060000e+02
 2.139017868e-01, 2.963730000e+02
 2.171431956e-01, 2.885570000e+02
 2.204020547e-01, 2.809640000e+02
 2.236761830e-01, 2.739020000e+02
 2.269655803e-01, 2.664030000e+02
 2.302702467e-01, 2.589690000e+02
 2.335923635e-01, 2.515940000e+02
 2.369319307e-01, 2.446290000e+02
 2.402867670e-01, 2.388630000e+02
