cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2,kW/m2
z,T_CL,X_O2,X_CO2,X_FUEL,X_H2O,X_N2,r_rad1,HF-Rad_fraction,radHF-Rad_fraction,HF-WSGGM,radHF-WSGGM,r_rad2,HF_hori-Rad_fraction,HF_hori-WSGGM
0,338,0.008855325,0.033782628,0.666205295,0.067564486,0.223592267,0,34.09136412,22.83695319,23.73194803,12.45701746,20,1.603428442,1.166229376
2,1081.626498,0.033330601,0.074921416,0.194582994,0.149841328,0.54732366,2,34.06677287,22.81531547,23.49823723,12.22678912,25,1.403061667,1.053485544
4,1184.36719,0.050017323,0.075830151,0.107335567,0.151660847,0.615156113,4,34.36059199,23.13184292,22.82854756,11.58203543,30,1.026900446,0.83149949
6,1227.371407,0.057556824,0.075551946,0.073860795,0.151104486,0.641925949,6,34.12845521,23.00357905,21.51825201,10.38116975,35,0.852763461,0.72585926
8,1246.028471,0.063530945,0.074494049,0.054560681,0.148988459,0.658425866,8,32.63072823,21.88050808,19.55969614,8.796357337,40,0.72917252,0.649011695
10,1247.841382,0.069482186,0.072738386,0.041413923,0.14547174,0.670893764,10,29.38764135,19.64087015,16.86303611,7.105641984,45,0.641892185,0.593106865
12,1237.649125,0.075666687,0.070433892,0.031858707,0.140865283,0.68117543,12,23.68342414,16.17205572,13.02169538,5.500795728,50,0.580171971,0.55214488
14,1219.169674,0.082135887,0.067700469,0.024653455,0.135400413,0.690109776,15,15.49915543,12.37625982,7.120436997,3.995750252,55,0.536332179,0.521834493
16,1194.18054,0.088827252,0.064658405,0.019065056,0.129315444,0.698133843,,,,,,60,0.504955248,0.499140093
18,1164.075905,0.095621737,0.06141307,0.014733966,0.122825198,0.70540603,,,,,,65,0.492713768,0.489953717
20,1129.43302,0.102506597,0.058011722,0.011323906,0.116021886,0.712135889,,,,,,70,0.473353904,0.474881284
22,1091.877664,0.109386768,0.054532962,0.008665212,0.109050685,0.718364374,,,,,,,,
24,1053.090366,0.11608888,0.05107507,0.006612984,0.102134289,0.724088778,,,,,,,,
26,1014.292017,0.122465168,0.047738052,0.005040063,0.095465646,0.729291071,,,,,,,,
28,975.7761182,0.128464997,0.044569733,0.003821246,0.089130331,0.734013694,,,,,,,,
30,938.7394679,0.133989101,0.041636464,0.00286739,0.083258903,0.738248142,,,,,,,,
32,903.2254545,0.139141764,0.038879246,0.00213641,0.077745283,0.742097296,,,,,,,,
34,868.8259271,0.143968579,0.036280131,0.001581002,0.072550074,0.745620213,,,,,,,,
36,835.4743677,0.148496782,0.033863254,0.001161824,0.067657715,0.748820424,,,,,,,,
38,803.376762,0.152703033,0.031579924,0.000854429,0.063090602,0.751772011,,,,,,,,
40,772.7958635,0.156585958,0.029448991,0.00063128,0.05885824,0.754475531,,,,,,,,
42,743.8327778,0.160202858,0.027467732,0.000468009,0.054906566,0.756954834,,,,,,,,
44,716.7060048,0.163519262,0.025649956,0.000347807,0.051276593,0.759206383,,,,,,,,
46,691.6648401,0.166487154,0.024022019,0.000258712,0.048023825,0.761208291,,,,,,,,
48,668.8240735,0.169147248,0.022561203,0.000192726,0.045105068,0.762993755,,,,,,,,
50,648.409884,0.171512881,0.021264451,0.000143871,0.042507583,0.764571213,,,,,,,,
52,630.5023631,0.173583399,0.020125379,0.000108243,0.040231863,0.765951116,,,,,,,,
54,614.5236504,0.175403785,0.019121774,8.16E-05,0.038230183,0.767162674,,,,,,,,
56,599.6285249,0.177086552,0.018204953,6.15E-05,0.036380516,0.768266432,,,,,,,,
58,585.7908637,0.178641061,0.017407196,4.68E-05,0.03467645,0.769228445,,,,,,,,
60,572.9263972,0.180077585,0.016717647,3.56E-05,0.033107047,0.77006215,,,,,,,,
62,561.0528608,0.181411599,0.016064468,2.69E-05,0.03164767,0.770849362,,,,,,,,
64,549.7505548,0.182666995,0.015402913,2.03E-05,0.030268181,0.771641652,,,,,,,,
66,539.2669773,0.183825112,0.014771198,1.53E-05,0.028992711,0.77239567,,,,,,,,
68,529.5695915,0.184895095,0.01419318,1.16E-05,0.027814842,0.773085256,,,,,,,,
70,520.4102318,0.185904469,0.013652663,8.83E-06,0.026704136,0.7737299,,,,,,,,
72,511.7108429,0.186864322,0.013124201,6.72E-06,0.025646006,0.774358747,,,,,,,,
74,503.4547481,0.187773,0.012604305,5.11E-06,0.024641864,0.774975717,,,,,,,,
76,495.7685611,0.188639229,0.012112671,3.93E-06,0.02368493,0.775559244,,,,,,,,
78,488.4489879,0.1894627,0.011640421,3.02E-06,0.022774695,0.776119162,,,,,,,,
