cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2,kW/m2
z,T_CL,X_O2,X_CO2,X_FUEL,X_H2O,X_N2,r_rad1,HF-Rad_fraction,radHF-Rad_fraction,HF-WSGGM,radHF-WSGGM,r_rad2,HF_hori-Rad_fraction,HF_hori-WSGGM
0,338,0.014161205,0.037049727,0.612921158,0.074099454,0.261768457,0,33.39091973,22.27023306,25.59520037,14.4676655,20,1.141283352,0.912988171
3.03030303,1201.299857,0.046537103,0.077730902,0.107888243,0.155461804,0.612381948,3,33.38688762,22.26700661,25.91814916,14.78861047,25,1.135406374,0.944180876
6.060606061,1225.463677,0.06898046,0.072302151,0.04800755,0.144604301,0.666105539,6,33.39150127,22.30598648,24.57808001,13.48494259,30,1.030383942,0.879050535
9.090909091,1201.715963,0.082562003,0.067228851,0.027163586,0.134457701,0.688587858,9,32.20086631,21.45954997,21.42784812,10.68248469,35,0.846557181,0.755774066
12.12121212,1159.892602,0.094058243,0.062096562,0.016727044,0.124193124,0.702925026,12,27.4774105,18.34893911,16.73811213,7.558721337,40,0.775953496,0.706300541
15.15151515,1110.057201,0.104616569,0.056975852,0.010659265,0.113951705,0.713796608,15,18.24390511,13.88104069,9.299808144,4.937189114,45,0.717693392,0.664749315
18.18181818,1057.597941,0.114245435,0.052095735,0.006942115,0.104191471,0.722525243,,,,,,50,0.629601744,0.600766901
21.21212121,1005.108598,0.123016136,0.047531505,0.00458273,0.09506301,0.729806619,,,,,,55,0.596267401,0.576149012
24.24242424,953.7602905,0.131020393,0.04329465,0.003041796,0.0865893,0.736053861,,,,,,60,0.568321132,0.555268727
27.27272727,904.5539656,0.138284497,0.03940433,0.002028563,0.07880866,0.741473949,,,,,,65,0.544795863,0.53744777
30.3030303,858.0010069,0.144848899,0.035859652,0.001359489,0.071719305,0.746212655,,,,,,70,0.52493256,0.522151028
33.33333333,814.6756407,0.150679046,0.03269284,0.000923216,0.06538568,0.750319219,,,,,,,,
36.36363636,775.1970873,0.155824185,0.029887201,0.0006311,0.059774401,0.753883113,,,,,,,,
39.39393939,739.3789478,0.160377269,0.027397169,0.00043383,0.054794338,0.756997394,,,,,,,,
42.42424242,706.8043539,0.164406282,0.025188893,0.000299771,0.050377785,0.75972727,,,,,,,,
45.45454545,677.1872017,0.167977994,0.023227995,0.000207905,0.046455991,0.762130115,,,,,,,,
48.48484848,650.1929746,0.171165706,0.021475648,1.45E-04,0.042951296,0.76426278,,,,,,,,
51.51515152,625.6527021,0.174016845,0.019906712,1.01E-04,0.039813423,0.766162114,,,,,,,,
54.54545455,603.440465,0.17657233,0.018499316,7.08E-05,0.036998632,0.76785892,,,,,,,,
57.57575758,583.3669108,0.178875766,0.017229912,5.00E-05,0.034459824,0.769384538,,,,,,,,
60.60606061,565.2278445,0.180956522,0.016082647,3.54E-05,0.032165295,0.770760096,,,,,,,,
63.63636364,548.8574907,0.182820547,0.015054476,2.52E-05,0.030108951,0.771990795,,,,,,,,
66.66666667,533.9966541,0.184486349,0.014135353,1.80E-05,0.028270707,0.773089606,,,,,,,,
69.6969697,520.4871519,0.185976698,0.013312809,1.30E-05,0.026625619,0.774071854,,,,,,,,
72.72727273,507.997293,0.187342591,0.01255883,9.42E-06,0.025117659,0.7749715,,,,,,,,
75.75757576,496.5059643,0.18858618,0.011872281,6.82E-06,0.023744562,0.77579016,,,,,,,,
78.78787879,486.0323557,0.189708768,0.01125246,4.94E-06,0.02250492,0.776528913,,,,,,,,
81.81818182,476.5711252,0.190718136,0.010695087,3.59E-06,0.021390173,0.777193019,,,,,,,,
84.84848485,468.0602829,0.191626822,0.010193259,2.61E-06,0.020386517,0.777790791,,,,,,,,
87.87878788,460.378274,0.192444694,0.009741548,1.91E-06,0.019483096,0.778328752,,,,,,,,
90.90909091,453.5372487,0.193170561,0.009340634,1.43E-06,0.018681268,0.778806109,,,,,,,,
93.93939394,447.1757185,0.193847025,0.008967004,1.06E-06,0.017934008,0.7792509,,,,,,,,
96.96969697,441.1911089,0.194484607,0.008614845,7.92E-07,0.01722969,0.779670066,,,,,,,,
100,435.5334186,0.195087861,0.008281646,5.88E-07,0.016563292,0.780066613,,,,,,,,
