cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2,kW/m2
z,T_CL,X_O2,X_CO2,X_FUEL,X_H2O,X_N2,r_rad1,HF-Rad_fraction,radHF-Rad_fraction,HF-WSGGM,radHF-WSGGM,r_rad2,HF_hori-Rad_fraction,HF_hori-WSGGM
0,338,0.009108206,0.025812572,0.733640957,0.051625143,0.179813122,0,33.77895866,22.44814319,23.19320383,11.8320919,20,1.621477182,1.590882201
1,858.7784546,0.027085871,0.061377727,0.340799421,0.122755454,0.447981526,2,33.9427894,22.61312332,23.15332323,11.78818037,25,1.359849046,1.28461948
2,979.9288028,0.033103654,0.068169799,0.253482267,0.136339597,0.508904684,4,34.92669866,23.62586866,22.8153306,11.48111822,30,1.012676234,0.991589706
3,1064.466164,0.033082525,0.072895308,0.212761869,0.145790617,0.535469681,6,34.78457786,23.57536997,21.96118636,10.73121058,35,0.813633439,0.821769631
4,1120.978645,0.033855912,0.075670741,0.185104897,0.151341483,0.554026967,8,32.76801869,21.85776797,20.70392484,9.774737462,40,0.677350224,0.701714123
5,1160.911,0.035442183,0.077308073,0.163409788,0.154616147,0.569223808,10,30.02581509,19.93284847,18.73746518,8.627881083,45,0.569497294,0.604306028
6,1189.625223,0.037625062,0.078166282,0.1456054,0.156332565,0.582270691,11,28.15672285,18.82672612,17.30391379,7.959137354,50,0.526667955,0.559439986
7,1210.669581,0.040135817,0.078511995,0.13066789,0.15702399,0.593660308,12,25.58398901,17.37071967,15.43251725,7.20702355,55,0.497443633,0.527138934
8,1226.196479,0.042859247,0.078492296,0.117874761,0.156984591,0.603789105,13,22.25942785,15.63711631,13.00936213,6.379003576,60,0.477019194,0.503521705
9,1236.943425,0.045778545,0.078171319,0.106752055,0.156342638,0.612955443,14,17.94020887,13.52414661,9.932792673,5.512720464,65,0.469175662,0.494161172
