cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
0,338,0,-10,1162.152936,236.1500962,882.2866158,278.4522876,694.6309955,223.4632897,586.8714931,167.9958011,520.8907638,124.4286865
10,1333.298723,108.0623677,0,1354.899007,175.1262294,1054.16829,275.0314184,774.7788895,229.2057359,620.2021179,168.8137231,537.6643837,123.4643204
20,1354.899007,175.1262294,10,1164.367469,221.9339092,900.0486066,259.8540101,699.7316491,214.5565898,579.9784778,159.4338236,510.581525,115.9090365
30,1312.308927,228.517636,20,779.0914745,235.0316916,607.0722824,207.1516476,540.5840052,169.5743229,491.2847595,131.7049291,454.4468772,99.21034853
40,1235.582386,260.9900876,30,488.1051937,158.8909681,417.8496023,118.6980947,412.2113259,106.2262193,405.9816908,93.17294506,397.6046243,76.95344845
50,1144.192188,274.8317389,40,356.7001842,73.89320488,336.2060554,58.21626252,340.5014539,55.89837971,349.7935036,60.02011,355.0344176,56.53338747
60,1054.16829,275.0314184,50,311.5880011,28.69722725,307.8254672,28.47555192,308.9625285,25.78670687,318.4452625,35.71551216,327.6248528,40.95697581
70,971.6317215,268.103374,60,298.6951657,4.66598217,297.8853605,9.282538591,297.8095063,9.730340003,301.8270766,17.54798534,309.0637807,25.83866373
80,897.147767,257.2195152,,,,,,,,,,,
90,831.3983726,244.1279221,,,,,,,,,,,
100,774.7788895,229.2057359,,,,,,,,,,,
110,726.5210754,213.2427186,,,,,,,,,,,
120,685.4785096,197.3527969,,,,,,,,,,,
130,650.3300111,182.4335723,,,,,,,,,,,
140,620.2021179,168.8137231,,,,,,,,,,,
150,594.5829773,156.1264684,,,,,,,,,,,
160,572.9113387,144.1763926,,,,,,,,,,,
170,554.2523728,133.2103875,,,,,,,,,,,
180,537.6643837,123.4643204,,,,,,,,,,,
190,522.7232766,114.4072721,,,,,,,,,,,
200,509.2620062,106.0231444,,,,,,,,,,,
210,497.063315,98.49374028,,,,,,,,,,,
220,485.9110854,91.78535037,,,,,,,,,,,
230,475.5317835,85.71971481,,,,,,,,,,,
240,466.0546125,80.59118584,,,,,,,,,,,
250,457.2327423,76.30265219,,,,,,,,,,,
