cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
0,338,0,-10,726.4473092,177.7251522,577.9037043,163.6214937,493.9192716,122.6296687,446.437468,93.31688131,416.1406547,73.78618779
20.83330777,844.2477857,175.5265665,7.5,793.5153306,179.1923311,624.0083132,169.3372043,522.8574698,126.5581681,452.6093636,95.86294655,423.3154002,74.81585891
41.66672563,805.4956154,182.7631333,25,634.1084879,185.9962814,522.3880125,170.4810252,454.345337,122.7671676,411.302891,85.10528165,393.2095408,67.93837384
62.50002296,648.1735898,162.7518127,42.5,406.4775816,113.9421161,371.7008238,86.90450867,366.9471753,75.79512677,358.3738408,61.88307774,351.4470223,51.67341062
83.333324,544.2746105,141.0198641,60,316.1486186,40.7193521,308.2157788,22.9132338,316.8351454,34.90813768,320.8521928,36.31735505,319.9979697,32.63529642
104.1666744,503.5901178,121.5474881,,,,,,,,,,,
124.9999841,487.6550629,105.0637895,,,,,,,,,,,
145.8332978,470.5875023,91.80799133,,,,,,,,,,,
166.6666156,453.1589919,81.10149656,,,,,,,,,,,
187.4999375,436.0074878,71.7500599,,,,,,,,,,,
208.3332636,419.8743415,62.72087073,,,,,,,,,,,
229.1665941,406.9367221,56.91701353,,,,,,,,,,,
249.9999291,394.9990359,50.92442705,,,,,,,,,,,
