cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2,kW/m2
z,T_CL,X_O2,X_CO2,X_FUEL,X_H2O,X_N2,r_rad1,HF-Rad_fraction,radHF-Rad_fraction,HF-WSGGM,radHF-WSGGM,r_rad2,HF_hori-Rad_fraction,HF_hori-WSGGM
1.40E+01,1216.700358,8.58E-02,6.61E-02,2.06E-02,1.32E-01,6.95E-01,14,18.48421236,14.63099937,10.22932678,6.38255826,,,
1.50E+01,1208.110414,8.85E-02,6.49E-02,1.83E-02,1.30E-01,6.99E-01,15,16.08304896,13.73138818,8.123574767,5.774055745,,,
1.60E+01,1197.617863,9.13E-02,6.36E-02,1.61E-02,1.27E-01,7.02E-01,,,,,,,,
1.70E+01,1185.038908,9.43E-02,6.21E-02,1.42E-02,1.24E-01,7.05E-01,,,,,,,,
1.80E+01,1171.392854,9.74E-02,6.06E-02,1.25E-02,1.21E-01,7.08E-01,,,,,,,,
1.90E+01,1157.188184,1.00E-01,5.91E-02,1.10E-02,1.18E-01,7.11E-01,,,,,,,,
2.00E+01,1142.436534,1.03E-01,5.77E-02,9.69E-03,1.15E-01,7.14E-01,,,,,,,,
2.10E+01,1127.081218,1.06E-01,5.62E-02,8.49E-03,1.12E-01,7.17E-01,,,,,,,,
2.20E+01,1110.922247,1.09E-01,5.47E-02,7.44E-03,1.09E-01,7.19E-01,,,,,,,,
2.30E+01,1094.270335,1.12E-01,5.32E-02,6.52E-03,1.06E-01,7.22E-01,,,,,,,,
2.40E+01,1077.304647,1.15E-01,5.16E-02,5.74E-03,1.03E-01,7.24E-01,,,,,,,,
2.50E+01,1060.741223,1.18E-01,5.02E-02,5.06E-03,1.00E-01,7.26E-01,,,,,,,,
2.60E+01,1044.730451,1.21E-01,4.88E-02,4.46E-03,9.75E-02,7.29E-01,,,,,,,,
2.70E+01,1028.867673,1.23E-01,4.74E-02,3.92E-03,9.48E-02,7.31E-01,,,,,,,,
2.80E+01,1012.834988,1.26E-01,4.61E-02,3.43E-03,9.21E-02,7.33E-01,,,,,,,,
2.90E+01,996.3140093,1.28E-01,4.47E-02,2.99E-03,8.94E-02,7.35E-01,,,,,,,,
3.00E+01,979.1756372,1.31E-01,4.33E-02,2.60E-03,8.66E-02,7.37E-01,,,,,,,,
3.10E+01,961.6061329,1.33E-01,4.19E-02,2.27E-03,8.39E-02,7.38E-01,,,,,,,,
3.20E+01,943.6024973,1.36E-01,4.05E-02,1.97E-03,8.11E-02,7.40E-01,,,,,,,,
3.30E+01,925.2347621,1.39E-01,3.92E-02,1.70E-03,7.83E-02,7.42E-01,,,,,,,,
3.40E+01,906.9754062,1.41E-01,3.78E-02,1.46E-03,7.56E-02,7.44E-01,,,,,,,,
3.50E+01,889.2866599,1.44E-01,3.65E-02,1.26E-03,7.29E-02,7.46E-01,,,,,,,,
3.60E+01,872.0831909,1.46E-01,3.52E-02,1.08E-03,7.03E-02,7.47E-01,,,,,,,,
3.70E+01,854.8189605,1.48E-01,3.39E-02,9.23E-04,6.78E-02,7.49E-01,,,,,,,,
3.80E+01,837.2635005,1.51E-01,3.26E-02,7.81E-04,6.53E-02,7.51E-01,,,,,,,,
3.90E+01,819.8078795,1.53E-01,3.14E-02,6.58E-04,6.29E-02,7.52E-01,,,,,,,,
4.00E+01,803.1724759,1.55E-01,3.03E-02,5.52E-04,6.06E-02,7.54E-01,,,,,,,,
4.10E+01,787.4377512,1.57E-01,2.92E-02,4.59E-04,5.85E-02,7.55E-01,,,,,,,,
4.20E+01,772.1708969,1.59E-01,2.82E-02,3.82E-04,5.65E-02,7.56E-01,,,,,,,,
4.30E+01,757.8126468,1.60E-01,2.73E-02,3.19E-04,5.46E-02,7.57E-01,,,,,,,,
4.40E+01,744.4901213,1.62E-01,2.65E-02,2.68E-04,5.29E-02,7.58E-01,,,,,,,,
4.50E+01,731.7165048,1.63E-01,2.57E-02,2.24E-04,5.13E-02,7.59E-01,,,,,,,,
4.60E+01,719.4618641,1.65E-01,2.49E-02,1.86E-04,4.98E-02,7.60E-01,,,,,,,,
4.70E+01,707.7494771,1.66E-01,2.41E-02,1.52E-04,4.83E-02,7.61E-01,,,,,,,,
4.80E+01,696.4870711,1.68E-01,2.34E-02,1.24E-04,4.69E-02,7.62E-01,,,,,,,,
4.90E+01,685.8578647,1.69E-01,2.28E-02,1.01E-04,4.55E-02,7.63E-01,,,,,,,,
5.00E+01,675.8043407,1.70E-01,2.21E-02,8.07E-05,4.43E-02,7.64E-01,,,,,,,,
5.10E+01,666.0098294,1.71E-01,2.15E-02,6.46E-05,4.30E-02,7.64E-01,,,,,,,,
5.20E+01,656.1450048,1.72E-01,2.09E-02,5.17E-05,4.18E-02,7.65E-01,,,,,,,,
