Z/Q^0.4,dT (C),V/Q^0.2
0.00926031,920.757,0.434176
0.0123471,953.747,0.581771
0.0154339,976.445,0.718465
0.0185206,993.07,0.842646
0.0216074,1005.8,0.953911
0.0246942,1015.71,1.05383
0.0277809,1023.4,1.14343
0.0308677,1029.3,1.22452
0.0339545,1033.81,1.29824
0.0370413,1037.14,1.36595
0.040128,1039.35,1.4283
0.0432148,1040.35,1.48607
0.0463016,1040.27,1.5396
0.0493883,1039.27,1.58956
0.0524751,1037.39,1.63593
0.0555619,1034.6,1.67904
0.0586487,1030.95,1.71905
0.0617354,1026.45,1.75623
0.0648222,1021.23,1.7907
0.067909,1015.4,1.82299
0.0709957,1008.91,1.85263
0.0740825,1001.76,1.88002
0.0771693,993.84,1.90503
0.0802561,985.132,1.92777
0.0833428,975.57,1.94828
0.0864296,965.115,1.96634
0.0895164,953.802,1.98241
0.0926031,941.67,1.99635
0.0956899,928.802,2.00852
0.0987767,915.265,2.01882
0.101863,901.12,2.02764
0.10495,886.415,2.03449
0.108037,871.278,2.0398
0.111124,855.79,2.04378
0.114211,839.952,2.04655
0.117297,823.727,2.04791
0.120384,807.115,2.04784
0.123471,790.142,2.04671
0.126558,772.902,2.04425
0.129644,755.477,2.04069
0.132731,737.995,2.03611
0.135818,720.609,2.03102
0.138905,703.422,2.02561
0.141991,686.441,2.01918
0.145078,669.681,2.01214
0.148165,653.239,2.00458
0.151252,637.202,1.99717
0.154339,621.625,1.98952
0.157425,606.475,1.98197
0.160512,591.804,1.97489
0.163599,577.612,1.96809
0.166686,563.841,1.96135
0.169772,550.411,1.95479
0.172859,537.187,1.94779
0.175946,524.142,1.9408
0.179033,511.316,1.93335
0.182119,498.727,1.92566
0.185206,486.447,1.91749
0.188293,474.471,1.90981
0.19138,462.827,1.90168
0.194467,451.557,1.89395
0.197553,440.639,1.8856
0.20064,430.112,1.87717
0.203727,419.98,1.86859
0.206814,410.256,1.8602
0.2099,400.954,1.85232
0.212987,392.02,1.84511
0.216074,383.42,1.83808
0.219161,375.15,1.83201
0.222248,367.156,1.82555
0.225334,359.368,1.81949
0.228421,351.703,1.81248
0.231508,344.213,1.80605
0.234595,336.858,1.79949
0.237681,329.541,1.79286
0.240768,322.444,1.78649
0.243855,315.667,1.77898
0.246942,305.691,1.77158
0.253115,286.274,1.74399
0.259289,274.44,1.71977
0.265462,263.541,1.70343
0.271636,253.536,1.69358
0.277809,244.26,1.68538
0.283983,235.61,1.67673
0.290156,227.416,1.66646
0.29633,219.579,1.65446
0.302504,212.069,1.6414
0.308677,204.879,1.6278
0.314851,198.029,1.614
0.321024,191.468,1.60041
0.327198,185.187,1.58636
0.333371,179.176,1.57242
0.339545,173.418,1.55875
0.345718,167.98,1.54548
0.351892,162.896,1.53407
0.358065,158.117,1.52367
0.364239,153.618,1.51494
0.370413,149.347,1.50653
0.376586,145.261,1.49897
0.38276,141.34,1.49159
0.388933,137.54,1.48442
0.395107,133.915,1.47639
0.40128,130.469,1.46876
0.407454,127.179,1.46097
0.413627,124.046,1.45282
0.419801,121.03,1.44553
0.425974,118.103,1.43863
0.432148,115.258,1.43152
0.438322,112.461,1.42496
0.444495,109.707,1.41809
0.450669,107.024,1.41146
0.456842,104.439,1.40426
0.463016,101.974,1.39843
0.469189,99.6077,1.39235
0.475363,97.4002,1.38791
0.481536,95.276,1.38482
0.48771,93.4005,1.3797
0.493883,90.8765,1.37872
