Z/Q^0.4,dT (C),V/Q^0.2
0.00988787,597.216,0.427187
0.0123598,641.905,0.54628
0.0148318,677.203,0.656233
0.0173038,706.487,0.756492
0.0197757,731.732,0.847774
0.0222477,754.065,0.931011
0.0247197,774.133,1.00718
0.0271916,792.345,1.07718
0.0296636,809.012,1.14188
0.0321356,824.293,1.20186
0.0346076,838.322,1.25771
0.0370795,851.183,1.30985
0.0395515,862.992,1.35863
0.0420235,873.782,1.4043
0.0444954,883.572,1.4472
0.0469674,892.43,1.48743
0.0494394,900.375,1.52532
0.0519113,907.425,1.56081
0.0543833,913.572,1.59416
0.0568553,918.92,1.62547
0.0593272,923.477,1.65482
0.0617992,927.132,1.68207
0.0642712,929.855,1.70737
0.0667431,931.63,1.73073
0.0692151,932.432,1.75226
0.0716871,932.305,1.77224
0.074159,931.312,1.79061
0.076631,929.53,1.80765
0.079103,927.045,1.8234
0.0815749,923.932,1.83807
0.0840469,920.28,1.85178
0.0865189,916.165,1.86449
0.0889909,911.617,1.87653
0.0914628,906.595,1.88786
0.0939348,901.137,1.8986
0.0964068,895.34,1.90861
0.0988787,889.215,1.91789
0.101351,882.698,1.92662
0.103823,875.615,1.93428
0.106295,867.96,1.94125
0.108767,859.922,1.94752
0.111239,851.595,1.95336
0.113711,842.932,1.95855
0.116183,833.83,1.96288
0.118654,824.367,1.96653
0.121126,814.595,1.96978
0.123598,804.687,1.9727
0.12607,794.692,1.97536
0.128542,784.532,1.97719
0.131014,774.285,1.97848
0.133486,763.902,1.97878
0.135958,753.43,1.97884
0.13843,742.945,1.97836
0.140902,732.555,1.97781
0.143374,722.291,1.97718
0.145846,712.122,1.97673
0.148318,701.982,1.97568
0.15079,691.816,1.9747
0.153262,681.537,1.97291
0.155734,671.106,1.97085
0.158206,660.508,1.96793
0.160678,649.757,1.96478
0.16315,638.929,1.96053
0.165622,628.13,1.95625
0.168094,617.369,1.95088
0.170566,606.682,1.94581
0.173038,596.063,1.94031
0.17551,585.559,1.93529
0.177982,575.109,1.92946
0.180454,564.674,1.92444
0.182926,554.332,1.91856
0.185398,544.044,1.91317
0.18787,533.884,1.90688
0.190342,523.6,1.90144
0.192814,513.578,1.89472
0.195285,503.874,1.88885
0.197757,488.116,1.88028
0.202701,456.701,1.84406
0.207645,437.91,1.8231
0.212589,420.614,1.80704
0.217533,404.583,1.79589
0.222477,389.566,1.78681
0.227421,375.43,1.77766
0.232365,362.128,1.76819
0.237309,349.591,1.75799
0.242253,337.771,1.74762
0.247197,326.569,1.7374
0.252141,315.831,1.72674
0.257085,305.447,1.71635
0.262029,295.356,1.70492
0.266973,285.519,1.69329
0.271916,275.89,1.68094
0.27686,266.532,1.66848
0.281804,257.607,1.65631
0.286748,249.185,1.6447
0.291692,241.154,1.63315
0.296636,233.501,1.62172
0.30158,226.213,1.61117
0.306524,219.238,1.60092
0.311468,212.552,1.59088
0.316412,206.169,1.58098
0.321356,200.047,1.57145
0.3263,194.173,1.56129
0.331244,188.59,1.55192
0.336188,183.295,1.54202
0.341132,178.297,1.53306
0.346076,173.604,1.5249
0.351019,169.196,1.51766
0.355963,165.037,1.51106
0.360907,161.094,1.50567
0.365851,157.311,1.4993
0.370795,153.68,1.49459
0.375739,150.184,1.48882
0.380683,146.823,1.48442
0.385627,143.476,1.4798
0.390571,140.582,1.47385
0.395515,136.355,1.47166
0.405403,127.728,1.44235
0.415291,122.763,1.41921
0.425179,118.117,1.41087
0.435066,113.787,1.40806
0.444954,109.679,1.40304
0.454842,105.818,1.39524
0.46473,102.188,1.38648
0.474618,98.7903,1.37746
0.484506,95.5265,1.36809
0.494394,92.4005,1.3567
