Z/Q^0.4,dT (C),V/Q^0.2
0.0109508,1192.55,0.527788
0.0146011,1200.19,0.697381
0.0182514,1203.86,0.852491
0.0219017,1204.83,0.991405
0.025552,1203.82,1.11483
0.0292022,1201,1.22441
0.0328525,1196.55,1.32161
0.0365028,1190.61,1.40855
0.0401531,1183.2,1.48655
0.0438034,1174.34,1.55697
0.0474536,1164.01,1.62047
0.0511039,1152.3,1.67772
0.0547542,1139.28,1.72935
0.0584045,1124.86,1.77554
0.0620548,1109.09,1.81671
0.065705,1092.25,1.85341
0.0693553,1074.46,1.8858
0.0730056,1055.8,1.91425
0.0766559,1036.43,1.93881
0.0803061,1016.55,1.96017
0.0839564,996.285,1.9787
0.0876067,975.597,1.9943
0.091257,954.68,2.00782
0.0949073,933.805,2.01962
0.0985575,913.002,2.02983
0.102208,892.242,2.03855
0.105858,871.532,2.046
0.109508,850.915,2.05203
0.113159,830.325,2.05646
0.116809,809.817,2.05982
0.120459,789.427,2.062
0.12411,769.135,2.06281
0.12776,748.882,2.06195
0.13141,728.737,2.05992
0.13506,708.753,2.05631
0.138711,688.835,2.05141
0.142361,668.911,2.04477
0.146011,649.136,2.03712
0.149661,629.681,2.02855
0.153312,610.721,2.01962
0.156962,592.291,2.01062
0.160612,574.316,2.00137
0.164263,556.808,1.99175
0.167913,539.763,1.98158
0.171563,523.228,1.97148
0.175213,507.255,1.96122
0.178864,491.876,1.95122
0.182514,477.075,1.94073
0.186164,462.827,1.93071
0.189815,449.102,1.9206
0.193465,435.954,1.91093
0.197115,423.357,1.90122
0.200765,411.272,1.89188
0.204416,399.692,1.88221
0.208066,388.575,1.87292
0.211716,377.891,1.86351
0.215366,367.584,1.8545
0.219017,357.583,1.84515
0.222667,347.902,1.83605
0.226317,338.562,1.82688
0.229968,329.548,1.81822
0.233618,320.904,1.80945
0.237268,312.621,1.80073
0.240918,304.667,1.79195
0.244569,297.035,1.78338
0.248219,289.725,1.77527
0.251869,282.701,1.76711
0.25552,275.949,1.75898
0.25917,269.482,1.75122
0.26282,263.273,1.74334
0.26647,257.302,1.73606
0.270121,251.564,1.72871
0.273771,246.061,1.72177
0.277421,240.715,1.71473
0.281072,235.527,1.70801
0.284722,230.517,1.70186
0.288372,225.862,1.69377
0.292022,219.513,1.68798
0.299323,207.132,1.66751
0.306623,199.252,1.64342
0.313924,191.894,1.6278
0.321225,185.133,1.61906
0.328525,178.841,1.61216
0.335826,172.93,1.60406
0.343126,167.333,1.59433
0.350427,162.017,1.58349
0.357727,156.951,1.57214
0.365028,152.078,1.56043
0.372329,147.363,1.54831
0.379629,142.785,1.53591
0.38693,138.317,1.52328
0.39423,133.978,1.51022
0.401531,129.793,1.49731
0.408831,125.788,1.48492
0.416132,121.972,1.47303
0.423432,118.337,1.46151
0.430733,114.892,1.45021
0.438034,111.652,1.43937
0.445334,108.612,1.42951
0.452635,105.735,1.42039
0.459935,103.011,1.41185
0.467236,100.429,1.40358
0.474536,97.9642,1.39566
0.481837,95.6047,1.38792
0.489137,93.3335,1.38093
0.496438,91.1245,1.37381
