Z/Q^0.4,dT (C),V/Q^0.2
0.00818715,697.818,0.361112
0.0109162,747.92,0.494795
0.0136452,784.065,0.620024
0.0163743,812.1,0.735253
0.0191033,835.038,0.839393
0.0218324,854.412,0.933884
0.0245614,871.18,1.01948
0.0272905,885.87,1.09754
0.0300195,898.792,1.16902
0.0327486,910.11,1.23471
0.0354776,919.867,1.29532
0.0382067,928.175,1.35136
0.0409357,935.215,1.40333
0.0436648,941.083,1.45158
0.0463938,945.8,1.49638
0.0491229,949.512,1.53799
0.0518519,952.285,1.57669
0.054581,954.092,1.61258
0.05731,954.932,1.64572
0.0600391,954.88,1.67645
0.0627681,954.04,1.70502
0.0654972,952.475,1.73176
0.0682262,950.232,1.75643
0.0709553,947.25,1.77945
0.0736843,943.543,1.80063
0.0764134,939.145,1.82037
0.0791424,933.92,1.83845
0.0818715,927.907,1.85504
0.0846005,921.242,1.87024
0.0873296,913.99,1.88394
0.0900586,906.177,1.89667
0.0927877,897.867,1.90814
0.0955167,889.25,1.91879
0.0982458,880.327,1.92831
0.100975,871.025,1.93701
0.103704,861.285,1.94463
0.106433,851.015,1.95134
0.109162,840.255,1.95702
0.111891,829.035,1.96177
0.11462,817.31,1.96568
0.117349,805.095,1.96867
0.120078,792.435,1.97055
0.122807,779.365,1.97159
0.125536,765.945,1.97166
0.128265,752.235,1.97091
0.130994,738.392,1.96933
0.133723,724.472,1.96718
0.136452,710.583,1.96441
0.139182,696.823,1.96115
0.141911,683.098,1.95688
0.14464,669.527,1.95242
0.147369,656.214,1.94761
0.150098,643.102,1.94239
0.152827,630.269,1.93722
0.155556,617.808,1.93236
0.158285,605.841,1.92817
0.161014,594.377,1.92454
0.163743,583.344,1.92135
0.166472,572.653,1.91841
0.169201,562.216,1.91579
0.17193,551.899,1.91348
0.174659,541.662,1.91115
0.177388,531.412,1.90898
0.180117,521.133,1.90601
0.182846,510.839,1.90307
0.185575,500.533,1.89912
0.188304,490.259,1.89539
0.191033,480.056,1.89047
0.193763,469.903,1.88552
0.196492,459.803,1.87935
0.199221,449.762,1.87311
0.20195,439.817,1.8657
0.204679,429.978,1.85846
0.207408,420.21,1.84992
0.210137,410.53,1.84186
0.212866,401.197,1.83347
0.215595,392.252,1.82524
0.218324,379.251,1.81549
0.223782,354.471,1.78296
0.22924,339.817,1.76181
0.234698,326.517,1.74719
0.240156,314.312,1.73747
0.245614,302.96,1.7292
0.251073,292.274,1.7209
0.256531,282.095,1.71075
0.261989,272.405,1.69986
0.267447,263.201,1.68844
0.272905,254.375,1.67656
0.278363,245.897,1.66415
0.283821,237.757,1.65167
0.289279,229.91,1.63899
0.294737,222.382,1.62621
0.300195,215.203,1.61354
0.305654,208.394,1.60104
0.311112,201.915,1.58887
0.31657,195.73,1.57706
0.322028,189.889,1.56637
0.327486,184.395,1.55625
0.332944,179.193,1.54715
0.338402,174.228,1.53827
0.34386,169.486,1.52978
0.349318,164.912,1.52146
0.354776,160.497,1.51269
0.360235,156.242,1.50384
0.365693,152.125,1.49556
0.371151,148.201,1.48705
0.376609,144.477,1.47945
0.382067,140.944,1.47139
0.387525,137.572,1.46514
0.392983,134.32,1.45789
0.398441,131.167,1.45253
0.403899,128.12,1.44573
0.409357,125.198,1.44048
0.414816,122.329,1.4351
0.420274,119.602,1.4302
0.425732,116.957,1.42688
0.43119,114.62,1.42107
0.436648,111.354,1.42031
0.447564,104.82,1.39608
0.45848,100.997,1.37403
0.469397,97.4245,1.36626
0.480313,94.1102,1.36371
0.491229,90.925,1.35849
