Z/Q^0.4,dT (C),V/Q^0.2
0.00860191,1380.58,0.418017
0.0129029,1370.78,0.626035
0.0172038,1358.41,0.817441
0.0215048,1344.24,0.987938
0.0258057,1327.98,1.13753
0.0301067,1309.96,1.26738
0.0344076,1290.3,1.38043
0.0387086,1269.12,1.47839
0.0430096,1246.72,1.56387
0.0473105,1223.21,1.63861
0.0516115,1198.65,1.70411
0.0559124,1173.15,1.76157
0.0602134,1146.84,1.81187
0.0645143,1119.91,1.85593
0.0688153,1092.44,1.8942
0.0731163,1064.53,1.92738
0.0774172,1036.23,1.95561
0.0817182,1007.65,1.97921
0.0860191,978.905,1.99844
0.0903201,950.035,2.01366
0.094621,921.31,2.02583
0.098922,892.897,2.03496
0.103223,864.832,2.04127
0.107524,837.072,2.04542
0.111825,809.59,2.04698
0.116126,782.532,2.04689
0.120427,756.075,2.04505
0.124728,730.372,2.04223
0.129029,705.365,2.03828
0.13333,681.053,2.03327
0.137631,657.513,2.02761
0.141932,634.768,2.02098
0.146233,612.809,2.0134
0.150533,591.641,2.00501
0.154834,571.319,1.99625
0.159135,551.874,1.98729
0.163436,533.399,1.97895
0.167737,515.934,1.97112
0.172038,499.363,1.96366
0.176339,483.573,1.9566
0.18064,468.524,1.95025
0.184941,454.135,1.94409
0.189242,440.335,1.93803
0.193543,427.051,1.93188
0.197844,414.237,1.92592
0.202145,401.843,1.91993
0.206446,389.805,1.91316
0.210747,378.137,1.90562
0.215048,366.835,1.89741
0.219349,355.873,1.88862
0.22365,345.31,1.87931
0.227951,335.188,1.87025
0.232252,325.528,1.86116
0.236553,316.334,1.85218
0.240854,307.577,1.84324
0.245155,299.201,1.83434
0.249455,291.218,1.82568
0.253756,283.614,1.8174
0.258057,276.313,1.80863
0.262358,269.252,1.79959
0.266659,262.423,1.79034
0.27096,255.86,1.78143
0.275261,249.526,1.77234
0.279562,243.439,1.76356
0.283863,237.619,1.75488
0.288164,232.043,1.74757
0.292465,226.705,1.73987
0.296766,221.577,1.73311
0.301067,216.591,1.72559
0.305368,211.739,1.71854
0.309669,207.029,1.71102
0.31397,202.449,1.70361
0.318271,198.008,1.6957
0.322572,193.696,1.68792
0.326873,189.477,1.68015
0.331174,185.361,1.67195
0.335475,181.35,1.66518
0.339776,177.758,1.65612
0.344076,172.75,1.64959
0.352678,162.77,1.6258
0.36128,156.596,1.59956
0.369882,150.776,1.58237
0.378484,145.372,1.57156
0.387086,140.299,1.56297
0.395688,135.501,1.553
0.40429,130.96,1.54211
0.412892,126.666,1.53019
0.421494,122.624,1.51868
0.430096,118.816,1.50763
0.438698,115.227,1.49702
0.447299,111.837,1.48674
0.455901,108.622,1.47672
0.464503,105.576,1.46732
0.473105,102.66,1.45834
0.481707,99.848,1.44986
0.490309,97.1333,1.44232
0.498911,94.512,1.43519
