z (m),T'/DT,u'/V,v'/V,w'/V
1.25,0.694772,0.168954,0.348382,0.166248
1.275,0.692012,0.170417,0.347705,0.166728
1.3,0.688477,0.171068,0.346783,0.166825
1.325,0.684406,0.170836,0.346005,0.167393
1.35,0.679757,0.170423,0.345045,0.16861
1.375,0.674595,0.169937,0.344618,0.169408
1.4,0.669093,0.170064,0.344759,0.169414
1.425,0.662987,0.170428,0.343568,0.16928
1.45,0.65639,0.171452,0.342852,0.169084
1.475,0.649051,0.172261,0.342718,0.169649
1.5,0.640819,0.172193,0.34397,0.169791
1.525,0.632832,0.172612,0.343708,0.170309
1.55,0.625497,0.172343,0.34247,0.171158
1.575,0.618315,0.17201,0.340849,0.171733
1.6,0.610652,0.172602,0.337988,0.172442
1.625,0.602697,0.173272,0.335016,0.172551
1.65,0.595164,0.174712,0.332914,0.172508
1.675,0.588246,0.176163,0.330291,0.17297
1.7,0.58164,0.176423,0.328301,0.172713
1.725,0.575049,0.177041,0.326572,0.172431
1.75,0.56882,0.17753,0.325408,0.17333
1.775,0.562574,0.176629,0.325188,0.173608
1.8,0.556244,0.175452,0.323711,0.17446
1.825,0.549986,0.174415,0.323866,0.17554
1.85,0.543756,0.173785,0.322657,0.17709
1.875,0.538123,0.173713,0.322199,0.177777
1.9,0.532416,0.174176,0.321985,0.177812
1.925,0.526988,0.175289,0.322254,0.178477
1.95,0.521311,0.176319,0.320254,0.179072
1.975,0.520899,0.182246,0.331021,0.183847
2,0.508304,0.178466,0.321397,0.177796
