r(cm),T_mean(K),T_rms(K),fv_mean(ppm),fv_rms(ppm)
-20,297.99,0.0037769,2.354e-11,4.2599e-10
-19.8,297.99,0.0038823,2.5209e-10,4.7636e-09
-19.6,297.99,0.0039885,4.9157e-10,9.3094e-09
-19.4,297.99,0.0040946,7.3106e-10,1.3855e-08
-19.2,297.99,0.0042008,9.7054e-10,1.8401e-08
-19,297.98,0.004307,1.21e-09,2.2946e-08
-18.8,297.98,0.0044161,3.0838e-09,5.8785e-08
-18.6,297.98,0.0045381,1.2355e-08,2.3635e-07
-18.4,297.98,0.0046602,2.1627e-08,4.1393e-07
-18.2,297.98,0.0047822,3.0898e-08,5.915e-07
-18,297.98,0.0049042,4.017e-08,7.6907e-07
-17.8,297.98,0.0050262,4.9442e-08,9.4664e-07
-17.6,297.98,0.0054449,2.2351e-07,4.2221e-06
-17.4,297.98,0.0059927,4.6904e-07,8.8411e-06
-17.2,297.98,0.0065406,7.1457e-07,1.346e-05
-17,297.98,0.0070884,9.601e-07,1.8079e-05
-16.8,297.98,0.0076362,1.2056e-06,2.2698e-05
-16.6,297.98,0.012675,3.7755e-06,6.6408e-05
-16.4,297.98,0.022422,8.7867e-06,0.00015113
-16.2,297.98,0.032169,1.3798e-05,0.00023586
-16,297.98,0.041916,1.8809e-05,0.00032058
-15.8,297.98,0.051662,2.382e-05,0.0004053
-15.6,297.98,0.11706,5.1146e-05,0.00083942
-15.4,297.98,0.2297,9.7383e-05,0.0015692
-15.2,297.99,0.34234,0.00014362,0.0022991
-15,298,0.45498,0.00018985,0.0030289
-14.8,298,0.56762,0.00023609,0.0037588
-14.6,298.06,1.3651,0.00047918,0.0069165
-14.4,298.12,2.2914,0.00075895,0.010525
-14.2,298.18,3.2177,0.0010387,0.014134
-14,298.24,4.144,0.0013185,0.017743
-13.8,298.39,5.8249,0.0018513,0.023505
-13.6,298.67,8.7376,0.0027987,0.032767
-13.4,298.95,11.65,0.0037461,0.04203
