r(cm),T_mean(K),T_rms(K),fv_mean(ppm),fv_rms(ppm)
-20,301.18,19.462,0.00083524,0.0053581
-19.8,301.59,21.004,0.00093214,0.0057529
-19.6,302.01,22.558,0.0010304,0.0061496
-19.4,302.43,24.112,0.0011286,0.0065462
-19.2,302.85,25.666,0.0012269,0.0069429
-19,303.27,27.221,0.0013251,0.0073395
-18.8,303.73,28.839,0.0014332,0.0077661
-18.6,304.33,30.737,0.0015852,0.0083312
-18.4,304.94,32.636,0.0017372,0.0088964
-18.2,305.55,34.534,0.0018891,0.0094616
-18,306.16,36.432,0.0020411,0.010027
-17.8,306.77,38.33,0.002193,0.010592
-17.6,307.64,40.866,0.002443,0.011626
-17.4,308.61,43.664,0.002732,0.012845
-17.2,309.58,46.462,0.0030209,0.014064
-17,310.56,49.261,0.0033099,0.015283
-16.8,311.54,52.059,0.0035989,0.016503
-16.6,312.87,55.69,0.0040223,0.018219
-16.4,314.55,60.139,0.0045777,0.020419
-16.2,316.23,64.589,0.0051331,0.02262
-16,317.92,69.04,0.0056884,0.024821
-15.8,319.6,73.489,0.0062438,0.027021
-15.6,321.82,78.571,0.0069431,0.029491
-15.4,324.47,84.181,0.0077612,0.032183
-15.2,327.12,89.791,0.0085793,0.034874
-15,329.78,95.401,0.0093975,0.037566
-14.8,332.43,101.01,0.010216,0.040258
-14.6,335.74,106.67,0.011177,0.042826
-14.4,339.17,112.36,0.012166,0.045387
-14.2,342.6,118.04,0.013156,0.047947
-14,346.03,123.73,0.014146,0.050508
-13.8,349.59,129.15,0.015151,0.053123
-13.6,353.35,134.14,0.016184,0.055843
-13.4,357.11,139.13,0.017217,0.058563
-13.2,360.87,144.12,0.01825,0.061283
-13,364.67,149.01,0.01928,0.063975
-12.8,368.79,153.2,0.020312,0.066504
-12.6,372.9,157.38,0.021343,0.069034
-12.4,377.02,161.57,0.022374,0.071564
-12.2,381.2,165.73,0.023417,0.074084
-12,386.01,169.64,0.024585,0.076628
-11.8,390.82,173.55,0.025753,0.079171
-11.6,395.63,177.46,0.026921,0.081714
-11.4,400.63,181.47,0.028119,0.084446
-11.2,406.14,185.77,0.029395,0.087702
-11,411.65,190.07,0.030672,0.090961
-10.8,417.16,194.37,0.031948,0.094217
-10.6,422.91,198.84,0.03324,0.097895
-10.4,428.8,203.41,0.03454,0.10181
-10.2,434.69,207.97,0.035839,0.10573
-10,440.57,212.48,0.037147,0.10977
-9.8,446.44,216.7,0.038503,0.11442
-9.6,452.31,220.91,0.03986,0.11907
