r(cm),T_mean(K),T_rms(K),fv_mean(ppm),fv_rms(ppm)
-20,298.23,2.6005,0.00077076,0.0068237
-19.8,298.32,3.3297,0.0009648,0.0083921
-19.6,298.42,4.0731,0.0011621,0.0099862
-19.4,298.51,4.8165,0.0013595,0.01158
-19.2,298.61,5.5599,0.0015568,0.013175
-19,298.71,6.3033,0.0017542,0.014769
-18.8,298.84,7.2596,0.0020434,0.016859
-18.6,299.14,9.1029,0.0027175,0.021102
-18.4,299.45,10.946,0.0033918,0.025346
-18.2,299.75,12.789,0.0040659,0.029589
-18,300.06,14.633,0.0047401,0.033833
-17.8,300.36,16.476,0.0054143,0.038076
-17.6,300.98,19.397,0.0068144,0.044994
-17.4,301.73,22.762,0.0085156,0.053017
-17.2,302.48,26.127,0.010217,0.061039
-17,303.23,29.492,0.011918,0.069062
-16.8,303.99,32.857,0.013619,0.077084
-16.6,305.03,36.643,0.015946,0.086281
-16.4,306.36,40.856,0.018905,0.096625
-16.2,307.69,45.069,0.021864,0.10697
-16,309.02,49.282,0.024823,0.11731
-15.8,310.35,53.495,0.027782,0.12766
-15.6,311.97,57.766,0.031253,0.13797
-15.4,313.83,62.09,0.035147,0.14824
-15.2,315.69,66.415,0.039041,0.1585
-15,317.56,70.74,0.042935,0.16877
-14.8,319.42,75.065,0.046829,0.17904
-14.6,321.69,79.244,0.051343,0.18785
-14.4,324.04,83.391,0.05597,0.19639
-14.2,326.39,87.538,0.060597,0.20494
-14,328.73,91.686,0.065224,0.21349
-13.8,331.3,95.888,0.070316,0.22197
-13.6,334.22,100.17,0.076178,0.23034
-13.4,337.15,104.45,0.082042,0.23871
-13.2,340.07,108.73,0.087905,0.24707
-13,343.09,113.01,0.093939,0.25562
-12.8,346.68,117.32,0.10109,0.2653
-12.6,350.27,121.64,0.10824,0.27499
-12.4,353.85,125.95,0.1154,0.28467
-12.2,357.5,130.26,0.12258,0.29425
-12,361.71,134.49,0.13007,0.30287
-11.8,365.92,138.73,0.13756,0.31149
-11.6,370.13,142.97,0.14505,0.32011
-11.4,374.51,147.27,0.15248,0.32821
-11.2,379.36,151.75,0.15976,0.33486
-11,384.21,156.23,0.16704,0.34152
-10.8,389.06,160.71,0.17432,0.34817
-10.6,394.34,165.41,0.18191,0.35614
-10.4,399.88,170.23,0.18966,0.36488
-10.2,405.42,175.05,0.19742,0.37361
-10,411.07,179.89,0.20533,0.38285
-9.8,417.25,184.86,0.21401,0.39456
-9.6,423.43,189.82,0.22268,0.40627
-9.4,429.6,194.79,0.23135,0.41798
-9.2,436.43,200.06,0.24003,0.42983
-9,443.33,205.38,0.24871,0.44171
-8.8,450.24,210.69,0.25739,0.45359
-8.6,457.52,216.21,0.26581,0.46636
-8.4,464.91,221.79,0.27416,0.47941
-8.2,472.31,227.37,0.28251,0.49245
-8,479.69,232.96,0.29069,0.50712
-7.8,487.08,238.56,0.29883,0.52217
-7.6,494.47,244.15,0.30698,0.53721
-7.4,503.15,250.33,0.31669,0.55609
-7.2,511.85,256.52,0.32641,0.57498
-7,520.66,262.38,0.33664,0.59523
-6.8,529.58,268.1,0.3471,0.61609
-6.6,538.85,274.18,0.35813,0.64042
-6.4,548.52,280.49,0.36996,0.66815
-6.2,558.38,287.07,0.38201,0.69672
-6,568.65,293.87,0.39451,0.72806
-5.8,578.92,300.6,0.40696,0.75954
-5.6,589.52,307.28,0.41988,0.79105
-5.4,600.36,313.67,0.4327,0.82268
-5.2,611.24,319.9,0.44549,0.85385
-5,622.8,326.28,0.45931,0.8863
-4.8,634.51,332.6,0.47335,0.91926
-4.6,646.46,339.1,0.4884,0.95346
-4.4,658.43,345.7,0.50408,0.9886
-4.2,670.61,352.65,0.51982,1.0237
-4,682.86,359.79,0.5361,1.0583
-3.8,695.34,366.94,0.55259,1.0917
-3.6,709.31,374.42,0.57308,1.1304
-3.4,722.37,380.57,0.59455,1.169
-3.2,734.02,385.29,0.6149,1.203
-3,744.76,389.07,0.63522,1.237
-2.8,754.95,392.35,0.65504,1.2696
-2.6,764.48,394.96,0.67441,1.3006
-2.4,773.79,397.36,0.69286,1.3256
-2.2,782.91,399.4,0.71059,1.3468
-2,792.06,401.38,0.72885,1.3674
-1.8,800.81,403.12,0.74684,1.3879
-1.6,808.95,404.48,0.76518,1.4102
-1.4,816.25,405.45,0.78213,1.4323
-1.2,822.79,406.23,0.7987,1.4565
-1,828.64,407.05,0.81535,1.4821
-0.8,833.39,407.7,0.83044,1.5063
-0.6,837.31,408.17,0.84187,1.5239
-0.4,840.29,408.37,0.84749,1.5323
-0.2,842.04,408.52,0.84832,1.5332
-0,843.45,408.71,0.84723,1.531
0,843.45,408.71,0.84723,1.531
0.2,842.04,408.52,0.84832,1.5332
0.4,840.29,408.37,0.84749,1.5323
0.6,837.31,408.17,0.84187,1.5239
0.8,833.39,407.7,0.83044,1.5063
1,828.64,407.05,0.81535,1.4821
1.2,822.79,406.23,0.7987,1.4565
1.4,816.25,405.45,0.78213,1.4323
1.6,808.95,404.48,0.76518,1.4102
1.8,800.81,403.12,0.74684,1.3879
2,792.06,401.38,0.72885,1.3674
2.2,782.91,399.4,0.71059,1.3468
2.4,773.79,397.36,0.69286,1.3256
2.6,764.48,394.96,0.67441,1.3006
2.8,754.95,392.35,0.65504,1.2696
3,744.76,389.07,0.63522,1.237
