z(cm),rad(kW/m)
86.36,0.0063903
81.28,0.015657
76.2,0.040905
71.12,0.10842
66.04,0.26037
60.96,0.52199
55.88,0.94883
50.8,1.5065
45.72,2.3144
40.64,3.6505
35.56,5.5713
30.48,7.6579
25.4,9.2477
20.32,10.645
17.78,11.291
15.24,12.14
12.7,13.119
10.16,13.915
7.62,13.893
5.08,13.812
2.54,20.289
