r(cm),T_mean(K),T_rms(K),fv_mean(ppm),fv_rms(ppm)
-20,306.01,33.587,0.036087,0.1539
-19.8,306.94,35.874,0.039848,0.16309
-19.6,307.87,38.184,0.04366,0.17236
-19.4,308.81,40.494,0.047472,0.18164
-19.2,309.74,42.805,0.051285,0.19091
-19,310.67,45.115,0.055097,0.20019
-18.8,311.66,47.4,0.05906,0.20922
-18.6,312.84,49.613,0.063669,0.21737
-18.4,314.02,51.825,0.068278,0.22553
-18.2,315.21,54.038,0.072887,0.23368
-18,316.4,56.25,0.077497,0.24184
-17.8,317.58,58.463,0.082106,0.24999
-17.6,318.92,60.497,0.087273,0.25778
-17.4,320.33,62.459,0.092663,0.2654
-17.2,321.74,64.421,0.098052,0.27302
-17,323.15,66.383,0.10344,0.28064
-16.8,324.55,68.345,0.10883,0.28826
-16.6,326.08,70.28,0.11452,0.29605
-16.4,327.73,72.186,0.12053,0.30396
-16.2,329.37,74.092,0.12653,0.31187
-16,331.02,75.998,0.13254,0.31978
-15.8,332.67,77.904,0.13855,0.32769
-15.6,334.45,79.836,0.14487,0.33493
-15.4,336.34,81.778,0.15147,0.34156
-15.2,338.24,83.72,0.15806,0.34819
-15,340.13,85.662,0.16466,0.35482
-14.8,342.03,87.604,0.17126,0.36146
-14.6,344.12,89.603,0.17835,0.36859
-14.4,346.24,91.607,0.18553,0.37575
-14.2,348.36,93.61,0.1927,0.38291
-14,350.48,95.613,0.19988,0.39007
-13.8,352.71,97.725,0.20734,0.39813
-13.6,355.12,100.03,0.21527,0.40772
-13.4,357.52,102.33,0.22319,0.41731
-13.2,359.93,104.64,0.23111,0.4269
-13,362.37,106.98,0.23911,0.43632
-12.8,365.05,109.62,0.24759,0.44543
-12.6,367.72,112.27,0.25607,0.45454
-12.4,370.4,114.91,0.26455,0.46366
-12.2,373.1,117.58,0.27311,0.47326
-12,376.02,120.41,0.2824,0.4878
-11.8,378.95,123.25,0.29169,0.50234
-11.6,381.87,126.08,0.30098,0.51687
-11.4,384.88,128.94,0.31068,0.53437
-11.2,388.13,131.84,0.32149,0.55966
-11,391.37,134.75,0.33231,0.58496
-10.8,394.62,137.65,0.34312,0.61025
-10.6,398.13,140.73,0.35416,0.63313
-10.4,401.78,143.9,0.36535,0.65457
-10.2,405.44,147.08,0.37653,0.67601
-10,409.15,150.33,0.38769,0.69697
-9.8,413.15,153.99,0.39881,0.71565
-9.6,417.15,157.65,0.40992,0.73434
-9.4,421.16,161.3,0.42104,0.75302
-9.2,425.43,165.21,0.43302,0.77304
-9,429.73,169.16,0.4451,0.7932
-8.8,434.04,173.1,0.45719,0.81337
-8.6,438.69,177.28,0.47035,0.83685
-8.4,443.45,181.54,0.48384,0.86133
-8.2,448.2,185.79,0.49733,0.88583
-8,453.22,190.27,0.51136,0.91571
-7.8,458.31,194.81,0.52552,0.94697
-7.6,463.4,199.34,0.53968,0.97824
-7.4,469.19,204.57,0.55617,1.0207
-7.2,474.99,209.81,0.57269,1.0634
-7,480.57,214.77,0.58859,1.1049
-6.8,486.07,219.66,0.60448,1.1478
-6.6,491.65,224.53,0.62044,1.1884
-6.4,497.36,229.38,0.6365,1.2256
-6.2,503.05,234.15,0.65283,1.2642
-6,508.87,238.8,0.66993,1.3065
-5.8,514.67,243.36,0.68697,1.3494
-5.6,520.54,247.8,0.70417,1.397
-5.4,526.51,252.2,0.72169,1.4461
-5.2,532.49,256.46,0.73856,1.4923
-5,538.61,260.66,0.75559,1.536
-4.8,544.81,264.83,0.77264,1.5761
-4.6,551.02,268.86,0.78874,1.6065
-4.4,557.17,272.82,0.80426,1.6323
-4.2,563.38,276.88,0.81944,1.6545
-4,569.53,280.95,0.83348,1.6757
-3.8,575.69,284.81,0.84872,1.7052
-3.6,582.42,288.71,0.86532,1.7376
-3.4,588.94,292.26,0.88194,1.77
-3.2,595.08,295.36,0.89841,1.8001
-3,601.28,298.69,0.91665,1.8369
-2.8,607.5,302.25,0.93579,1.8803
-2.6,613.49,305.81,0.95306,1.9271
-2.4,619,309.14,0.96717,1.9724
-2.2,624.13,312.17,0.97922,2.012
-2,628.97,314.94,0.98989,2.0454
-1.8,633.66,317.61,1.0001,2.077
-1.6,638.19,320.28,1.0111,2.1147
-1.4,642.58,322.9,1.0234,2.1604
-1.2,646.78,325.61,1.0348,2.2029
-1,650.62,328.15,1.0438,2.2437
-0.8,653.76,330.18,1.0502,2.2747
-0.6,656.32,331.68,1.0561,2.3046
-0.4,658.15,332.58,1.0629,2.3349
-0.2,659.16,332.97,1.0684,2.3614
-0,659.88,333.17,1.0736,2.3874
0,659.88,333.17,1.0736,2.3874
0.2,659.16,332.97,1.0684,2.3614
0.4,658.15,332.58,1.0629,2.3349
0.6,656.32,331.68,1.0561,2.3046
0.8,653.76,330.18,1.0502,2.2747
1,650.62,328.15,1.0438,2.2437
1.2,646.78,325.61,1.0348,2.2029
1.4,642.58,322.9,1.0234,2.1604
1.6,638.19,320.28,1.0111,2.1147
1.8,633.66,317.61,1.0001,2.077
2,628.97,314.94,0.98989,2.0454
2.2,624.13,312.17,0.97922,2.012
2.4,619,309.14,0.96717,1.9724
2.6,613.49,305.81,0.95306,1.9271
2.8,607.5,302.25,0.93579,1.8803
3,601.28,298.69,0.91665,1.8369
3.2,595.08,295.36,0.89841,1.8001
3.4,588.94,292.26,0.88194,1.77
3.6,582.42,288.71,0.86532,1.7376
3.8,575.69,284.81,0.84872,1.7052
4,569.53,280.95,0.83348,1.6757
4.2,563.38,276.88,0.81944,1.6545
4.4,557.17,272.82,0.80426,1.6323
4.6,551.02,268.86,0.78874,1.6065
4.8,544.81,264.83,0.77264,1.5761
5,538.61,260.66,0.75559,1.536
5.2,532.49,256.46,0.73856,1.4923
5.4,526.51,252.2,0.72169,1.4461
5.6,520.54,247.8,0.70417,1.397
5.8,514.67,243.36,0.68697,1.3494
6,508.87,238.8,0.66993,1.3065
6.2,503.05,234.15,0.65283,1.2642
6.4,497.36,229.38,0.6365,1.2256
6.6,491.65,224.53,0.62044,1.1884
6.8,486.07,219.66,0.60448,1.1478
7,480.57,214.77,0.58859,1.1049
7.2,474.99,209.81,0.57269,1.0634
7.4,469.19,204.57,0.55617,1.0207
7.6,463.4,199.34,0.53968,0.97824
7.8,458.31,194.81,0.52552,0.94697
8,453.22,190.27,0.51136,0.91571
8.2,448.2,185.79,0.49733,0.88583
8.4,443.45,181.54,0.48384,0.86133
8.6,438.69,177.28,0.47035,0.83685
8.8,434.04,173.1,0.45719,0.81337
9,429.73,169.16,0.4451,0.7932
9.2,425.43,165.21,0.43302,0.77304
9.4,421.16,161.3,0.42104,0.75302
9.6,417.15,157.65,0.40992,0.73434
9.8,413.15,153.99,0.39881,0.71565
10,409.15,150.33,0.38769,0.69697
10.2,405.44,147.08,0.37653,0.67601
10.4,401.78,143.9,0.36535,0.65457
10.6,398.13,140.73,0.35416,0.63313
10.8,394.62,137.65,0.34312,0.61025
11,391.37,134.75,0.33231,0.58496
11.2,388.13,131.84,0.32149,0.55966
11.4,384.88,128.94,0.31068,0.53437
11.6,381.87,126.08,0.30098,0.51687
11.8,378.95,123.25,0.29169,0.50234
12,376.02,120.41,0.2824,0.4878
12.2,373.1,117.58,0.27311,0.47326
12.4,370.4,114.91,0.26455,0.46366
12.6,367.72,112.27,0.25607,0.45454
12.8,365.05,109.62,0.24759,0.44543
13,362.37,106.98,0.23911,0.43632
13.2,359.93,104.64,0.23111,0.4269
13.4,357.52,102.33,0.22319,0.41731
13.6,355.12,100.03,0.21527,0.40772
13.8,352.71,97.725,0.20734,0.39813
14,350.48,95.613,0.19988,0.39007
14.2,348.36,93.61,0.1927,0.38291
14.4,346.24,91.607,0.18553,0.37575
14.6,344.12,89.603,0.17835,0.36859
14.8,342.03,87.604,0.17126,0.36146
15,340.13,85.662,0.16466,0.35482
15.2,338.24,83.72,0.15806,0.34819
15.4,336.34,81.778,0.15147,0.34156
15.6,334.45,79.836,0.14487,0.33493
15.8,332.67,77.904,0.13855,0.32769
16,331.02,75.998,0.13254,0.31978
16.2,329.37,74.092,0.12653,0.31187
16.4,327.73,72.186,0.12053,0.30396
16.6,326.08,70.28,0.11452,0.29605
16.8,324.55,68.345,0.10883,0.28826
17,323.15,66.383,0.10344,0.28064
17.2,321.74,64.421,0.098052,0.27302
17.4,320.33,62.459,0.092663,0.2654
17.6,318.92,60.497,0.087273,0.25778
17.8,317.58,58.463,0.082106,0.24999
18,316.4,56.25,0.077497,0.24184
18.2,315.21,54.038,0.072887,0.23368
18.4,314.02,51.825,0.068278,0.22553
18.6,312.84,49.613,0.063669,0.21737
18.8,311.66,47.4,0.05906,0.20922
19,310.67,45.115,0.055097,0.20019
19.2,309.74,42.805,0.051285,0.19091
19.4,308.81,40.494,0.047472,0.18164
19.6,307.87,38.184,0.04366,0.17236
19.8,306.94,35.874,0.039848,0.16309
20,306.01,33.587,0.036087,0.1539
