r(cm),T_mean(K),T_rms(K),fv_mean(ppm),fv_rms(ppm)
-20,298.08,0.17147,6.9769e-07,1.2013e-05
-19.8,298.09,0.25221,2.3044e-06,3.6211e-05
-19.6,298.1,0.33675,3.9884e-06,6.156e-05
-19.4,298.11,0.4213,5.6725e-06,8.691e-05
-19.2,298.12,0.50585,7.3563e-06,0.00011226
-19,298.12,0.59039,9.0402e-06,0.00013761
-18.8,298.14,0.74125,1.2104e-05,0.00017733
-18.6,298.19,1.1955,2.1428e-05,0.00028172
-18.4,298.23,1.6498,3.0752e-05,0.00038611
-18.2,298.28,2.1042,4.0075e-05,0.0004905
-18,298.33,2.5585,4.9399e-05,0.00059489
-17.8,298.38,3.0127,5.8722e-05,0.00069928
-17.6,298.49,3.8333,7.8654e-05,0.00087345
-17.4,298.63,4.8093,0.00010313,0.0010767
-17.2,298.76,5.7852,0.0001276,0.0012799
-17,298.9,6.7612,0.00015207,0.0014832
-16.8,299.04,7.7373,0.00017654,0.0016864
-16.6,299.27,9.1442,0.00022905,0.002153
-16.4,299.6,10.976,0.00031043,0.00289
-16.2,299.93,12.809,0.00039182,0.0036271
-16,300.27,14.641,0.00047321,0.0043641
-15.8,300.59,16.473,0.0005546,0.0051011
-15.6,301.18,19.276,0.00075671,0.0068673
-15.4,301.96,22.861,0.00106,0.0094886
-15.2,302.75,26.447,0.0013632,0.01211
-15,303.54,30.033,0.0016665,0.014731
-14.8,304.33,33.618,0.0019698,0.017352
-14.6,305.7,38.468,0.0026335,0.022005
-14.4,307.18,43.547,0.0033612,0.027003
-14.2,308.67,48.625,0.0040889,0.032
-14,310.15,53.703,0.0048165,0.036998
-13.8,311.99,59.279,0.0056375,0.041803
-13.6,314.42,65.69,0.0066113,0.046335
-13.4,316.85,72.103,0.0075851,0.050867
-13.2,319.28,78.516,0.008559,0.0554
-13,321.94,85.347,0.0095406,0.059815
-12.8,326.08,94.989,0.010586,0.063619
-12.6,330.22,104.63,0.011631,0.067423
-12.4,334.36,114.27,0.012676,0.071226
-12.2,338.71,124.13,0.013777,0.075363
-12,344.91,135.99,0.015367,0.082484
-11.8,351.12,147.84,0.016958,0.089606
-11.6,357.32,159.69,0.018548,0.096727
-11.4,363.86,171.36,0.020383,0.10511
-11.2,371.33,182.55,0.022885,0.11685
-11,378.78,193.73,0.025387,0.12859
-10.8,386.24,204.92,0.02789,0.14033
-10.6,394.34,215.01,0.030675,0.15247
-10.4,402.82,224.47,0.033631,0.16486
-10.2,411.29,233.93,0.036588,0.17725
-10,420.11,243.4,0.039525,0.18943
-9.8,430.51,252.9,0.042385,0.2007
-9.6,440.92,262.4,0.045245,0.21197
-9.4,451.32,271.91,0.048106,0.22324
-9.2,463.34,281.8,0.051858,0.23682
-9,475.56,291.73,0.055725,0.25071
-8.8,487.77,301.67,0.059592,0.26459
-8.6,500.35,310.49,0.06515,0.28215
-8.4,513.03,318.96,0.071225,0.30084
-8.2,525.72,327.44,0.0773,0.31952
-8,538.15,334.62,0.084572,0.33983
-7.8,550.52,341.48,0.092136,0.36053
-7.6,562.9,348.35,0.0997,0.38123
-7.4,575.69,354.82,0.1096,0.40733
-7.2,588.47,361.28,0.11949,0.43345
-7,599.54,366.36,0.12997,0.4599
-6.8,610.11,371.02,0.14052,0.48586
-6.6,620.32,375.27,0.15135,0.51059
-6.4,630.31,379.21,0.16146,0.52976
-6.2,640.25,383.13,0.17161,0.54864
-6,649.52,386.94,0.18048,0.56229
-5.8,658.82,390.77,0.18856,0.57356
-5.6,667.57,394.22,0.19628,0.58415
-5.4,676.27,397.47,0.20309,0.59303
-5.2,685.35,400.51,0.20955,0.60122
-5,695.14,402.93,0.21689,0.61145
-4.8,705.37,405.28,0.2242,0.62202
-4.6,717.07,407.25,0.23338,0.63624
-4.4,729.62,409.01,0.24414,0.65345
-4.2,744.36,410.77,0.25674,0.67398
-4,762.33,412.7,0.27171,0.70014
-3.8,781.39,413.16,0.28955,0.73025
-3.6,805.51,413.89,0.31327,0.77234
-3.4,830.53,413.67,0.3387,0.81503
-3.2,855.42,413.11,0.36108,0.85025
-3,883.66,412.4,0.38615,0.88537
-2.8,911.96,411.01,0.4147,0.92188
-2.6,941.11,407.35,0.45475,0.96905
-2.4,970.65,401.12,0.50556,1.0234
-2.2,999.86,394.63,0.56576,1.0816
-2,1027.9,389.4,0.62881,1.1346
-1.8,1054.4,384.75,0.69823,1.1865
-1.6,1079.4,379.35,0.76932,1.2386
-1.4,1106.4,368.56,0.85756,1.2946
-1.2,1134.2,352.91,0.94872,1.3373
-1,1161.6,331.72,1.0414,1.3616
-0.8,1181.2,307.79,1.1072,1.3503
-0.6,1193.6,284.64,1.1493,1.3233
-0.4,1196,265.61,1.1591,1.2899
-0.2,1195,254.02,1.1601,1.2728
-0,1192.8,244.87,1.1573,1.2635
0,1192.8,244.87,1.1573,1.2635
0.2,1195,254.02,1.1601,1.2728
0.4,1196,265.61,1.1591,1.2899
0.6,1193.6,284.64,1.1493,1.3233
0.8,1181.2,307.79,1.1072,1.3503
1,1161.6,331.72,1.0414,1.3616
1.2,1134.2,352.91,0.94872,1.3373
1.4,1106.4,368.56,0.85756,1.2946
1.6,1079.4,379.35,0.76932,1.2386
1.8,1054.4,384.75,0.69823,1.1865
2,1027.9,389.4,0.62881,1.1346
2.2,999.86,394.63,0.56576,1.0816
2.4,970.65,401.12,0.50556,1.0234
2.6,941.11,407.35,0.45475,0.96905
2.8,911.96,411.01,0.4147,0.92188
3,883.66,412.4,0.38615,0.88537
3.2,855.42,413.11,0.36108,0.85025
3.4,830.53,413.67,0.3387,0.81503
3.6,805.51,413.89,0.31327,0.77234
3.8,781.39,413.16,0.28955,0.73025
4,762.33,412.7,0.27171,0.70014
4.2,744.36,410.77,0.25674,0.67398
4.4,729.62,409.01,0.24414,0.65345
4.6,717.07,407.25,0.23338,0.63624
4.8,705.37,405.28,0.2242,0.62202
5,695.14,402.93,0.21689,0.61145
5.2,685.35,400.51,0.20955,0.60122
5.4,676.27,397.47,0.20309,0.59303
5.6,667.57,394.22,0.19628,0.58415
5.8,658.82,390.77,0.18856,0.57356
6,649.52,386.94,0.18048,0.56229
6.2,640.25,383.13,0.17161,0.54864
6.4,630.31,379.21,0.16146,0.52976
6.6,620.32,375.27,0.15135,0.51059
6.8,610.11,371.02,0.14052,0.48586
7,599.54,366.36,0.12997,0.4599
7.2,588.47,361.28,0.11949,0.43345
7.4,575.69,354.82,0.1096,0.40733
7.6,562.9,348.35,0.0997,0.38123
7.8,550.52,341.48,0.092136,0.36053
8,538.15,334.62,0.084572,0.33983
8.2,525.72,327.44,0.0773,0.31952
8.4,513.03,318.96,0.071225,0.30084
8.6,500.35,310.49,0.06515,0.28215
8.8,487.77,301.67,0.059592,0.26459
9,475.56,291.73,0.055725,0.25071
9.2,463.34,281.8,0.051858,0.23682
9.4,451.32,271.91,0.048106,0.22324
9.6,440.92,262.4,0.045245,0.21197
9.8,430.51,252.9,0.042385,0.2007
10,420.11,243.4,0.039525,0.18943
10.2,411.29,233.93,0.036588,0.17725
10.4,402.82,224.47,0.033631,0.16486
10.6,394.34,215.01,0.030675,0.15247
10.8,386.24,204.92,0.02789,0.14033
11,378.78,193.73,0.025387,0.12859
11.2,371.33,182.55,0.022885,0.11685
11.4,363.86,171.36,0.020383,0.10511
11.6,357.32,159.69,0.018548,0.096727
11.8,351.12,147.84,0.016958,0.089606
12,344.91,135.99,0.015367,0.082484
12.2,338.71,124.13,0.013777,0.075363
12.4,334.36,114.27,0.012676,0.071226
12.6,330.22,104.63,0.011631,0.067423
12.8,326.08,94.989,0.010586,0.063619
13,321.94,85.347,0.0095406,0.059815
13.2,319.28,78.516,0.008559,0.0554
13.4,316.85,72.103,0.0075851,0.050867
13.6,314.42,65.69,0.0066113,0.046335
13.8,311.99,59.279,0.0056375,0.041803
14,310.15,53.703,0.0048165,0.036998
14.2,308.67,48.625,0.0040889,0.032
14.4,307.18,43.547,0.0033612,0.027003
14.6,305.7,38.468,0.0026335,0.022005
14.8,304.33,33.618,0.0019698,0.017352
15,303.54,30.033,0.0016665,0.014731
15.2,302.75,26.447,0.0013632,0.01211
15.4,301.96,22.861,0.00106,0.0094886
15.6,301.18,19.276,0.00075671,0.0068673
15.8,300.59,16.473,0.0005546,0.0051011
16,300.27,14.641,0.00047321,0.0043641
16.2,299.93,12.809,0.00039182,0.0036271
16.4,299.6,10.976,0.00031043,0.00289
16.6,299.27,9.1442,0.00022905,0.002153
16.8,299.04,7.7373,0.00017654,0.0016864
17,298.9,6.7612,0.00015207,0.0014832
17.2,298.76,5.7852,0.0001276,0.0012799
17.4,298.63,4.8093,0.00010313,0.0010767
17.6,298.49,3.8333,7.8654e-05,0.00087345
17.8,298.38,3.0127,5.8722e-05,0.00069928
18,298.33,2.5585,4.9399e-05,0.00059489
18.2,298.28,2.1042,4.0075e-05,0.0004905
18.4,298.23,1.6498,3.0752e-05,0.00038611
18.6,298.19,1.1955,2.1428e-05,0.00028172
18.8,298.14,0.74125,1.2104e-05,0.00017733
19,298.12,0.59039,9.0402e-06,0.00013761
19.2,298.12,0.50585,7.3563e-06,0.00011226
19.4,298.11,0.4213,5.6725e-06,8.691e-05
19.6,298.1,0.33675,3.9884e-06,6.156e-05
19.8,298.09,0.25221,2.3044e-06,3.6211e-05
20,298.08,0.17147,6.9769e-07,1.2013e-05
