s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PLUME FLUID MIXTURE
 3.757E+01, 0.000E+00, 0.000E+00, 3.032E-01, 3.937E-04,-2.426E-01, 0.000E+00, 0.000E+00,-2.750E-02, 6.100E-02, 0.000E+00, 4.749E-02
 3.763E+01, 0.000E+00, 0.000E+00, 2.907E-01, 3.918E-04,-2.451E-01, 0.000E+00, 0.000E+00,-4.645E-02, 4.597E-02, 0.000E+00, 4.749E-02
 3.766E+01, 0.000E+00, 0.000E+00, 2.842E-01, 3.896E-04,-2.470E-01, 0.000E+00, 0.000E+00,-5.762E-02, 3.759E-02, 0.000E+00, 4.749E-02
 3.769E+01, 0.000E+00, 0.000E+00, 2.830E-01, 3.939E-04,-2.477E-01, 0.000E+00, 0.000E+00,-6.077E-02, 3.577E-02, 0.000E+00, 4.749E-02
 3.775E+01, 0.000E+00, 0.000E+00, 2.852E-01, 4.024E-04,-2.480E-01, 0.000E+00, 0.000E+00,-6.052E-02, 3.760E-02, 0.000E+00, 4.749E-02
 3.779E+01, 0.000E+00, 0.000E+00, 2.885E-01, 4.186E-04,-2.477E-01, 0.000E+00, 0.000E+00,-5.684E-02, 4.117E-02, 0.000E+00, 4.749E-02
 3.782E+01, 0.000E+00, 0.000E+00, 2.930E-01, 4.166E-04,-2.482E-01, 0.000E+00, 0.000E+00,-5.354E-02, 4.526E-02, 0.000E+00, 4.749E-02
 3.785E+01, 0.000E+00, 0.000E+00, 2.992E-01, 4.174E-04,-2.493E-01, 0.000E+00, 0.000E+00,-4.888E-02, 5.034E-02, 0.000E+00, 4.749E-02
 3.789E+01, 0.000E+00, 0.000E+00, 3.078E-01, 3.897E-04,-2.513E-01, 0.000E+00, 0.000E+00,-4.283E-02, 5.682E-02, 0.000E+00, 4.749E-02
 3.795E+01, 0.000E+00, 0.000E+00, 3.263E-01, 3.866E-04,-2.558E-01, 0.000E+00, 0.000E+00,-3.023E-02, 7.087E-02, 0.000E+00, 4.749E-02
 3.799E+01, 0.000E+00, 0.000E+00, 3.513E-01, 3.942E-04,-2.612E-01, 0.000E+00, 0.000E+00,-1.182E-02, 9.053E-02, 0.000E+00, 4.749E-02
 3.802E+01, 0.000E+00, 0.000E+00, 3.702E-01, 3.920E-04,-2.645E-01, 0.000E+00, 0.000E+00, 3.827E-03, 1.061E-01, 0.000E+00, 4.749E-02
 3.805E+01, 0.000E+00, 0.000E+00, 3.897E-01, 3.880E-04,-2.673E-01, 0.000E+00, 0.000E+00, 2.025E-02, 1.228E-01, 0.000E+00, 4.749E-02
 3.809E+01, 0.000E+00, 0.000E+00, 4.083E-01, 3.937E-04,-2.690E-01, 0.000E+00, 0.000E+00, 3.742E-02, 1.397E-01, 0.000E+00, 4.749E-02
 3.812E+01, 0.000E+00, 0.000E+00, 4.248E-01, 3.958E-04,-2.691E-01, 0.000E+00, 0.000E+00, 5.413E-02, 1.560E-01, 0.000E+00, 4.749E-02
 3.819E+01, 0.000E+00, 0.000E+00, 4.424E-01, 3.956E-04,-2.657E-01, 0.000E+00, 0.000E+00, 7.669E-02, 1.771E-01, 0.000E+00, 4.749E-02
 3.822E+01, 0.000E+00, 0.000E+00, 4.486E-01, 3.956E-04,-2.589E-01, 0.000E+00, 0.000E+00, 9.302E-02, 1.901E-01, 0.000E+00, 4.749E-02
 3.825E+01, 0.000E+00, 0.000E+00, 4.425E-01, 3.951E-04,-2.526E-01, 0.000E+00, 0.000E+00, 9.696E-02, 1.903E-01, 0.000E+00, 4.749E-02
 3.829E+01, 0.000E+00, 0.000E+00, 4.244E-01, 4.011E-04,-2.456E-01, 0.000E+00, 0.000E+00, 9.211E-02, 1.792E-01, 0.000E+00, 4.749E-02
 3.835E+01, 0.000E+00, 0.000E+00, 3.811E-01, 3.954E-04,-2.365E-01, 0.000E+00, 0.000E+00, 6.361E-02, 1.451E-01, 0.000E+00, 4.749E-02
 3.838E+01, 0.000E+00, 0.000E+00, 3.235E-01, 3.928E-04,-2.283E-01, 0.000E+00, 0.000E+00, 1.774E-02, 9.558E-02, 0.000E+00, 4.749E-02
 3.841E+01, 0.000E+00, 0.000E+00, 2.826E-01, 3.913E-04,-2.241E-01, 0.000E+00, 0.000E+00,-2.022E-02, 5.889E-02, 0.000E+00, 4.749E-02
 3.846E+01, 0.000E+00, 0.000E+00, 2.278E-01, 3.928E-04,-2.203E-01, 0.000E+00, 0.000E+00,-7.365E-02, 7.926E-03, 0.000E+00, 4.749E-02
 3.849E+01, 0.000E+00, 0.000E+00, 1.836E-01, 3.951E-04,-2.193E-01, 0.000E+00, 0.000E+00,-1.199E-01,-3.528E-02, 0.000E+00, 4.749E-02
 3.852E+01, 0.000E+00, 0.000E+00, 1.618E-01, 3.916E-04,-2.201E-01, 0.000E+00, 0.000E+00,-1.449E-01,-5.791E-02, 0.000E+00, 4.749E-02
 3.858E+01, 0.000E+00, 0.000E+00, 1.408E-01, 4.205E-04,-2.233E-01, 0.000E+00, 0.000E+00,-1.726E-01,-8.211E-02, 0.000E+00, 4.749E-02
 3.861E+01, 0.000E+00, 0.000E+00, 1.313E-01, 4.454E-04,-2.278E-01, 0.000E+00, 0.000E+00,-1.897E-01,-9.611E-02, 0.000E+00, 4.749E-02
 3.864E+01, 0.000E+00, 0.000E+00, 1.313E-01, 4.849E-04,-2.312E-01, 0.000E+00, 0.000E+00,-1.946E-01,-9.943E-02, 0.000E+00, 4.749E-02
