m,m,m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2-y,Wp2-z,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.688E-01, 0.000E+00, 2.000E-01,-1.661E-01,-1.834E-02, 1.037E-01, 3.095E-01, 2.542E-01, 1.857E-01, 1.110E-02, 6.594E-03, 6.069E-03, 1.569E-02, 9.320E-03, 8.578E-03, 4.048E-02, 4.492E-02, 7.779E-02, 3.725E-02, 5.152E-02, 6.780E-02, 1.612E-03, 2.240E-03, 2.338E-03, 2.279E-03, 3.166E-03, 3.304E-03, 3.700E-03, 3.781E-03, 4.383E-03
-4.062E-01, 0.000E+00, 2.000E-01, 8.490E-02, 2.133E-01, 3.436E-01, 3.467E-01, 2.469E-01, 1.788E-01, 2.882E-02, 1.534E-02, 1.300E-02, 4.074E-02, 2.168E-02, 1.837E-02, 7.634E-02, 1.071E-01, 1.448E-01, 3.750E-02, 5.512E-02, 7.197E-02, 4.104E-03, 4.958E-03, 4.588E-03, 5.801E-03, 7.007E-03, 6.485E-03, 1.246E-02, 1.160E-02, 1.279E-02
-3.438E-01, 0.000E+00, 2.000E-01, 3.360E-01, 4.450E-01, 5.835E-01, 3.839E-01, 2.396E-01, 1.718E-01, 4.654E-02, 2.408E-02, 1.993E-02, 6.579E-02, 3.403E-02, 2.817E-02, 1.480E-01, 1.841E-01, 2.252E-01, 4.248E-02, 6.215E-02, 7.889E-02, 6.629E-03, 7.730E-03, 6.940E-03, 9.370E-03, 1.093E-02, 9.810E-03, 2.122E-02, 1.942E-02, 2.119E-02
-2.812E-01, 0.000E+00, 2.000E-01, 6.191E-01, 7.439E-01, 9.127E-01, 3.929E-01, 2.246E-01, 1.585E-01, 7.242E-02, 4.000E-02, 3.244E-02, 1.024E-01, 5.654E-02, 4.585E-02, 1.836E-01, 2.197E-01, 2.602E-01, 4.880E-02, 6.881E-02, 8.490E-02, 8.270E-03, 9.277E-03, 8.331E-03, 1.169E-02, 1.311E-02, 1.178E-02, 4.403E-02, 4.351E-02, 4.574E-02
-2.188E-01, 0.000E+00, 2.000E-01, 9.772E-01, 1.200E+00, 1.450E+00, 3.358E-01, 1.914E-01, 1.307E-01, 1.173E-01, 7.269E-02, 5.797E-02, 1.658E-01, 1.027E-01, 8.193E-02, 1.303E-01, 1.585E-01, 1.903E-01, 5.448E-02, 7.259E-02, 8.760E-02, 9.011E-03, 9.300E-03, 8.673E-03, 1.274E-02, 1.315E-02, 1.226E-02, 9.960E-02, 1.056E-01, 1.079E-01
-1.562E-01, 0.000E+00, 2.000E-01, 1.335E+00, 1.655E+00, 1.988E+00, 2.787E-01, 1.582E-01, 1.029E-01, 1.622E-01, 1.054E-01, 8.349E-02, 2.293E-01, 1.489E-01, 1.180E-01, 8.802E-02, 1.144E-01, 1.463E-01, 6.394E-02, 8.032E-02, 9.461E-02, 1.118E-02, 1.125E-02, 1.066E-02, 1.580E-02, 1.590E-02, 1.506E-02, 1.552E-01, 1.676E-01, 1.701E-01
-9.375E-02, 0.000E+00, 2.000E-01, 1.657E+00, 2.065E+00, 2.471E+00, 2.130E-01, 1.199E-01, 7.236E-02, 2.026E-01, 1.347E-01, 1.064E-01, 2.864E-01, 1.905E-01, 1.504E-01, 7.302E-02, 1.029E-01, 1.417E-01, 7.372E-02, 8.898E-02, 1.030E-01, 1.343E-02, 1.351E-02, 1.274E-02, 1.898E-02, 1.909E-02, 1.801E-02, 2.052E-01, 2.234E-01, 2.260E-01
-3.125E-02, 0.000E+00, 2.000E-01, 1.656E+00, 2.063E+00, 2.467E+00, 6.997E-02, 3.539E-02, 1.734E-02, 2.024E-01, 1.343E-01, 1.060E-01, 2.860E-01, 1.899E-01, 1.498E-01, 4.859E-02, 6.057E-02, 7.924E-02, 6.838E-02, 8.329E-02, 9.650E-02, 1.088E-02, 9.935E-03, 8.977E-03, 1.538E-02, 1.404E-02, 1.269E-02, 2.048E-01, 2.226E-01, 2.249E-01
 3.125E-02, 0.000E+00, 2.000E-01, 1.656E+00, 2.060E+00, 2.463E+00,-7.310E-02,-4.912E-02,-3.769E-02, 2.021E-01, 1.339E-01, 1.055E-01, 2.857E-01, 1.893E-01, 1.491E-01, 6.084E-02, 7.169E-02, 8.741E-02, 6.865E-02, 8.286E-02, 9.586E-02, 1.149E-02, 1.086E-02, 9.868E-03, 1.625E-02, 1.535E-02, 1.395E-02, 2.044E-01, 2.218E-01, 2.238E-01
 9.375E-02, 0.000E+00, 2.000E-01, 1.655E+00, 2.058E+00, 2.460E+00,-2.162E-01,-1.336E-01,-9.271E-02, 2.019E-01, 1.335E-01, 1.050E-01, 2.853E-01, 1.887E-01, 1.484E-01, 9.672E-02, 1.225E-01, 1.555E-01, 7.445E-02, 8.777E-02, 1.012E-01, 1.488E-02, 1.551E-02, 1.458E-02, 2.103E-02, 2.192E-02, 2.061E-02, 2.040E-01, 2.210E-01, 2.227E-01
 1.562E-01, 0.000E+00, 2.000E-01, 1.342E+00, 1.655E+00, 1.976E+00,-2.799E-01,-1.678E-01,-1.187E-01, 1.622E-01, 1.047E-01, 8.242E-02, 2.293E-01, 1.480E-01, 1.165E-01, 1.040E-01, 1.208E-01, 1.423E-01, 6.719E-02, 8.233E-02, 9.553E-02, 1.238E-02, 1.272E-02, 1.180E-02, 1.750E-02, 1.798E-02, 1.668E-02, 1.550E-01, 1.661E-01, 1.674E-01
