,z(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,0.0,338.0,0.0,0.0,0.0,0.0,0.0132,0.0,0.0
1,0.3,497.38,289.5151,0.1726,0.0597,0.0143,0.02,0.4474,0.0001
2,0.6,604.14,337.7869,0.2194,0.0986,0.0173,0.0385,10.9754,0.0007
3,0.9,701.79,345.0362,0.2505,0.163,0.0201,0.0798,28.1237,0.0004
4,1.2,764.53,349.6856,0.2682,0.2079,0.0206,0.1208,39.4565,0.0017
5,1.5,802.54,353.0014,0.2799,0.2354,0.0183,0.1525,46.4448,0.0038
6,1.8,840.56,356.2724,0.2911,0.2599,0.016,0.1841,51.0297,0.006
7,2.1,876.71,359.1239,0.3014,0.2828,0.0139,0.2193,55.4463,0.0081
8,2.4,909.12,361.1509,0.3105,0.3047,0.0122,0.2617,61.6751,0.01
9,2.7,941.53,363.1529,0.3194,0.3252,0.0104,0.3041,65.1437,0.0119
10,3.0,973.94,365.1575,0.328,0.3445,0.0087,0.3466,65.8719,0.0139
11,3.3,995.74,365.1027,0.3257,0.3581,0.0111,0.3953,70.2539,0.0127
12,3.6,1017.5,365.0342,0.3233,0.3712,0.0135,0.444,72.53,0.0116
13,3.9,1039.3,364.9795,0.321,0.3838,0.0159,0.4927,72.6765,0.0104
14,4.2,1056.1,364.7054,0.3156,0.3953,0.0168,0.5403,74.1414,0.0087
15,4.5,1070.3,364.3487,0.3085,0.406,0.0169,0.5872,75.9177,0.0067
16,4.8,1084.5,363.978,0.3012,0.4165,0.017,0.6342,76.3501,0.0047
17,5.1,1097.3,363.7032,0.2943,0.4279,0.0168,0.6815,77.022,0.0027
18,5.4,1107.4,363.6207,0.2883,0.4412,0.0162,0.7294,79.6424,0.0007
19,5.7,1117.4,363.5382,0.2822,0.4541,0.0155,0.7773,81.3626,-0.0013
20,6.0,1127.5,363.4556,0.2759,0.4666,0.0148,0.8252,82.0532,-0.0033
21,6.3,1135.7,363.8406,0.2714,0.4854,0.0127,0.8738,85.1799,-0.004
22,6.6,1143.8,364.2252,0.2669,0.5034,0.0106,0.9224,87.5017,-0.0047
23,6.9,1152.0,364.6094,0.2623,0.5208,0.0084,0.9711,89.0389,-0.0054
24,7.2,1159.8,364.8561,0.2598,0.5404,0.0068,1.0191,91.5478,-0.0059
25,7.5,1167.5,365.0479,0.2584,0.5606,0.0053,1.0668,94.211,-0.0064
26,7.8,1175.1,365.226,0.2571,0.5801,0.0039,1.1145,96.351,-0.0068
27,8.1,1182.6,365.5817,0.2562,0.5996,0.0024,1.162,98.2188,-0.0067
28,8.4,1189.6,366.2922,0.2563,0.6197,0.0008,1.2089,100.8926,-0.0056
29,8.7,1196.6,367.0014,0.2565,0.6392,-0.0008,1.2559,102.8901,-0.0045
30,9.0,1203.6,367.7091,0.2566,0.6581,-0.0023,1.3029,104.2296,-0.0035
31,9.3,1210.0,369.1341,0.2569,0.678,-0.0028,1.3482,107.678,-0.0032
32,9.6,1216.4,370.5671,0.2571,0.6972,-0.0032,1.3936,110.525,-0.0029
33,9.9,1222.8,371.9812,0.2574,0.716,-0.0036,1.439,112.6908,-0.0026
34,10.2,1229.0,373.7646,0.2581,0.7343,-0.0029,1.4837,115.7327,-0.0034
35,10.5,1235.1,375.726,0.259,0.7521,-0.0017,1.528,118.9672,-0.0048
36,10.8,1241.2,377.6639,0.2599,0.7695,-0.0004,1.5723,121.5612,-0.0062
37,11.1,1246.7,379.6446,0.2612,0.7883,0.0002,1.6156,124.9315,-0.0066
38,11.4,1251.0,381.6805,0.2632,0.81,-0.0006,1.6571,129.7679,-0.0052
39,11.7,1255.4,383.7056,0.2653,0.8312,-0.0014,1.6986,134.1776,-0.0038
40,12.0,1259.6,385.7201,0.2674,0.8518,-0.0022,1.7398,138.6479,-0.0025
41,12.3,1261.9,387.5822,0.2709,0.8725,-0.0018,1.7777,144.6204,-0.002
42,12.6,1264.2,389.4226,0.2744,0.8928,-0.0015,1.8156,150.4185,-0.0016
43,12.9,1266.5,391.2672,0.2778,0.9126,-0.0011,1.8535,156.1422,-0.0011
44,13.2,1268.0,393.4336,0.2811,0.9332,-0.001,1.8897,162.7604,-0.0008
45,13.5,1268.4,396.1439,0.2844,0.9554,-0.0013,1.9229,170.8936,-0.0005
46,13.8,1268.7,398.8358,0.2877,0.9771,-0.0016,1.9561,179.2959,-0.0003
47,14.1,1269.1,401.5097,0.2909,0.9983,-0.0019,1.9893,187.4794,-0.0
48,14.4,1269.1,404.2771,0.294,1.0198,-0.0024,2.0213,196.0682,0.0006
49,14.7,1267.9,407.3451,0.297,1.0432,-0.0034,2.0496,206.2122,0.0025
50,15.0,1266.7,410.4022,0.3,1.066,-0.0045,2.0779,216.3241,0.0043
51,15.3,1265.6,413.4247,0.3029,1.0884,-0.0055,2.1061,226.5198,0.0062
52,15.6,1264.4,416.4373,0.3058,1.1103,-0.0065,2.1344,236.7646,0.0081
53,15.9,1263.3,419.3447,0.309,1.1323,-0.0065,2.1602,246.7193,0.0087
54,16.2,1262.1,422.1848,0.3122,1.1541,-0.0057,2.1844,256.7688,0.0085
55,16.5,1260.9,425.0059,0.3154,1.1755,-0.0049,2.2087,266.6502,0.0084
56,16.8,1259.7,427.8084,0.3186,1.1966,-0.0042,2.2329,276.8159,0.0082
57,17.1,1258.6,430.5926,0.3218,1.2173,-0.0034,2.2571,286.8139,0.008
58,17.4,1257.2,433.1282,0.3252,1.2387,-0.0026,2.2794,296.9383,0.0077
59,17.7,1255.5,435.3275,0.3289,1.2612,-0.0016,2.2986,307.4077,0.0072
60,18.0,1253.9,437.5043,0.3326,1.2833,-0.0006,2.3179,317.5852,0.0066
61,18.3,1252.2,439.6817,0.3362,1.305,0.0004,2.3371,328.0834,0.0061
62,18.6,1250.5,441.8484,0.3398,1.3264,0.0013,2.3564,338.6218,0.0055
63,18.9,1248.8,443.9932,0.3434,1.3474,0.0023,2.3757,349.2258,0.005
64,19.2,1246.5,445.8251,0.3471,1.3657,0.0023,2.3943,358.9051,0.0055
65,19.5,1243.6,447.4036,0.351,1.3817,0.0015,2.4125,368.115,0.0069
66,19.8,1240.6,448.9766,0.3549,1.3976,0.0007,2.4307,377.6736,0.0083
67,20.1,1237.7,450.5441,0.3587,1.4133,-0.0001,2.4489,387.0965,0.0097
