,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,302.22,27.4166,0.1474,0.1271,0.2512,0.1991,-0.296,0.004
1,-15.97,302.64,30.4793,0.1481,0.1275,0.2521,0.1992,-0.296,0.004
2,-15.94,303.06,33.2611,0.1488,0.1279,0.253,0.1994,-0.293,0.004
3,-15.9,303.47,35.8274,0.1495,0.1283,0.2538,0.1995,-0.2903,0.004
4,-15.87,303.89,38.2217,0.1502,0.1287,0.2547,0.1996,-0.2906,0.004
5,-15.84,304.31,40.4747,0.1509,0.1292,0.2556,0.1998,-0.2901,0.004
6,-15.81,304.72,42.6087,0.1516,0.1296,0.2565,0.1999,-0.2856,0.0039
7,-15.78,305.14,44.6419,0.1523,0.13,0.2574,0.2,-0.2863,0.0039
8,-15.74,305.56,46.5854,0.153,0.1304,0.2582,0.2002,-0.2861,0.0039
9,-15.71,305.97,48.451,0.1537,0.1308,0.2591,0.2003,-0.285,0.0039
10,-15.68,306.39,50.2474,0.1544,0.1312,0.26,0.2005,-0.2829,0.0039
11,-15.65,306.8,51.9817,0.1551,0.1316,0.2609,0.2006,-0.2811,0.0038
12,-15.62,307.22,53.66,0.1557,0.132,0.2618,0.2007,-0.2823,0.0038
13,-15.58,307.64,55.2874,0.1564,0.1324,0.2627,0.2009,-0.2827,0.0038
14,-15.55,308.05,56.8683,0.1571,0.1328,0.2636,0.201,-0.2791,0.0038
15,-15.52,308.81,60.5706,0.1578,0.1336,0.2644,0.2014,-0.1106,0.0037
16,-15.49,310.47,69.2409,0.1587,0.1355,0.2652,0.2026,0.5169,0.0035
17,-15.46,312.14,76.9409,0.1595,0.1374,0.266,0.2038,1.1354,0.0034
18,-15.42,313.8,83.9369,0.1604,0.1392,0.2668,0.2049,1.7551,0.0032
19,-15.39,315.47,90.3936,0.1612,0.1411,0.2675,0.2061,2.3648,0.003
20,-15.36,317.13,96.4184,0.1621,0.1429,0.2683,0.2072,2.9768,0.0028
21,-15.33,318.8,102.0882,0.1629,0.1447,0.2691,0.2084,3.5797,0.0026
22,-15.3,320.46,107.4616,0.1637,0.1464,0.2699,0.2096,4.184,0.0025
23,-15.26,322.13,112.5744,0.1646,0.1482,0.2707,0.2107,4.7823,0.0023
24,-15.23,323.79,117.4691,0.1654,0.1499,0.2715,0.2119,5.3757,0.0021
25,-15.2,325.45,122.1638,0.1662,0.1516,0.2722,0.2131,5.9684,0.0019
26,-15.17,327.12,126.6886,0.167,0.1533,0.273,0.2142,6.5518,0.0017
27,-15.14,328.78,131.0534,0.1678,0.155,0.2738,0.2154,7.1358,0.0015
28,-15.1,330.45,135.2812,0.1686,0.1566,0.2746,0.2166,7.7114,0.0014
29,-15.07,332.11,139.3772,0.1694,0.1582,0.2754,0.2177,8.2887,0.0012
30,-15.04,333.78,143.3597,0.1702,0.1599,0.2762,0.2189,8.8566,0.001
31,-15.01,336.32,150.1433,0.1709,0.1633,0.2769,0.221,10.3114,0.0007
32,-14.98,339.31,158.0032,0.1714,0.1675,0.2776,0.2235,12.1916,0.0003
33,-14.94,342.3,165.4902,0.172,0.1716,0.2784,0.226,14.0558,-0.0001
34,-14.91,345.28,172.6499,0.1725,0.1756,0.2791,0.2285,15.9072,-0.0005
35,-14.88,348.27,179.5272,0.1731,0.1796,0.2798,0.2311,17.7387,-0.0009
36,-14.85,351.25,186.1505,0.1736,0.1834,0.2806,0.2336,19.565,-0.0013
37,-14.82,354.24,192.5461,0.1742,0.1872,0.2813,0.2361,21.3639,-0.0017
38,-14.78,357.23,198.736,0.1747,0.1909,0.282,0.2386,23.1578,-0.0021
39,-14.75,360.21,204.7364,0.1753,0.1945,0.2828,0.2411,24.929,-0.0025
40,-14.72,363.2,210.5683,0.1758,0.198,0.2835,0.2437,26.6891,-0.0029
41,-14.69,366.19,216.2429,0.1763,0.2015,0.2842,0.2462,28.4277,-0.0033
42,-14.66,369.17,221.7724,0.1769,0.205,0.285,0.2487,30.1637,-0.0037
43,-14.62,372.16,227.1651,0.1774,0.2084,0.2857,0.2512,31.8722,-0.0041
44,-14.59,375.14,232.4349,0.178,0.2117,0.2864,0.2538,33.5745,-0.0045
45,-14.56,378.13,237.5879,0.1785,0.215,0.2871,0.2563,35.2528,-0.0049
46,-14.53,381.12,242.6314,0.179,0.2182,0.2879,0.2588,36.9261,-0.0053
47,-14.5,384.1,247.5702,0.1795,0.2214,0.2886,0.2613,38.587,-0.0057
48,-14.46,387.09,252.4143,0.1801,0.2245,0.2893,0.2638,40.2202,-0.0061
49,-14.43,390.08,257.1673,0.1806,0.2276,0.2901,0.2664,41.8444,-0.0065
50,-14.4,393.06,261.8339,0.1811,0.2306,0.2908,0.2689,43.4501,-0.0069
51,-14.37,396.05,266.417,0.1817,0.2336,0.2915,0.2714,45.0481,-0.0073
52,-14.34,400.2,272.672,0.182,0.2383,0.2924,0.2752,47.847,-0.0078
53,-14.3,404.69,279.2848,0.1823,0.2433,0.2934,0.2794,50.9756,-0.0084
54,-14.27,409.18,285.7464,0.1826,0.2482,0.2943,0.2836,54.0666,-0.0089
55,-14.24,413.68,292.0633,0.1829,0.253,0.2953,0.2878,57.1112,-0.0094
56,-14.21,418.17,298.2465,0.1832,0.2577,0.2962,0.292,60.1269,-0.0099
57,-14.18,422.66,304.3041,0.1835,0.2624,0.2972,0.2962,63.105,-0.0105
58,-14.14,427.15,310.2435,0.1838,0.267,0.2982,0.3004,66.0455,-0.011
59,-14.11,431.65,316.0712,0.1841,0.2714,0.2991,0.3045,68.9396,-0.0115
60,-14.08,436.14,321.7919,0.1844,0.2759,0.3,0.3087,71.8049,-0.012
61,-14.05,440.63,327.4141,0.1847,0.2802,0.301,0.3129,74.6325,-0.0126
62,-14.02,445.12,332.9414,0.185,0.2845,0.302,0.3171,77.4124,-0.0131
63,-13.98,449.62,338.3785,0.1853,0.2887,0.3029,0.3213,80.1661,-0.0136
64,-13.95,454.11,343.7295,0.1856,0.2929,0.3039,0.3255,82.8808,-0.0141
65,-13.92,458.6,348.9986,0.1859,0.297,0.3048,0.3297,85.5579,-0.0147
66,-13.89,463.1,354.1892,0.1862,0.301,0.3058,0.3338,88.1887,-0.0152
67,-13.86,467.59,359.3049,0.1865,0.305,0.3067,0.338,90.7906,-0.0157
68,-13.82,472.08,364.3487,0.1868,0.3089,0.3077,0.3422,93.3548,-0.0162
69,-13.79,476.57,369.3237,0.1871,0.3128,0.3086,0.3464,95.8814,-0.0168
70,-13.76,481.07,374.2325,0.1874,0.3167,0.3096,0.3506,98.3617,-0.0173
71,-13.73,485.56,379.0778,0.1877,0.3204,0.3105,0.3548,100.813,-0.0178
72,-13.7,490.05,383.862,0.188,0.3242,0.3115,0.359,103.2268,-0.0183
73,-13.66,494.78,388.407,0.1883,0.3283,0.3125,0.3634,106.2719,-0.0187
74,-13.63,499.54,392.874,0.1886,0.3324,0.3135,0.3678,109.3692,-0.019
75,-13.6,504.31,397.2908,0.1888,0.3364,0.3145,0.3723,112.4104,-0.0194
76,-13.57,509.07,401.6591,0.1891,0.3404,0.3155,0.3767,115.423,-0.0197
77,-13.54,513.83,405.9803,0.1894,0.3443,0.3165,0.3812,118.3931,-0.02
78,-13.5,518.6,410.256,0.1896,0.3482,0.3175,0.3856,121.3171,-0.0204
79,-13.47,523.36,414.4997,0.1899,0.3521,0.3185,0.3901,124.2025,-0.0207
80,-13.44,528.12,418.6884,0.1902,0.3559,0.3195,0.3945,127.0455,-0.0211
81,-13.41,532.89,422.8357,0.1905,0.3597,0.3205,0.399,129.8422,-0.0214
82,-13.38,537.65,426.9426,0.1907,0.3634,0.3215,0.4034,132.6005,-0.0217
83,-13.34,542.41,431.0104,0.191,0.3671,0.3225,0.4079,135.3164,-0.0221
84,-13.31,547.18,435.0402,0.1913,0.3707,0.3235,0.4123,137.9858,-0.0224
85,-13.28,551.94,439.033,0.1915,0.3744,0.3245,0.4168,140.6169,-0.0227
86,-13.25,556.71,442.9898,0.1918,0.3779,0.3255,0.4212,143.2015,-0.0231
87,-13.22,561.47,446.9116,0.1921,0.3815,0.3265,0.4257,145.7322,-0.0234
88,-13.18,566.23,450.7993,0.1924,0.385,0.3275,0.4302,148.2362,-0.0237
89,-13.15,571.0,454.6537,0.1926,0.3885,0.3285,0.4346,150.6934,-0.0241
90,-13.12,575.76,458.4757,0.1929,0.392,0.3295,0.439,153.1126,-0.0244
91,-13.09,580.52,462.2662,0.1932,0.3954,0.3306,0.4435,155.4894,-0.0247
92,-13.06,585.29,466.0258,0.1934,0.3988,0.3316,0.448,157.8193,-0.0251
93,-13.02,590.05,469.7553,0.1937,0.4022,0.3326,0.4524,160.1114,-0.0254
94,-12.99,594.29,472.2499,0.1943,0.4045,0.3334,0.456,162.12,-0.0256
95,-12.96,598.52,474.721,0.1948,0.4069,0.3343,0.4597,164.0983,-0.0258
96,-12.93,602.75,477.1792,0.1954,0.4092,0.3351,0.4633,166.0359,-0.026
97,-12.9,606.98,479.6144,0.196,0.4115,0.336,0.4669,167.9528,-0.0262
98,-12.86,611.21,482.0477,0.1965,0.4138,0.3368,0.4706,169.839,-0.0264
99,-12.83,615.44,484.4585,0.1971,0.4161,0.3377,0.4742,171.6845,-0.0265
100,-12.8,619.67,486.8675,0.1977,0.4184,0.3385,0.4778,173.5093,-0.0267
101,-12.77,623.9,489.2545,0.1982,0.4207,0.3394,0.4814,175.3033,-0.0269
102,-12.74,628.14,491.6401,0.1988,0.4229,0.3402,0.4851,177.0518,-0.0271
103,-12.7,632.37,494.0142,0.1994,0.4252,0.3411,0.4887,178.7845,-0.0273
104,-12.67,636.6,496.3668,0.1999,0.4274,0.3419,0.4923,180.4864,-0.0275
105,-12.64,640.83,498.7184,0.2005,0.4296,0.3428,0.496,182.1475,-0.0277
106,-12.61,645.06,501.0489,0.201,0.4318,0.3437,0.4996,183.788,-0.0278
107,-12.58,649.29,503.3786,0.2016,0.434,0.3445,0.5032,185.3978,-0.028
108,-12.54,653.52,505.6877,0.2021,0.4362,0.3454,0.5069,186.9669,-0.0282
109,-12.51,657.75,507.9961,0.2027,0.4384,0.3462,0.5105,188.5152,-0.0284
110,-12.48,661.98,510.294,0.2032,0.4406,0.3471,0.5141,190.0328,-0.0286
111,-12.45,666.21,512.5719,0.2038,0.4427,0.3479,0.5178,191.5098,-0.0288
112,-12.42,670.45,514.8495,0.2043,0.4448,0.3488,0.5214,192.9541,-0.029
113,-12.38,674.68,517.1073,0.2049,0.447,0.3496,0.525,194.3795,-0.0291
114,-12.35,678.85,519.2591,0.2054,0.449,0.3505,0.5285,195.6874,-0.0293
115,-12.32,682.41,520.3653,0.2063,0.4497,0.351,0.5308,196.1763,-0.0295
116,-12.29,685.98,521.4691,0.2072,0.4505,0.3516,0.5331,196.6435,-0.0296
117,-12.26,689.55,522.5706,0.2081,0.4512,0.3522,0.5354,197.0942,-0.0298
118,-12.22,693.12,523.6602,0.2089,0.452,0.3528,0.5377,197.5286,-0.0299
119,-12.19,696.68,524.7571,0.2098,0.4527,0.3534,0.54,197.9519,-0.0301
120,-12.16,700.25,525.8517,0.2107,0.4534,0.354,0.5423,198.3534,-0.0302
121,-12.13,703.82,526.944,0.2115,0.4542,0.3546,0.5446,198.7385,-0.0304
122,-12.1,707.38,528.0246,0.2124,0.4549,0.3552,0.5469,199.1127,-0.0305
123,-12.06,710.95,529.1125,0.2132,0.4556,0.3557,0.5492,199.4649,-0.0307
124,-12.03,714.52,530.1981,0.2141,0.4564,0.3563,0.5515,199.8008,-0.0308
125,-12.0,718.09,531.2815,0.2149,0.4571,0.3569,0.5538,200.1202,-0.0309
126,-11.97,721.65,532.3627,0.2158,0.4578,0.3575,0.5561,200.4288,-0.0311
127,-11.94,725.22,533.4323,0.2166,0.4586,0.3581,0.5584,200.7154,-0.0312
128,-11.9,728.79,534.5091,0.2174,0.4593,0.3587,0.5607,200.9856,-0.0314
129,-11.87,732.35,535.5838,0.2183,0.46,0.3592,0.563,201.245,-0.0315
130,-11.84,735.92,536.6563,0.2191,0.4607,0.3598,0.5653,201.4823,-0.0317
131,-11.81,739.49,537.7267,0.2199,0.4615,0.3604,0.5676,201.7033,-0.0318
132,-11.78,743.06,538.7857,0.2208,0.4622,0.361,0.5699,201.9078,-0.032
133,-11.74,746.62,539.8518,0.2216,0.4629,0.3616,0.5722,202.1016,-0.0321
134,-11.71,750.19,540.9159,0.2224,0.4636,0.3622,0.5745,202.2733,-0.0323
135,-11.68,753.58,541.8302,0.2233,0.4642,0.3626,0.5765,202.2661,-0.0324
136,-11.65,756.25,542.1623,0.2243,0.464,0.3626,0.5772,201.5723,-0.0325
137,-11.62,758.91,542.4942,0.2253,0.4638,0.3626,0.578,200.888,-0.0327
138,-11.58,761.58,542.8259,0.2264,0.4636,0.3627,0.5787,200.1865,-0.0328
139,-11.55,764.25,543.1574,0.2274,0.4634,0.3627,0.5794,199.4812,-0.0329
140,-11.52,766.91,543.4795,0.2284,0.4632,0.3627,0.5801,198.7778,-0.033
141,-11.49,769.58,543.8106,0.2294,0.4631,0.3627,0.5808,198.0648,-0.0331
142,-11.46,772.24,544.1415,0.2305,0.4629,0.3627,0.5815,197.3716,-0.0333
143,-11.42,774.91,544.4722,0.2315,0.4627,0.3627,0.5823,196.6509,-0.0334
144,-11.39,777.58,544.8027,0.2325,0.4625,0.3627,0.583,195.9264,-0.0335
145,-11.36,780.24,545.1238,0.2335,0.4623,0.3627,0.5837,195.2039,-0.0336
146,-11.33,782.91,545.4539,0.2345,0.4621,0.3627,0.5844,194.4717,-0.0338
147,-11.3,785.57,545.7838,0.2355,0.4619,0.3627,0.5851,193.7494,-0.0339
148,-11.26,788.24,546.1135,0.2365,0.4617,0.3627,0.5858,193.0096,-0.034
149,-11.23,790.91,546.443,0.2375,0.4616,0.3627,0.5866,192.2759,-0.0341
150,-11.2,793.57,546.7632,0.2384,0.4614,0.3627,0.5873,191.5343,-0.0342
151,-11.17,796.24,547.0923,0.2394,0.4612,0.3628,0.588,190.7829,-0.0344
152,-11.14,798.91,547.4212,0.2404,0.461,0.3628,0.5887,190.0357,-0.0345
153,-11.1,801.57,547.7499,0.2414,0.4608,0.3628,0.5894,189.2826,-0.0346
154,-11.07,804.24,548.0785,0.2423,0.4606,0.3628,0.5902,188.5197,-0.0347
155,-11.04,806.9,548.4068,0.2433,0.4604,0.3628,0.5909,187.7589,-0.0349
156,-11.01,809.32,548.6347,0.2442,0.4602,0.3626,0.5912,186.9176,-0.0349
157,-10.98,811.16,548.6438,0.2452,0.46,0.362,0.5908,185.8648,-0.0349
158,-10.94,813.0,548.6529,0.2461,0.4598,0.3615,0.5903,184.8236,-0.0349
159,-10.91,814.85,548.662,0.247,0.4595,0.3609,0.5899,183.7681,-0.035
160,-10.88,816.69,548.6711,0.2479,0.4593,0.3604,0.5894,182.7202,-0.035
161,-10.85,818.53,548.6893,0.2489,0.4591,0.3598,0.589,181.684,-0.035
162,-10.82,820.37,548.6985,0.2498,0.4588,0.3592,0.5885,180.6394,-0.035
163,-10.78,822.21,548.7076,0.2507,0.4586,0.3587,0.5881,179.6065,-0.035
164,-10.75,824.05,548.7167,0.2516,0.4584,0.3581,0.5876,178.5653,-0.035
165,-10.72,825.9,548.7258,0.2525,0.4581,0.3576,0.5872,177.5298,-0.035
166,-10.69,827.74,548.7349,0.2534,0.4579,0.357,0.5867,176.4918,-0.035
167,-10.66,829.58,548.744,0.2543,0.4577,0.3564,0.5863,175.4555,-0.035
168,-10.62,831.42,548.7531,0.2552,0.4575,0.3559,0.5858,174.4309,-0.035
169,-10.59,833.26,548.7622,0.2561,0.4572,0.3553,0.5854,173.3979,-0.035
170,-10.56,835.1,548.7805,0.257,0.457,0.3548,0.5849,172.3766,-0.035
171,-10.53,836.95,548.7896,0.2578,0.4568,0.3542,0.5845,171.3411,-0.035
172,-10.5,838.79,548.7987,0.2587,0.4565,0.3536,0.584,170.3131,-0.035
173,-10.46,840.63,548.8078,0.2596,0.4563,0.3531,0.5836,169.2967,-0.035
174,-10.43,842.47,548.8169,0.2605,0.4561,0.3525,0.5831,168.272,-0.035
175,-10.4,844.31,548.826,0.2613,0.4558,0.352,0.5827,167.259,-0.035
176,-10.37,846.15,548.8351,0.2622,0.4556,0.3514,0.5822,166.2376,-0.035
177,-10.34,847.69,548.7987,0.263,0.4556,0.3507,0.5815,165.3544,-0.0349
178,-10.3,848.78,548.6711,0.2638,0.4561,0.3496,0.5805,164.6787,-0.0346
179,-10.27,849.88,548.5526,0.2645,0.4565,0.3486,0.5794,163.991,-0.0343
180,-10.24,850.97,548.425,0.2653,0.4569,0.3476,0.5784,163.3115,-0.0339
181,-10.21,852.06,548.3065,0.266,0.4574,0.3466,0.5773,162.6528,-0.0336
182,-10.18,853.15,548.1788,0.2668,0.4578,0.3456,0.5762,161.9779,-0.0333
183,-10.14,854.25,548.0602,0.2675,0.4582,0.3445,0.5752,161.3081,-0.033
