,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,541.0,351.2834,0.5437,0.4833,0.0485,0.7571,82.8797,-0.0468
1,-15.97,541.6,351.7385,0.5442,0.4849,0.0479,0.7617,83.5295,-0.0473
2,-15.94,542.21,352.1931,0.5447,0.4865,0.0474,0.7662,84.1716,-0.0478
3,-15.9,542.81,352.6471,0.5452,0.4881,0.0468,0.7708,84.8103,-0.0482
4,-15.87,543.42,353.1006,0.5457,0.4897,0.0463,0.7754,85.4313,-0.0487
5,-15.84,544.02,353.5534,0.5462,0.4912,0.0457,0.78,86.059,-0.0492
6,-15.81,544.62,354.0056,0.5467,0.4928,0.0452,0.7846,86.6866,-0.0496
7,-15.78,545.23,354.4573,0.5472,0.4944,0.0446,0.7892,87.2954,-0.0501
8,-15.74,545.83,354.9084,0.5477,0.4959,0.0441,0.7938,87.912,-0.0506
9,-15.71,546.43,355.359,0.5482,0.4975,0.0435,0.7984,88.5076,-0.051
10,-15.68,547.04,355.8089,0.5487,0.499,0.043,0.8029,89.1052,-0.0515
11,-15.65,547.64,356.2583,0.5492,0.5006,0.0424,0.8075,89.6997,-0.052
12,-15.62,548.25,356.7072,0.5497,0.5021,0.0418,0.8121,90.2862,-0.0524
13,-15.58,548.85,357.1554,0.5502,0.5037,0.0413,0.8167,90.8697,-0.0529
14,-15.55,549.45,357.6031,0.5507,0.5052,0.0407,0.8213,91.4532,-0.0534
15,-15.52,549.96,357.9944,0.5511,0.507,0.0403,0.8257,91.947,-0.0538
16,-15.49,550.45,358.3713,0.5515,0.5089,0.0399,0.8302,92.4539,-0.0542
17,-15.46,550.95,358.7478,0.5519,0.5107,0.0395,0.8346,92.9426,-0.0546
18,-15.42,551.44,359.1239,0.5523,0.5125,0.039,0.839,93.4353,-0.055
19,-15.39,551.94,359.4997,0.5527,0.5144,0.0386,0.8435,93.9207,-0.0554
20,-15.36,552.44,359.875,0.5531,0.5162,0.0382,0.8479,94.4061,-0.0558
21,-15.33,552.93,360.2499,0.5536,0.518,0.0378,0.8523,94.8912,-0.0562
22,-15.3,553.43,360.6245,0.554,0.5198,0.0373,0.8568,95.3578,-0.0566
23,-15.26,553.93,360.9986,0.5544,0.5216,0.0369,0.8612,95.8199,-0.057
24,-15.23,554.42,361.3724,0.5548,0.5233,0.0365,0.8656,96.2919,-0.0574
25,-15.2,554.92,361.7458,0.5552,0.5251,0.0361,0.8701,96.7452,-0.0579
26,-15.17,555.42,362.1188,0.5556,0.5269,0.0356,0.8745,97.1997,-0.0583
27,-15.14,555.91,362.4914,0.556,0.5287,0.0352,0.879,97.6529,-0.0587
28,-15.1,556.41,362.8636,0.5564,0.5304,0.0348,0.8834,98.093,-0.0591
29,-15.07,556.9,363.2492,0.5568,0.5322,0.0344,0.8878,98.543,-0.0595
30,-15.04,557.32,363.5794,0.5572,0.5338,0.034,0.8918,98.9299,-0.0599
31,-15.01,557.57,363.8131,0.5574,0.5353,0.0337,0.8946,99.179,-0.0601
32,-14.98,557.82,364.0604,0.5576,0.5367,0.0334,0.8974,99.4268,-0.0604
33,-14.94,558.07,364.3076,0.5578,0.5381,0.0332,0.9002,99.6786,-0.0607
34,-14.91,558.31,364.5545,0.558,0.5395,0.0329,0.9031,99.9326,-0.0609
35,-14.88,558.56,364.7876,0.5582,0.5409,0.0326,0.9059,100.1817,-0.0612
36,-14.85,558.81,365.0342,0.5584,0.5423,0.0324,0.9087,100.4238,-0.0614
37,-14.82,559.06,365.2807,0.5586,0.5437,0.0321,0.9115,100.67,-0.0617
38,-14.78,559.31,365.527,0.5588,0.5451,0.0318,0.9144,100.9093,-0.062
39,-14.75,559.55,365.7595,0.559,0.5465,0.0316,0.9172,101.1563,-0.0622
40,-14.72,559.8,366.0055,0.5592,0.5479,0.0313,0.92,101.3984,-0.0625
41,-14.69,560.05,366.2513,0.5594,0.5492,0.031,0.9228,101.6335,-0.0628
42,-14.66,560.3,366.4969,0.5596,0.5506,0.0308,0.9257,101.8727,-0.063
43,-14.62,560.55,366.7288,0.5598,0.552,0.0305,0.9285,102.1049,-0.0633
44,-14.59,560.79,366.9741,0.56,0.5534,0.0302,0.9313,102.3507,-0.0636
45,-14.56,561.04,367.2193,0.5602,0.5547,0.0299,0.9341,102.5801,-0.0638
46,-14.53,561.29,367.4507,0.5604,0.5561,0.0297,0.937,102.8081,-0.0641
47,-14.5,561.54,367.6955,0.5606,0.5575,0.0294,0.9398,103.0403,-0.0644
48,-14.46,561.79,367.9402,0.5608,0.5588,0.0291,0.9426,103.2655,-0.0646
49,-14.43,562.03,368.1847,0.561,0.5602,0.0289,0.9454,103.5044,-0.0649
50,-14.4,562.28,368.4155,0.5612,0.5615,0.0286,0.9483,103.7267,-0.0652
51,-14.37,562.53,368.6597,0.5614,0.5629,0.0283,0.9511,103.9533,-0.0654
52,-14.34,562.78,368.9038,0.5616,0.5642,0.0281,0.9539,104.1729,-0.0657
53,-14.3,563.02,369.1477,0.5618,0.5656,0.0278,0.9567,104.4062,-0.066
54,-14.27,563.27,369.3779,0.562,0.5669,0.0275,0.9596,104.623,-0.0662
55,-14.24,563.52,369.6214,0.5622,0.5682,0.0272,0.9624,104.8384,-0.0665
56,-14.21,563.77,369.8648,0.5624,0.5696,0.027,0.9652,105.0579,-0.0668
57,-14.18,564.02,370.1081,0.5626,0.5709,0.0267,0.968,105.2704,-0.067
58,-14.14,564.26,370.3377,0.5628,0.5722,0.0264,0.9709,105.4969,-0.0673
59,-14.11,564.51,370.5806,0.563,0.5736,0.0262,0.9737,105.7066,-0.0676
