,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,386.37,271.343,0.2454,0.1755,0.2305,0.2263,-5.7849,0.0058
1,-15.97,387.98,273.6366,0.2466,0.1762,0.2304,0.228,-5.2314,0.0055
2,-15.94,389.6,275.913,0.2478,0.1768,0.2303,0.2297,-4.6858,0.0052
3,-15.9,391.22,278.169,0.249,0.1775,0.2302,0.2314,-4.1419,0.005
4,-15.87,392.83,280.4086,0.2502,0.1781,0.23,0.2332,-3.6051,0.0047
5,-15.84,394.45,282.6287,0.2515,0.1788,0.2299,0.2349,-3.0752,0.0044
6,-15.81,396.07,284.8315,0.2527,0.1794,0.2298,0.2366,-2.552,0.0041
7,-15.78,397.68,287.0192,0.2539,0.1801,0.2296,0.2384,-2.032,0.0039
8,-15.74,399.3,289.1885,0.255,0.1807,0.2295,0.2401,-1.5199,0.0036
9,-15.71,400.91,291.3417,0.2562,0.1813,0.2294,0.2418,-1.0111,0.0033
10,-15.68,402.53,293.4808,0.2574,0.182,0.2293,0.2436,-0.5092,0.003
11,-15.65,404.15,295.6028,0.2586,0.1826,0.2291,0.2453,-0.0099,0.0027
12,-15.62,405.76,297.7096,0.2597,0.1832,0.229,0.247,0.4832,0.0025
13,-15.58,407.38,299.8033,0.2609,0.1839,0.2289,0.2487,0.9683,0.0022
14,-15.55,409.0,301.8808,0.2621,0.1845,0.2288,0.2505,1.4478,0.0019
15,-15.52,410.66,303.9227,0.2632,0.1855,0.2286,0.2524,2.0753,0.0016
16,-15.49,412.44,305.8921,0.2644,0.1873,0.2283,0.2549,3.1108,0.001
17,-15.46,414.23,307.8506,0.2655,0.189,0.2281,0.2574,4.1306,0.0004
18,-15.42,416.01,309.7951,0.2666,0.1908,0.2278,0.26,5.1582,-0.0001
19,-15.39,417.79,311.729,0.2678,0.1925,0.2275,0.2625,6.1668,-0.0007
20,-15.36,419.58,313.6495,0.2689,0.1943,0.2272,0.265,7.1597,-0.0012
21,-15.33,421.36,315.5598,0.27,0.196,0.227,0.2675,8.1504,-0.0018
22,-15.3,423.15,317.4587,0.2711,0.1977,0.2267,0.27,9.1295,-0.0024
23,-15.26,424.93,319.3431,0.2722,0.1994,0.2264,0.2725,10.1023,-0.0029
24,-15.23,426.71,321.2164,0.2733,0.201,0.2262,0.275,11.0719,-0.0035
25,-15.2,428.5,323.0789,0.2744,0.2027,0.2259,0.2775,12.0241,-0.004
26,-15.17,430.28,324.9308,0.2755,0.2044,0.2256,0.28,12.9701,-0.0046
27,-15.14,432.06,326.7874,0.2766,0.206,0.2254,0.2826,13.9028,-0.0052
28,-15.1,433.85,328.6183,0.2777,0.2076,0.2251,0.2851,14.828,-0.0057
29,-15.07,435.63,330.4391,0.2788,0.2092,0.2248,0.2876,15.7572,-0.0063
30,-15.04,437.42,332.2499,0.2798,0.2108,0.2246,0.2901,16.6601,-0.0068
31,-15.01,439.13,333.976,0.2807,0.2135,0.2242,0.293,17.9693,-0.0075
32,-14.98,440.8,335.6635,0.2815,0.2166,0.2239,0.2961,19.4768,-0.0083
33,-14.94,442.48,337.3574,0.2823,0.2197,0.2236,0.2991,20.971,-0.0091
34,-14.91,444.15,339.028,0.2831,0.2228,0.2233,0.3022,22.4579,-0.0098
35,-14.88,445.83,340.6905,0.2839,0.2258,0.2229,0.3053,23.9315,-0.0106
36,-14.85,447.5,342.3449,0.2847,0.2288,0.2226,0.3083,25.3979,-0.0114
37,-14.82,449.18,343.9913,0.2855,0.2317,0.2223,0.3114,26.8509,-0.0122
38,-14.78,450.85,345.6299,0.2862,0.2346,0.222,0.3145,28.2967,-0.0129
39,-14.75,452.53,347.2607,0.287,0.2375,0.2216,0.3176,29.7291,-0.0137
40,-14.72,454.21,348.8839,0.2878,0.2403,0.2213,0.3206,31.1512,-0.0145
41,-14.69,455.88,350.4996,0.2886,0.2431,0.221,0.3237,32.5662,-0.0152
42,-14.66,457.56,352.1079,0.2894,0.2459,0.2206,0.3268,33.9723,-0.016
43,-14.62,459.23,353.7089,0.2901,0.2486,0.2203,0.3298,35.3668,-0.0168
44,-14.59,460.91,355.3027,0.2909,0.2513,0.22,0.3329,36.7477,-0.0175
45,-14.56,462.58,356.8893,0.2917,0.254,0.2196,0.336,38.1216,-0.0183
46,-14.53,464.26,358.469,0.2924,0.2566,0.2193,0.339,39.4819,-0.0191
47,-14.5,465.93,360.0417,0.2932,0.2593,0.219,0.3421,40.8353,-0.0198
48,-14.46,467.61,361.6075,0.294,0.2619,0.2186,0.3452,42.1751,-0.0206
49,-14.43,469.28,363.1666,0.2947,0.2644,0.2183,0.3482,43.5079,-0.0214
50,-14.4,470.96,364.7191,0.2955,0.267,0.218,0.3513,44.827,-0.0222
51,-14.37,472.63,366.2649,0.2962,0.2695,0.2177,0.3544,46.1394,-0.0229
52,-14.34,474.37,367.9674,0.2968,0.2733,0.2173,0.3582,48.1149,-0.0239
53,-14.3,476.13,369.7161,0.2973,0.2774,0.2169,0.3622,50.2652,-0.0248
54,-14.27,477.88,371.4566,0.2978,0.2815,0.2166,0.3662,52.3999,-0.0258
55,-14.24,479.64,373.1756,0.2983,0.2855,0.2162,0.3702,54.5269,-0.0268
56,-14.21,481.39,374.9,0.2989,0.2895,0.2158,0.3742,56.6387,-0.0278
57,-14.18,483.15,376.6165,0.2994,0.2934,0.2155,0.3782,58.7275,-0.0288
58,-14.14,484.91,378.312,0.2999,0.2973,0.2151,0.3822,60.8122,-0.0298
59,-14.11,486.66,380.0132,0.3004,0.3011,0.2148,0.3862,62.8819,-0.0308
60,-14.08,488.42,381.7067,0.3009,0.3048,0.2144,0.3902,64.9385,-0.0318
61,-14.05,490.17,383.3797,0.3014,0.3085,0.214,0.3942,66.9701,-0.0327
62,-14.02,491.93,385.0584,0.3019,0.3122,0.2137,0.3982,68.9986,-0.0337
63,-13.98,493.68,386.7299,0.3024,0.3158,0.2133,0.4022,71.017,-0.0347
64,-13.95,495.44,388.3813,0.3029,0.3194,0.2129,0.4062,73.0124,-0.0357
65,-13.92,497.19,390.0385,0.3034,0.323,0.2126,0.4102,74.9927,-0.0367
66,-13.89,498.95,391.6887,0.304,0.3265,0.2122,0.4142,76.9649,-0.0377
67,-13.86,500.71,393.3192,0.3045,0.33,0.2118,0.4182,78.9181,-0.0387
68,-13.82,502.46,394.9557,0.305,0.3334,0.2115,0.4222,80.8563,-0.0397
69,-13.79,504.22,396.5854,0.3055,0.3368,0.2111,0.4262,82.7863,-0.0406
70,-13.76,505.97,398.1959,0.306,0.3402,0.2108,0.4302,84.7015,-0.0416
71,-13.73,507.73,399.8125,0.3065,0.3435,0.2104,0.4342,86.6033,-0.0426
72,-13.7,509.48,401.4225,0.307,0.3468,0.21,0.4382,88.4804,-0.0436
73,-13.66,511.38,403.1997,0.3071,0.3508,0.2099,0.4426,90.8337,-0.0445
74,-13.63,513.3,404.9938,0.3073,0.3548,0.2097,0.4469,93.236,-0.0455
75,-13.6,515.22,406.78,0.3074,0.3587,0.2096,0.4513,95.6115,-0.0464
