,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,578.85,436.0734,0.4967,0.5332,0.0637,0.7892,102.58,-0.0445
1,-15.97,579.39,436.337,0.4969,0.5338,0.0635,0.7918,102.7106,-0.0447
2,-15.94,579.94,436.5891,0.4972,0.5345,0.0633,0.7944,102.8147,-0.0448
3,-15.9,580.49,436.8524,0.4974,0.5352,0.0631,0.7969,102.9159,-0.045
4,-15.87,581.04,437.1155,0.4976,0.5359,0.0629,0.7995,103.0143,-0.0452
5,-15.84,581.59,437.3786,0.4979,0.5366,0.0627,0.8021,103.1099,-0.0453
6,-15.81,582.14,437.63,0.4981,0.5373,0.0625,0.8046,103.2027,-0.0455
7,-15.78,582.69,437.8927,0.4984,0.538,0.0623,0.8072,103.2985,-0.0456
8,-15.74,583.24,438.1552,0.4986,0.5387,0.0621,0.8098,103.3856,-0.0458
9,-15.71,583.78,438.4062,0.4989,0.5394,0.0618,0.8123,103.478,-0.0459
10,-15.68,584.33,438.6684,0.4991,0.54,0.0616,0.8149,103.5595,-0.0461
11,-15.65,584.88,438.9305,0.4993,0.5407,0.0614,0.8175,103.6381,-0.0462
12,-15.62,585.43,439.1924,0.4996,0.5414,0.0612,0.82,103.7198,-0.0464
13,-15.58,585.98,439.4428,0.4998,0.5421,0.061,0.8226,103.7929,-0.0466
14,-15.55,586.53,439.7044,0.5001,0.5428,0.0608,0.8252,103.863,-0.0467
15,-15.52,587.06,439.8863,0.5003,0.5434,0.0605,0.8278,103.9752,-0.0469
16,-15.49,587.6,440.0568,0.5006,0.5439,0.0603,0.8304,104.0763,-0.0471
17,-15.46,588.13,440.2272,0.5008,0.5445,0.06,0.8329,104.183,-0.0473
18,-15.42,588.67,440.4089,0.5011,0.5451,0.0598,0.8355,104.2827,-0.0476
19,-15.39,589.2,440.5792,0.5014,0.5457,0.0595,0.8381,104.3838,-0.0478
20,-15.36,589.74,440.7494,0.5016,0.5463,0.0593,0.8407,104.4738,-0.048
21,-15.33,590.27,440.9195,0.5019,0.5468,0.0591,0.8433,104.5694,-0.0482
22,-15.3,590.81,441.1009,0.5021,0.5474,0.0588,0.8459,104.6538,-0.0484
23,-15.26,591.34,441.2709,0.5024,0.548,0.0586,0.8485,104.738,-0.0486
24,-15.23,591.88,441.4408,0.5026,0.5485,0.0583,0.8511,104.8269,-0.0488
25,-15.2,592.41,441.6107,0.5029,0.5491,0.0581,0.8537,104.9114,-0.049
26,-15.17,592.94,441.7918,0.5031,0.5497,0.0578,0.8563,104.9933,-0.0492
