,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,301.91,22.3437,0.1424,0.1215,0.2412,0.1889,-0.3118,0.0042
1,-15.97,302.19,24.6203,0.1432,0.1218,0.2423,0.1887,-0.3133,0.0042
2,-15.94,302.46,26.7034,0.1441,0.1222,0.2434,0.1886,-0.3128,0.0043
3,-15.9,302.74,28.6353,0.1449,0.1225,0.2444,0.1884,-0.3152,0.0043
4,-15.87,303.02,30.445,0.1457,0.1229,0.2455,0.1882,-0.3164,0.0043
5,-15.84,303.3,32.1528,0.1465,0.1232,0.2466,0.188,-0.3175,0.0043
6,-15.81,303.58,33.7743,0.1474,0.1236,0.2476,0.1879,-0.3165,0.0043
7,-15.78,303.86,35.3214,0.1482,0.1239,0.2487,0.1877,-0.3175,0.0043
8,-15.74,304.14,36.8049,0.149,0.1242,0.2498,0.1875,-0.3183,0.0043
9,-15.71,304.42,38.2296,0.1498,0.1246,0.2509,0.1874,-0.3201,0.0043
10,-15.68,304.7,39.603,0.1506,0.1249,0.2519,0.1872,-0.3207,0.0043
11,-15.65,304.98,40.9304,0.1514,0.1253,0.253,0.187,-0.3223,0.0043
12,-15.62,305.26,42.2161,0.1522,0.1256,0.2541,0.1868,-0.3228,0.0043
13,-15.58,305.53,43.4638,0.153,0.1259,0.2552,0.1867,-0.3182,0.0043
14,-15.55,305.81,44.6766,0.1538,0.1263,0.2562,0.1865,-0.3195,0.0043
15,-15.52,307.13,53.5051,0.1546,0.1278,0.2574,0.1878,0.1913,0.0042
16,-15.49,308.52,61.4841,0.1555,0.1294,0.2586,0.1891,0.7329,0.0041
17,-15.46,309.91,68.5398,0.1564,0.131,0.2599,0.1904,1.2716,0.0039
18,-15.42,311.3,74.9346,0.1572,0.1325,0.2611,0.1918,1.8025,0.0038
19,-15.39,312.69,80.8245,0.1581,0.1341,0.2623,0.1932,2.3338,0.0037
20,-15.36,314.08,86.3134,0.1589,0.1356,0.2635,0.1945,2.8603,0.0036
21,-15.33,315.47,91.474,0.1598,0.1371,0.2647,0.1959,3.384,0.0034
22,-15.3,316.86,96.3587,0.1606,0.1386,0.2659,0.1972,3.903,0.0033
23,-15.26,318.25,101.005,0.1614,0.1401,0.2671,0.1986,4.4161,0.0032
24,-15.23,319.64,105.4514,0.1623,0.1416,0.2683,0.1999,4.9286,0.0031
25,-15.2,321.03,109.7133,0.1631,0.143,0.2696,0.2013,5.4363,0.0029
26,-15.17,322.42,113.82,0.1639,0.1444,0.2708,0.2026,5.9413,0.0028
27,-15.14,323.81,117.7795,0.1647,0.1458,0.272,0.204,6.4382,0.0027
28,-15.1,325.2,121.6141,0.1655,0.1472,0.2732,0.2053,6.9357,0.0026
29,-15.07,326.59,125.3276,0.1663,0.1486,0.2744,0.2067,7.4284,0.0024
30,-15.04,328.27,130.0923,0.167,0.151,0.2755,0.2083,8.2636,0.0023
31,-15.01,330.61,137.1167,0.1671,0.1555,0.2765,0.2105,9.8432,0.0022
32,-14.98,332.95,143.795,0.1673,0.1598,0.2774,0.2127,11.4135,0.002
33,-14.94,335.29,150.1766,0.1675,0.164,0.2784,0.2149,12.9726,0.0019
34,-14.91,337.63,156.2978,0.1677,0.1682,0.2793,0.217,14.5248,0.0017
35,-14.88,339.96,162.1912,0.1679,0.1722,0.2803,0.2192,16.0666,0.0016
36,-14.85,342.3,167.875,0.1681,0.1761,0.2812,0.2214,17.5949,0.0014
37,-14.82,344.64,173.3724,0.1683,0.18,0.2822,0.2236,19.113,0.0013
38,-14.78,346.98,178.7037,0.1685,0.1837,0.2831,0.2258,20.6254,0.0011
39,-14.75,349.32,183.8777,0.1687,0.1874,0.2841,0.228,22.122,0.001
40,-14.72,351.65,188.91,0.1689,0.191,0.285,0.2302,23.6107,0.0009
41,-14.69,353.99,193.8143,0.1691,0.1946,0.286,0.2324,25.0869,0.0007
42,-14.66,356.33,198.5951,0.1693,0.1981,0.2869,0.2346,26.5628,0.0006
43,-14.62,358.67,203.2634,0.1695,0.2015,0.2879,0.2367,28.0221,0.0004
44,-14.59,361.01,207.8293,0.1696,0.2049,0.2888,0.2389,29.4675,0.0003
45,-14.56,363.34,212.2946,0.1698,0.2082,0.2898,0.2411,30.9051,0.0001
46,-14.53,365.68,216.6679,0.17,0.2114,0.2907,0.2433,32.3301,-0.0
47,-14.5,368.02,220.957,0.1702,0.2147,0.2917,0.2455,33.7485,-0.0002
48,-14.46,370.36,225.1622,0.1704,0.2178,0.2926,0.2477,35.1529,-0.0003
49,-14.43,372.69,229.2902,0.1706,0.2209,0.2936,0.2499,36.5497,-0.0004
50,-14.4,375.03,233.3452,0.1708,0.224,0.2945,0.252,37.9437,-0.0006
51,-14.37,377.37,237.3331,0.171,0.227,0.2955,0.2542,39.3212,-0.0007
52,-14.34,379.71,241.253,0.1712,0.23,0.2964,0.2564,40.6848,-0.0009
53,-14.3,382.05,245.1102,0.1714,0.233,0.2974,0.2586,42.038,-0.001
54,-14.27,384.38,248.9096,0.1715,0.2359,0.2983,0.2608,43.3837,-0.0012
55,-14.24,386.72,252.65,0.1717,0.2388,0.2993,0.263,44.7165,-0.0013
56,-14.21,389.06,256.3357,0.1719,0.2417,0.3002,0.2652,46.043,-0.0014
57,-14.18,391.4,259.9712,0.1721,0.2445,0.3012,0.2674,47.3553,-0.0016
58,-14.14,393.74,263.5545,0.1723,0.2473,0.3021,0.2696,48.6674,-0.0017
59,-14.11,396.07,267.0899,0.1725,0.25,0.3031,0.2717,49.9619,-0.0019
60,-14.08,398.41,270.5809,0.1727,0.2527,0.304,0.2739,51.2475,-0.002
61,-14.05,400.75,274.0255,0.1729,0.2554,0.305,0.2761,52.5189,-0.0022
62,-14.02,405.44,280.61,0.1727,0.2614,0.3065,0.2806,56.2938,-0.0022
63,-13.98,410.38,287.3621,0.1726,0.2675,0.308,0.2852,60.2755,-0.0022
64,-13.95,415.31,293.9609,0.1724,0.2735,0.3096,0.2899,64.2199,-0.0023
65,-13.92,420.25,300.413,0.1722,0.2794,0.3112,0.2946,68.1054,-0.0023
66,-13.89,425.18,306.7312,0.1721,0.2851,0.3127,0.2992,71.9619,-0.0023
67,-13.86,430.12,312.9201,0.1719,0.2908,0.3143,0.3039,75.7651,-0.0024
68,-13.82,435.05,318.9828,0.1717,0.2963,0.3158,0.3086,79.5153,-0.0024
69,-13.79,439.99,324.9461,0.1716,0.3017,0.3174,0.3132,83.2307,-0.0024
70,-13.76,444.92,330.8021,0.1714,0.307,0.319,0.3179,86.8888,-0.0025
71,-13.73,449.86,336.5412,0.1712,0.3123,0.3205,0.3226,90.5077,-0.0025
72,-13.7,454.79,342.1988,0.1711,0.3174,0.3221,0.3272,94.0882,-0.0025
73,-13.66,459.73,347.7499,0.1709,0.3225,0.3236,0.3319,97.6048,-0.0026
74,-13.63,464.66,353.228,0.1707,0.3275,0.3252,0.3366,101.0887,-0.0026
75,-13.6,469.6,358.6084,0.1706,0.3324,0.3267,0.3412,104.5178,-0.0026
76,-13.57,474.53,363.9231,0.1704,0.3373,0.3283,0.3459,107.9096,-0.0027
77,-13.54,479.47,369.1477,0.1702,0.342,0.3298,0.3505,111.2518,-0.0027
