,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,557.96,401.9204,0.5421,0.5536,0.0506,0.7765,114.0885,-0.0803
1,-15.97,558.66,402.3307,0.5426,0.5544,0.0501,0.7799,114.2987,-0.0806
2,-15.94,559.35,402.753,0.5431,0.5553,0.0496,0.7834,114.5064,-0.0808
3,-15.9,560.05,403.1625,0.5436,0.5561,0.0491,0.7868,114.7071,-0.081
4,-15.87,560.75,403.5839,0.5441,0.5569,0.0486,0.7902,114.8973,-0.0812
5,-15.84,561.45,403.9926,0.5446,0.5577,0.0482,0.7937,115.0984,-0.0814
6,-15.81,562.15,404.4008,0.5451,0.5586,0.0477,0.7971,115.279,-0.0817
7,-15.78,562.84,404.8209,0.5456,0.5594,0.0472,0.8006,115.4684,-0.0819
8,-15.74,563.54,405.2283,0.5461,0.5602,0.0467,0.804,115.6395,-0.0821
9,-15.71,564.24,405.6476,0.5466,0.561,0.0462,0.8074,115.8113,-0.0823
10,-15.68,564.94,406.0542,0.5471,0.5619,0.0458,0.8109,115.9828,-0.0825
11,-15.65,565.64,406.4603,0.5476,0.5627,0.0453,0.8143,116.145,-0.0828
12,-15.62,566.33,406.8784,0.5481,0.5635,0.0448,0.8177,116.305,-0.083
13,-15.58,567.03,407.2837,0.5486,0.5643,0.0443,0.8212,116.4576,-0.0832
14,-15.55,567.73,407.7009,0.5491,0.5651,0.0438,0.8246,116.5998,-0.0834
15,-15.52,568.42,408.1054,0.5496,0.5659,0.0434,0.828,116.7298,-0.0836
16,-15.49,569.1,408.4972,0.55,0.5665,0.0429,0.8315,116.8106,-0.0837
17,-15.46,569.77,408.8887,0.5504,0.5672,0.0425,0.835,116.8893,-0.0838
18,-15.42,570.45,409.2799,0.5507,0.5678,0.0421,0.8385,116.9506,-0.0839
19,-15.39,571.13,409.6706,0.5511,0.5685,0.0417,0.842,117.0114,-0.084
20,-15.36,571.8,410.061,0.5515,0.5691,0.0412,0.8455,117.0659,-0.0841
21,-15.33,572.48,410.451,0.5519,0.5698,0.0408,0.849,117.123,-0.0842
22,-15.3,573.15,410.8406,0.5523,0.5704,0.0404,0.8525,117.1682,-0.0843
23,-15.26,573.83,411.2299,0.5527,0.571,0.0399,0.856,117.2158,-0.0844
24,-15.23,574.51,411.6188,0.5531,0.5717,0.0395,0.8595,117.2429,-0.0845
25,-15.2,575.18,412.0073,0.5535,0.5723,0.0391,0.863,117.2897,-0.0846
26,-15.17,575.86,412.3954,0.5539,0.573,0.0387,0.8665,117.3073,-0.0847
27,-15.14,576.53,412.7832,0.5543,0.5736,0.0382,0.87,117.3447,-0.0848
28,-15.1,577.21,413.1707,0.5547,0.5742,0.0378,0.8735,117.3528,-0.0849
29,-15.07,577.89,413.5577,0.555,0.5749,0.0374,0.877,117.372,-0.085
30,-15.04,578.56,413.9444,0.5554,0.5755,0.0369,0.8805,117.3895,-0.0851
31,-15.01,579.09,414.2342,0.5557,0.5762,0.0366,0.8836,117.4403,-0.0851
32,-14.98,579.55,414.4756,0.5559,0.5768,0.0363,0.8866,117.5142,-0.0852
33,-14.94,580.01,414.7047,0.5562,0.5775,0.036,0.8895,117.5853,-0.0852
34,-14.91,580.46,414.9458,0.5564,0.5782,0.0356,0.8925,117.6627,-0.0853
35,-14.88,580.92,415.1747,0.5566,0.5788,0.0353,0.8954,117.7284,-0.0853
36,-14.85,581.38,415.4155,0.5568,0.5795,0.035,0.8984,117.7915,-0.0854
37,-14.82,581.84,415.6561,0.5571,0.5802,0.0347,0.9013,117.8518,-0.0854
38,-14.78,582.29,415.8846,0.5573,0.5808,0.0344,0.9043,117.9184,-0.0854
39,-14.75,582.75,416.125,0.5575,0.5815,0.034,0.9072,117.9734,-0.0855
40,-14.72,583.21,416.3532,0.5577,0.5822,0.0337,0.9102,118.0356,-0.0855
41,-14.69,583.67,416.5933,0.558,0.5828,0.0334,0.9131,118.0792,-0.0856
42,-14.66,584.12,416.8333,0.5582,0.5835,0.0331,0.9161,118.1352,-0.0856
43,-14.62,584.58,417.0611,0.5584,0.5841,0.0328,0.919,118.1793,-0.0857
44,-14.59,585.04,417.3009,0.5587,0.5848,0.0324,0.922,118.2207,-0.0857
45,-14.56,585.5,417.5284,0.5589,0.5854,0.0321,0.9249,118.2593,-0.0857
46,-14.53,585.95,417.7679,0.5591,0.5861,0.0318,0.9279,118.3046,-0.0858
47,-14.5,586.41,418.0072,0.5593,0.5868,0.0315,0.9308,118.3378,-0.0858
48,-14.46,586.87,418.2344,0.5596,0.5874,0.0312,0.9338,118.3684,-0.0859
49,-14.43,587.33,418.4734,0.5598,0.5881,0.0308,0.9367,118.3962,-0.0859
50,-14.4,587.78,418.7004,0.56,0.5887,0.0305,0.9397,118.4308,-0.086
51,-14.37,588.24,418.9391,0.5602,0.5894,0.0302,0.9426,118.4532,-0.086
52,-14.34,588.62,419.142,0.5604,0.5901,0.0299,0.9457,118.5797,-0.086
53,-14.3,588.99,419.3328,0.5605,0.5909,0.0297,0.9488,118.7157,-0.0861
54,-14.27,589.35,419.5355,0.5606,0.5917,0.0294,0.9518,118.859,-0.0861
55,-14.24,589.71,419.7261,0.5607,0.5925,0.0292,0.9549,119.01,-0.0861
56,-14.21,590.08,419.9167,0.5608,0.5933,0.029,0.958,119.1393,-0.0862
57,-14.18,590.44,420.119,0.5609,0.5941,0.0287,0.9611,119.2758,-0.0862
58,-14.14,590.8,420.3094,0.561,0.5949,0.0285,0.9642,119.4202,-0.0862
59,-14.11,591.17,420.4997,0.5611,0.5956,0.0282,0.9672,119.5426,-0.0863
60,-14.08,591.53,420.7018,0.5612,0.5964,0.028,0.9703,119.6725,-0.0863
61,-14.05,591.9,420.8919,0.5613,0.5972,0.0277,0.9734,119.8005,-0.0863
62,-14.02,592.26,421.0819,0.5615,0.598,0.0275,0.9765,119.9259,-0.0864
63,-13.98,592.62,421.2719,0.5616,0.5988,0.0272,0.9796,120.0491,-0.0864
64,-13.95,592.99,421.4736,0.5617,0.5995,0.027,0.9826,120.1602,-0.0864
65,-13.92,593.35,421.6634,0.5618,0.6003,0.0268,0.9857,120.2949,-0.0865
66,-13.89,593.71,421.8531,0.5619,0.6011,0.0265,0.9888,120.4114,-0.0865
67,-13.86,594.08,422.0545,0.562,0.6019,0.0263,0.9919,120.5158,-0.0865
68,-13.82,594.44,422.244,0.5621,0.6027,0.026,0.9949,120.6379,-0.0866
69,-13.79,594.8,422.4334,0.5622,0.6034,0.0258,0.998,120.7477,-0.0866
70,-13.76,595.17,422.6346,0.5623,0.6042,0.0255,1.0011,120.8453,-0.0867
71,-13.73,595.53,422.8238,0.5624,0.605,0.0253,1.0042,120.9388,-0.0867
72,-13.7,595.89,423.013,0.5625,0.6057,0.025,1.0073,121.04,-0.0867
73,-13.66,596.22,423.2021,0.5626,0.6066,0.0249,1.0102,121.2286,-0.0868
74,-13.63,596.53,423.3911,0.5626,0.6075,0.0247,1.0131,121.4355,-0.0868
75,-13.6,596.85,423.58,0.5626,0.6084,0.0245,1.016,121.6304,-0.0868
76,-13.57,597.17,423.7688,0.5625,0.6093,0.0243,1.0189,121.8135,-0.0869
77,-13.54,597.49,423.9575,0.5625,0.6102,0.0241,1.0218,122.0047,-0.0869
78,-13.5,597.8,424.1462,0.5625,0.6111,0.024,1.0247,122.2043,-0.0869
79,-13.47,598.12,424.3348,0.5625,0.612,0.0238,1.0276,122.3819,-0.087
80,-13.44,598.44,424.5233,0.5625,0.6128,0.0236,1.0305,122.5676,-0.087
81,-13.41,598.76,424.7117,0.5625,0.6137,0.0234,1.0334,122.7514,-0.087
82,-13.38,599.07,424.9,0.5625,0.6146,0.0232,1.0363,122.9338,-0.0871
83,-13.34,599.39,425.0882,0.5625,0.6155,0.0231,1.0392,123.1139,-0.0871
84,-13.31,599.71,425.2764,0.5625,0.6164,0.0229,1.0421,123.2922,-0.0871
85,-13.28,600.03,425.4645,0.5625,0.6172,0.0227,1.045,123.4687,-0.0872
86,-13.25,600.34,425.6524,0.5625,0.6181,0.0225,1.0479,123.6437,-0.0872
87,-13.22,600.66,425.8521,0.5625,0.619,0.0223,1.0508,123.8165,-0.0872
88,-13.18,600.98,426.0399,0.5625,0.6199,0.0222,1.0538,123.9273,-0.0873
89,-13.15,601.3,426.2276,0.5625,0.6207,0.022,1.0567,124.0863,-0.0873
90,-13.12,601.61,426.4153,0.5625,0.6216,0.0218,1.0596,124.264,-0.0873
91,-13.09,601.93,426.6029,0.5625,0.6225,0.0216,1.0625,124.4294,-0.0874
92,-13.06,602.25,426.7903,0.5625,0.6234,0.0214,1.0654,124.5829,-0.0874
93,-13.02,602.57,426.9778,0.5625,0.6242,0.0213,1.0683,124.7445,-0.0874
94,-12.99,602.87,427.1885,0.5624,0.6253,0.0211,1.0709,124.9465,-0.0875
95,-12.96,603.18,427.4108,0.5624,0.6263,0.0209,1.0735,125.1363,-0.0876
96,-12.93,603.49,427.633,0.5624,0.6274,0.0207,1.076,125.3848,-0.0876
97,-12.9,603.79,427.8434,0.5623,0.6284,0.0205,1.0786,125.5821,-0.0877
98,-12.86,604.1,428.0654,0.5623,0.6294,0.0203,1.0812,125.7671,-0.0878
99,-12.83,604.41,428.2873,0.5622,0.6305,0.0201,1.0838,125.9404,-0.0878
100,-12.8,604.71,428.4974,0.5622,0.6315,0.0199,1.0864,126.1331,-0.0879
101,-12.77,605.02,428.719,0.5621,0.6326,0.0197,1.089,126.3132,-0.088
102,-12.74,605.33,428.9406,0.5621,0.6336,0.0195,1.0916,126.4918,-0.088
103,-12.7,605.63,429.1503,0.562,0.6346,0.0194,1.0941,126.7402,-0.0881
104,-12.67,605.94,429.3716,0.562,0.6357,0.0192,1.0967,126.9156,-0.0882
105,-12.64,606.25,429.5928,0.5619,0.6367,0.019,1.0993,127.0894,-0.0882
106,-12.61,606.55,429.8023,0.5619,0.6377,0.0188,1.1019,127.2626,-0.0883
107,-12.58,606.86,430.0233,0.5618,0.6387,0.0186,1.1045,127.4331,-0.0884
108,-12.54,607.16,430.2441,0.5618,0.6398,0.0184,1.1071,127.6132,-0.0884
109,-12.51,607.47,430.4649,0.5618,0.6408,0.0182,1.1097,127.7805,-0.0885
110,-12.48,607.78,430.6739,0.5617,0.6418,0.018,1.1122,128.0071,-0.0886
111,-12.45,608.08,430.8944,0.5617,0.6428,0.0178,1.1148,128.1824,-0.0886
112,-12.42,608.39,431.1148,0.5616,0.6438,0.0176,1.1174,128.345,-0.0887
113,-12.38,608.7,431.3235,0.5616,0.6449,0.0174,1.12,128.496,-0.0888
114,-12.35,609.01,431.5437,0.5615,0.6459,0.0172,1.1226,128.6554,-0.0889
115,-12.32,609.34,431.7986,0.5615,0.6471,0.0171,1.1249,128.9134,-0.089
116,-12.29,609.67,432.0532,0.5615,0.6483,0.0169,1.1273,129.119,-0.0892
117,-12.26,610.0,432.3078,0.5615,0.6495,0.0168,1.1297,129.323,-0.0894
118,-12.22,610.33,432.5621,0.5615,0.6506,0.0166,1.1321,129.5154,-0.0896
119,-12.19,610.66,432.8164,0.5615,0.6518,0.0165,1.1345,129.7162,-0.0898
120,-12.16,610.99,433.0704,0.5615,0.653,0.0163,1.1368,129.9766,-0.09
121,-12.13,611.32,433.3244,0.5614,0.6542,0.0162,1.1392,130.1643,-0.0901
122,-12.1,611.65,433.5781,0.5614,0.6554,0.016,1.1416,130.3604,-0.0903
123,-12.06,611.98,433.8318,0.5614,0.6565,0.0159,1.144,130.5449,-0.0905
124,-12.03,612.31,434.0852,0.5614,0.6577,0.0157,1.1463,130.799,-0.0907
125,-12.0,612.65,434.3271,0.5614,0.6589,0.0156,1.1487,130.9789,-0.0909
126,-11.97,612.98,434.5803,0.5614,0.6601,0.0154,1.1511,131.1587,-0.0911
127,-11.94,613.31,434.8333,0.5614,0.6612,0.0153,1.1535,131.3469,-0.0913
128,-11.9,613.64,435.0862,0.5614,0.6624,0.0151,1.1558,131.5949,-0.0914
129,-11.87,613.97,435.3389,0.5614,0.6636,0.015,1.1582,131.7699,-0.0916
130,-11.84,614.3,435.5916,0.5613,0.6647,0.0148,1.1606,131.9534,-0.0918
131,-11.81,614.63,435.844,0.5613,0.6659,0.0147,1.163,132.1353,-0.092
132,-11.78,614.96,436.0963,0.5613,0.667,0.0145,1.1654,132.3056,-0.0922
133,-11.74,615.29,436.3485,0.5613,0.6682,0.0144,1.1677,132.5459,-0.0924
134,-11.71,615.62,436.6005,0.5613,0.6693,0.0142,1.1701,132.713,-0.0925
135,-11.68,615.96,436.8638,0.5613,0.6705,0.0141,1.1725,132.8969,-0.0928
136,-11.65,616.35,437.1499,0.5613,0.6718,0.0139,1.1748,133.172,-0.0931
137,-11.62,616.73,437.4471,0.5614,0.673,0.0138,1.1771,133.4671,-0.0935
138,-11.58,617.12,437.7328,0.5614,0.6742,0.0136,1.1794,133.7387,-0.0939
139,-11.55,617.5,438.0297,0.5614,0.6755,0.0134,1.1818,133.9585,-0.0942
140,-11.52,617.88,438.315,0.5615,0.6767,0.0133,1.1841,134.2383,-0.0946
141,-11.49,618.27,438.6114,0.5615,0.678,0.0131,1.1864,134.5045,-0.095
142,-11.46,618.65,438.8963,0.5615,0.6792,0.013,1.1887,134.7807,-0.0953
143,-11.42,619.04,439.1924,0.5616,0.6804,0.0128,1.191,135.0434,-0.0957
144,-11.39,619.42,439.477,0.5616,0.6817,0.0127,1.1934,135.2542,-0.0961
145,-11.36,619.8,439.7727,0.5616,0.6829,0.0125,1.1957,135.5351,-0.0964
146,-11.33,620.19,440.0568,0.5617,0.6841,0.0124,1.198,135.7924,-0.0968
147,-11.3,620.57,440.3521,0.5617,0.6853,0.0122,1.2003,136.0598,-0.0972
148,-11.26,620.96,440.6359,0.5617,0.6866,0.0121,1.2026,136.3135,-0.0975
149,-11.23,621.34,440.9308,0.5618,0.6878,0.0119,1.205,136.5153,-0.0979
150,-11.2,621.72,441.2142,0.5618,0.689,0.0118,1.2073,136.7774,-0.0983
151,-11.17,622.11,441.5088,0.5619,0.6902,0.0116,1.2096,137.0257,-0.0986
152,-11.14,622.49,441.7918,0.5619,0.6914,0.0115,1.2119,137.2844,-0.099
153,-11.1,622.88,442.086,0.5619,0.6926,0.0113,1.2143,137.4768,-0.0994
154,-11.07,623.26,442.3686,0.562,0.6939,0.0112,1.2166,137.7319,-0.0997
155,-11.04,623.64,442.6624,0.562,0.6951,0.011,1.2189,137.9852,-0.1001
156,-11.01,624.01,442.9221,0.562,0.6962,0.0109,1.2211,138.2314,-0.1005
157,-10.98,624.33,443.1365,0.562,0.6973,0.0108,1.2232,138.3995,-0.1008
158,-10.94,624.64,443.3509,0.562,0.6984,0.0107,1.2253,138.5786,-0.1012
159,-10.91,624.96,443.5651,0.562,0.6995,0.0106,1.2274,138.7441,-0.1016
160,-10.88,625.28,443.7792,0.562,0.7006,0.0105,1.2295,138.9182,-0.102
161,-10.85,625.6,443.982,0.562,0.7017,0.0104,1.2316,139.081,-0.1024
162,-10.82,625.91,444.1959,0.562,0.7028,0.0103,1.2337,139.2548,-0.1028
163,-10.78,626.23,444.4097,0.562,0.7039,0.0102,1.2358,139.425,-0.1032
164,-10.75,626.55,444.6234,0.5621,0.705,0.0101,1.2379,139.5838,-0.1036
165,-10.72,626.87,444.837,0.5621,0.7061,0.01,1.24,139.7412,-0.104
166,-10.69,627.18,445.0506,0.5621,0.7072,0.0099,1.2421,139.9097,-0.1044
167,-10.66,627.5,445.264,0.5621,0.7083,0.0098,1.2442,140.0745,-0.1047
168,-10.62,627.82,445.466,0.5621,0.7094,0.0097,1.2462,140.2907,-0.1051
169,-10.59,628.14,445.6793,0.5621,0.7104,0.0096,1.2483,140.4428,-0.1055
170,-10.56,628.45,445.8924,0.5621,0.7115,0.0095,1.2504,140.6161,-0.1059
171,-10.53,628.77,446.1054,0.5621,0.7126,0.0094,1.2525,140.7656,-0.1063
172,-10.5,629.09,446.3183,0.5621,0.7137,0.0093,1.2546,140.9137,-0.1067
173,-10.46,629.41,446.5311,0.5621,0.7147,0.0092,1.2567,141.0605,-0.1071
174,-10.43,629.72,446.7438,0.5621,0.7158,0.0091,1.2588,141.2285,-0.1075
175,-10.4,630.04,446.9452,0.5621,0.7169,0.009,1.2609,141.3726,-0.1078
176,-10.37,630.36,447.1577,0.5621,0.718,0.0089,1.263,141.5153,-0.1082
177,-10.34,630.57,447.2695,0.562,0.719,0.0089,1.2649,141.582,-0.1085
