,z(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,0.0,338.0,0.0,0.0,0.0,0.0,0.0132,0.0,0.0
1,0.3,524.89,318.6377,0.1627,0.0663,-0.0004,0.0196,2.3316,-0.0001
2,0.6,637.93,369.4049,0.1997,0.108,-0.0065,0.0373,14.9886,-0.0002
3,0.9,723.39,370.1081,0.2161,0.1552,-0.0138,0.0725,31.6541,-0.0012
4,1.2,782.6,372.5856,0.2192,0.1879,-0.0167,0.1096,42.3657,-0.0019
5,1.5,826.15,376.0585,0.218,0.2101,-0.0169,0.1412,48.4507,-0.0023
6,1.8,867.64,378.9459,0.216,0.2301,-0.0167,0.177,54.0011,-0.0024
7,2.1,906.57,381.0905,0.2129,0.2484,-0.016,0.2181,59.2261,-0.0023
8,2.4,943.75,382.7924,0.2107,0.2649,-0.0154,0.2601,62.1806,-0.0021
9,2.7,974.83,382.9099,0.2113,0.2788,-0.0155,0.3051,65.5101,-0.0019
10,3.0,1005.9,383.0274,0.212,0.2921,-0.0156,0.3502,66.024,-0.0017
11,3.3,1031.3,381.6674,0.2127,0.305,-0.0162,0.3968,68.2289,-0.0007
12,3.6,1056.8,380.3157,0.2134,0.3173,-0.0168,0.4435,68.0081,0.0002
13,3.9,1079.1,378.7215,0.2136,0.3309,-0.0183,0.4915,68.7092,0.0013
14,4.2,1100.5,377.0544,0.2137,0.3444,-0.02,0.54,68.245,0.0024
15,4.5,1120.0,375.5396,0.2148,0.3595,-0.0212,0.5888,67.99,0.0033
16,4.8,1138.1,374.139,0.2167,0.3755,-0.0219,0.6378,67.6629,0.0042
17,5.1,1154.8,373.055,0.2187,0.3923,-0.0225,0.687,67.0439,0.0049
18,5.4,1168.8,372.599,0.2209,0.4111,-0.0229,0.7362,67.8411,0.0052
19,5.7,1182.3,372.2231,0.2229,0.4297,-0.0233,0.7852,67.7507,0.0055
20,6.0,1192.7,372.4245,0.2242,0.4511,-0.0237,0.8331,69.6378,0.0058
21,6.3,1203.2,372.6258,0.2255,0.4716,-0.024,0.881,70.3808,0.006
22,6.6,1210.5,373.5907,0.2252,0.4952,-0.0241,0.9281,73.5471,0.0061
23,6.9,1217.5,374.6465,0.2247,0.5182,-0.0242,0.9751,76.3401,0.006
24,7.2,1222.5,375.9787,0.224,0.5424,-0.0233,1.0206,80.6165,0.0057
25,7.5,1226.5,377.452,0.2232,0.5665,-0.022,1.0654,85.4869,0.0052
26,7.8,1230.1,378.6291,0.2229,0.5905,-0.0208,1.11,90.289,0.005
27,8.1,1233.0,379.4733,0.2233,0.6146,-0.0197,1.1543,95.6481,0.0052
28,8.4,1235.6,380.3814,0.2239,0.6379,-0.0187,1.1984,100.957,0.0054
29,8.7,1237.1,381.5364,0.2249,0.6611,-0.0178,1.2414,107.0641,0.0058
30,9.0,1238.5,382.6879,0.2259,0.6835,-0.017,1.2843,113.3944,0.0061
31,9.3,1238.8,384.4346,0.2267,0.7082,-0.0163,1.3245,120.7094,0.0067
32,9.6,1239.0,386.1606,0.2275,0.732,-0.0156,1.3647,128.2367,0.0073
33,9.9,1239.3,388.0206,0.2282,0.7541,-0.0151,1.4044,135.3271,0.0079
34,10.2,1239.6,389.9231,0.2288,0.7753,-0.0146,1.444,142.1176,0.0084
35,10.5,1239.6,392.1224,0.2295,0.7968,-0.014,1.4818,149.4607,0.0089
36,10.8,1239.3,394.563,0.2303,0.8184,-0.0131,1.5182,157.0947,0.0094
37,11.1,1238.7,397.165,0.2315,0.84,-0.0123,1.5545,165.2409,0.0099
38,11.4,1237.6,400.1375,0.2334,0.8621,-0.0119,1.5907,174.0497,0.0104
39,11.7,1236.3,403.0881,0.2355,0.8841,-0.0116,1.626,182.9762,0.011
40,12.0,1234.6,406.0911,0.2381,0.907,-0.0117,1.6583,192.4628,0.0118
41,12.3,1232.9,409.0843,0.2406,0.9293,-0.0118,1.6906,201.9593,0.0126
42,12.6,1231.1,411.7645,0.2439,0.9503,-0.0119,1.7217,210.6151,0.0129
43,12.9,1229.3,414.4394,0.2472,0.9709,-0.012,1.7527,219.4059,0.0132
44,13.2,1227.5,417.0851,0.2504,0.9916,-0.0124,1.7822,228.4495,0.0138
45,13.5,1225.8,419.7023,0.2534,1.0124,-0.0131,1.8106,237.4665,0.0148
46,13.8,1224.0,422.315,0.2563,1.0328,-0.0138,1.8389,246.8864,0.0157
47,14.1,1221.8,425.2881,0.2591,1.0529,-0.014,1.8655,256.5321,0.0163
48,14.4,1219.6,428.2406,0.2618,1.0728,-0.0142,1.8921,266.2948,0.0169
49,14.7,1217.4,431.08,0.2648,1.0921,-0.0142,1.918,276.0268,0.0172
50,15.0,1215.0,433.6473,0.2685,1.111,-0.014,1.942,285.37,0.0167
51,15.3,1212.5,436.188,0.2721,1.1296,-0.0138,1.966,295.125,0.0163
52,15.6,1209.8,438.6342,0.2759,1.1482,-0.0135,1.9893,304.6449,0.0162
53,15.9,1206.6,440.8968,0.2801,1.167,-0.0132,2.011,313.8274,0.0169
54,16.2,1203.4,443.1365,0.2842,1.1855,-0.0129,2.0327,323.1488,0.0177
55,16.5,1200.0,445.3762,0.2881,1.2037,-0.0126,2.0539,332.82,0.0183
56,16.8,1195.9,447.7276,0.2911,1.2219,-0.0124,2.0721,343.1756,0.0182
57,17.1,1191.8,450.0556,0.2941,1.2398,-0.0122,2.0902,353.6996,0.018
58,17.4,1187.6,452.3826,0.297,1.2575,-0.0119,2.1083,364.6829,0.0179
59,17.7,1183.5,454.5217,0.2999,1.2757,-0.012,2.125,374.6625,0.018
60,18.0,1179.3,456.5852,0.3028,1.2939,-0.0123,2.1412,384.6828,0.0181
61,18.3,1175.1,458.6393,0.3056,1.3119,-0.0125,2.1574,394.8393,0.0182
62,18.6,1170.9,460.6734,0.3086,1.3294,-0.0127,2.1734,404.9659,0.0182
63,18.9,1166.7,462.623,0.3128,1.3434,-0.0121,2.1883,412.8104,0.0169
64,19.2,1162.5,464.5643,0.3169,1.3572,-0.0115,2.2031,420.7962,0.0157
65,19.5,1158.3,466.4869,0.321,1.3709,-0.0109,2.218,428.8906,0.0145
66,19.8,1154.1,468.3161,0.3251,1.3847,-0.0104,2.2324,436.9872,0.0135
67,20.1,1149.7,469.7127,0.3295,1.3995,-0.0104,2.2447,445.0684,0.0133
68,20.4,1145.3,471.1051,0.3339,1.414,-0.0103,2.2571,453.0434,0.0131
69,20.7,1140.9,472.4934,0.3382,1.4284,-0.0103,2.2695,461.2274,0.0128
70,21.0,1136.6,473.8776,0.3425,1.4427,-0.0103,2.2819,469.2925,0.0126
71,21.3,1131.6,475.1421,0.346,1.4519,-0.011,2.2931,474.828,0.0142
72,21.6,1126.6,476.4032,0.3495,1.461,-0.0118,2.3044,480.363,0.0158
73,21.9,1121.7,477.661,0.353,1.47,-0.0125,2.3156,485.9915,0.0173
74,22.2,1116.7,478.9154,0.3564,1.479,-0.0132,2.3269,491.7508,0.0189
75,22.5,1111.1,480.4061,0.3594,1.4886,-0.0135,2.3357,498.5037,0.0195
76,22.8,1105.0,482.0892,0.3621,1.4986,-0.0133,2.3427,505.9165,0.0194
77,23.1,1098.9,483.7665,0.3647,1.5085,-0.0132,2.3497,513.3147,0.0193
78,23.4,1092.8,485.4379,0.3674,1.5185,-0.0131,2.3566,521.0075,0.0191
79,23.7,1086.6,487.0524,0.3699,1.5281,-0.0129,2.3635,528.5209,0.0189
80,24.0,1079.8,488.3339,0.3721,1.5359,-0.013,2.3699,534.182,0.0175
81,24.3,1073.1,489.6121,0.3743,1.5438,-0.0131,2.3762,539.8998,0.0161
82,24.6,1066.3,490.887,0.3764,1.5516,-0.0132,2.3826,545.7336,0.0148
83,24.9,1059.5,492.1585,0.3785,1.5593,-0.0133,2.3889,551.7605,0.0134
84,25.2,1052.6,493.2038,0.3808,1.5643,-0.014,2.3941,556.3703,0.0124
85,25.5,1045.7,494.1356,0.3831,1.568,-0.0149,2.3988,560.1748,0.0117
86,25.8,1038.8,495.0758,0.3854,1.5716,-0.0158,2.4035,564.0442,0.011
87,26.1,1031.9,496.004,0.3877,1.5752,-0.0167,2.4082,567.9784,0.0102
88,26.4,1025.0,496.8199,0.3899,1.5789,-0.0174,2.4125,571.7875,0.0092
89,26.7,1018.3,497.2424,0.3921,1.5827,-0.017,2.4157,574.1927,0.0071
90,27.0,1011.6,497.6645,0.3943,1.5866,-0.0167,2.4188,576.7419,0.0049
91,27.3,1004.9,498.0763,0.3965,1.5904,-0.0164,2.422,579.2322,0.0028
92,27.6,998.24,498.4977,0.3986,1.5943,-0.016,2.4251,581.7682,0.0007
93,27.9,992.03,498.4576,0.4014,1.5951,-0.0156,2.4284,582.2543,-0.0012
94,28.2,985.97,498.277,0.4043,1.595,-0.0153,2.4318,582.0182,-0.0031
95,28.5,979.9,498.1064,0.4071,1.5948,-0.0149,2.4351,581.9455,-0.005
96,28.8,973.84,497.9257,0.41,1.5947,-0.0145,2.4385,581.7912,-0.0069
97,29.1,967.95,497.6645,0.4126,1.5949,-0.0142,2.4416,581.6533,-0.0085
98,29.4,962.4,497.2424,0.4149,1.5957,-0.0141,2.4442,581.1019,-0.0095
99,29.7,956.86,496.8199,0.4171,1.5966,-0.014,2.4468,580.555,-0.0104
100,30.0,951.31,496.3869,0.4193,1.5974,-0.0139,2.4494,580.0613,-0.0114
101,30.3,945.77,495.9637,0.4215,1.5982,-0.0138,2.452,579.672,-0.0124
102,30.6,940.53,495.0859,0.4227,1.5964,-0.0135,2.4549,577.0929,-0.0131
103,30.9,935.32,494.1457,0.4238,1.5943,-0.0132,2.4579,574.277,-0.0138
104,31.2,930.12,493.2038,0.4249,1.5921,-0.0129,2.4609,571.4677,-0.0145
105,31.5,924.91,492.2499,0.426,1.59,-0.0125,2.4639,568.7143,-0.0153
106,31.8,919.94,491.0601,0.427,1.5877,-0.0128,2.4667,565.784,-0.0148
107,32.1,915.27,489.5406,0.4279,1.5851,-0.0138,2.4694,562.4323,-0.0128
108,32.4,910.59,488.0266,0.4289,1.5825,-0.0148,2.4721,559.1305,-0.0108
109,32.7,905.92,486.4977,0.4298,1.5799,-0.0158,2.4748,555.8292,-0.0089
110,33.0,901.24,484.9742,0.4307,1.5773,-0.0167,2.4775,552.5779,-0.0069
111,33.3,896.69,483.3011,0.4311,1.5738,-0.0173,2.48,548.4088,-0.0053
112,33.6,892.13,481.6119,0.4315,1.5702,-0.0178,2.4825,544.1873,-0.0036
113,33.9,887.57,479.9271,0.4319,1.5666,-0.0183,2.485,540.0885,-0.002
114,34.2,883.01,478.2363,0.4323,1.563,-0.0189,2.4875,536.0126,-0.0004
115,34.5,878.59,476.5501,0.4328,1.5591,-0.019,2.4898,531.7866,0.001
116,34.8,874.27,474.8579,0.4336,1.555,-0.0189,2.4918,527.494,0.0023
117,35.1,869.95,473.1702,0.4343,1.5509,-0.0187,2.4938,523.3187,0.0035
118,35.4,865.64,471.4764,0.435,1.5468,-0.0186,2.4958,519.0357,0.0048
119,35.7,861.34,469.7659,0.4358,1.5428,-0.0185,2.4978,514.8449,0.006
120,36.0,857.25,468.0278,0.4368,1.5403,-0.0184,2.4994,510.7894,0.0068
121,36.3,853.16,466.2939,0.4378,1.5378,-0.0184,2.501,506.6468,0.0075
122,36.6,849.06,464.5428,0.4388,1.5352,-0.0184,2.5026,502.6424,0.0083
123,36.9,844.97,462.7959,0.4398,1.5327,-0.0184,2.5042,498.6261,0.009
124,37.2,840.84,461.0423,0.441,1.5295,-0.0183,2.5053,494.1435,0.0107
125,37.5,836.7,459.3038,0.4423,1.5261,-0.0181,2.5061,489.4461,0.0129
126,37.8,832.55,457.5478,0.4436,1.5226,-0.0179,2.507,484.6972,0.015
127,38.1,828.41,455.785,0.4449,1.5191,-0.0177,2.5079,479.9306,0.0171
128,38.4,824.33,454.0264,0.4461,1.5156,-0.0175,2.5088,475.3209,0.0189
129,38.7,820.47,452.272,0.4468,1.512,-0.017,2.5102,470.7562,0.0191
130,39.0,816.61,450.5219,0.4475,1.5084,-0.0165,2.5115,466.184,0.0194
131,39.3,812.75,448.7538,0.4482,1.5048,-0.016,2.5129,461.6405,0.0197
132,39.6,808.89,446.9787,0.4489,1.5011,-0.0155,2.5142,457.1888,0.0199
133,39.9,805.12,445.118,0.4489,1.4979,-0.0153,2.5153,452.7817,0.02
134,40.2,801.37,443.2268,0.4488,1.4947,-0.0151,2.5162,448.3928,0.0201
135,40.5,797.61,441.3162,0.4487,1.4916,-0.015,2.5172,444.0561,0.0201
136,40.8,793.86,439.4087,0.4486,1.4884,-0.0148,2.5182,439.6017,0.0202
137,41.1,790.09,437.47,0.4487,1.4849,-0.0146,2.5192,435.2053,0.0201
138,41.4,786.26,435.4882,0.4491,1.4809,-0.0141,2.5203,430.7889,0.0198
139,41.7,782.43,433.4974,0.4496,1.4769,-0.0137,2.5214,426.381,0.0194
140,42.0,778.61,431.4974,0.45,1.4728,-0.0132,2.5225,421.8563,0.0191
141,42.3,774.78,429.4997,0.4505,1.4688,-0.0128,2.5236,417.4652,0.0188
142,42.6,771.1,427.5629,0.4501,1.4649,-0.0122,2.5251,413.9954,0.0173
143,42.9,767.44,425.6407,0.4497,1.461,-0.0116,2.5268,410.5326,0.0157
144,43.2,763.79,423.698,0.4493,1.457,-0.011,2.5284,407.2334,0.0141
145,43.5,760.13,421.7582,0.4489,1.4531,-0.0104,2.5301,403.7951,0.0125
146,43.8,756.61,419.8214,0.4487,1.4492,-0.0101,2.5315,400.2418,0.0117
147,44.1,753.27,417.8995,0.4488,1.4453,-0.0103,2.5328,396.2177,0.012
