,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,309.62,47.7556,0.1148,0.1187,0.2683,0.2911,-0.878,0.0076
1,-15.97,312.55,57.8852,0.1164,0.1189,0.2694,0.2861,-0.9594,0.0075
2,-15.94,315.49,66.4883,0.1179,0.119,0.2705,0.2811,-1.0145,0.0073
3,-15.9,318.43,74.1006,0.1194,0.1192,0.2717,0.2762,-1.0404,0.0072
4,-15.87,321.37,81.0,0.1209,0.1193,0.2728,0.2712,-1.0371,0.007
5,-15.84,324.3,87.3562,0.1224,0.1195,0.2739,0.2662,-1.0019,0.0069
6,-15.81,327.24,93.2802,0.1239,0.1196,0.2751,0.2612,-0.9369,0.0067
7,-15.78,330.18,98.8499,0.1253,0.1198,0.2762,0.2563,-0.8459,0.0065
8,-15.74,333.12,104.1201,0.1268,0.1199,0.2773,0.2513,-0.7257,0.0064
9,-15.71,336.05,109.1375,0.1282,0.12,0.2785,0.2463,-0.5738,0.0062
10,-15.68,338.99,113.9386,0.1296,0.1202,0.2796,0.2414,-0.3952,0.0061
11,-15.65,341.93,118.5411,0.1309,0.1203,0.2807,0.2364,-0.1874,0.0059
12,-15.62,344.87,122.9715,0.1323,0.1205,0.2819,0.2314,0.0496,0.0058
13,-15.58,347.8,127.2478,0.1337,0.1206,0.283,0.2264,0.3182,0.0056
14,-15.55,350.74,131.3849,0.135,0.1208,0.2841,0.2215,0.6136,0.0055
15,-15.52,364.83,152.686,0.1356,0.1244,0.2829,0.2192,1.1209,0.005
16,-15.49,379.67,172.3282,0.1361,0.1281,0.2816,0.2171,1.7004,0.0045
17,-15.46,394.5,189.9474,0.1366,0.1317,0.2802,0.215,2.3434,0.004
18,-15.42,409.34,206.0679,0.1371,0.1352,0.2789,0.2129,3.0476,0.0035
19,-15.39,424.17,221.0136,0.1376,0.1386,0.2775,0.2108,3.8162,0.0031
20,-15.36,439.01,235.0106,0.1381,0.142,0.2762,0.2087,4.645,0.0026
21,-15.33,453.85,248.2217,0.1386,0.1452,0.2748,0.2066,5.5361,0.0021
22,-15.3,468.68,260.7623,0.1391,0.1484,0.2735,0.2045,6.4896,0.0016
23,-15.26,483.52,272.7288,0.1396,0.1515,0.2721,0.2024,7.5104,0.0011
24,-15.23,498.35,284.1901,0.1401,0.1546,0.2708,0.2003,8.5855,0.0006
25,-15.2,513.19,295.2084,0.1406,0.1576,0.2694,0.1982,9.7309,0.0002
26,-15.17,528.02,305.8284,0.1411,0.1605,0.2681,0.1961,10.9358,-0.0003
27,-15.14,542.86,316.0918,0.1416,0.1634,0.2667,0.194,12.206,-0.0008
28,-15.1,557.7,326.0368,0.1421,0.1663,0.2654,0.1919,13.5285,-0.0013
29,-15.07,572.53,335.6784,0.1426,0.1691,0.264,0.1898,14.9253,-0.0018
30,-15.04,585.51,343.4967,0.1436,0.1714,0.2632,0.1882,16.2153,-0.0022
31,-15.01,594.41,347.7499,0.1456,0.1728,0.2635,0.1878,17.182,-0.0025
32,-14.98,603.31,351.9659,0.1475,0.1742,0.2638,0.1874,18.1556,-0.0028
33,-14.94,612.21,356.118,0.1495,0.1756,0.2641,0.187,19.1361,-0.0032
34,-14.91,621.11,360.2222,0.1514,0.1769,0.2644,0.1867,20.1236,-0.0035
35,-14.88,630.0,364.2938,0.1533,0.1783,0.2647,0.1863,21.1299,-0.0038
36,-14.85,638.9,368.3069,0.1552,0.1796,0.265,0.1859,22.1313,-0.0041
37,-14.82,647.8,372.2768,0.157,0.181,0.2653,0.1855,23.1396,-0.0044
38,-14.78,656.7,376.218,0.1588,0.1823,0.2656,0.1851,24.1483,-0.0048
39,-14.75,665.6,380.1052,0.1606,0.1836,0.2658,0.1847,25.1704,-0.0051
40,-14.72,674.5,383.9531,0.1624,0.1849,0.2662,0.1843,26.2094,-0.0054
41,-14.69,683.4,387.7757,0.1642,0.1862,0.2664,0.1839,27.2454,-0.0057
42,-14.66,692.29,391.5482,0.1659,0.1875,0.2667,0.1836,28.2902,-0.0061
43,-14.62,701.19,395.2847,0.1676,0.1888,0.267,0.1832,29.34,-0.0064
44,-14.59,710.09,398.9987,0.1693,0.19,0.2673,0.1828,30.4069,-0.0067
