,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,431.75,349.2277,0.2734,0.1936,0.219,0.2642,14.2503,-0.0024
1,-15.97,433.13,350.7563,0.2745,0.1957,0.2188,0.2665,15.4609,-0.003
2,-15.94,434.51,352.2783,0.2755,0.1977,0.2186,0.2688,16.6607,-0.0036
3,-15.9,435.9,353.7937,0.2765,0.1996,0.2184,0.2712,17.8557,-0.0042
4,-15.87,437.28,355.3027,0.2776,0.2016,0.2182,0.2735,19.047,-0.0048
5,-15.84,438.66,356.7913,0.2786,0.2035,0.218,0.2758,20.2376,-0.0054
6,-15.81,440.04,358.2876,0.2796,0.2055,0.2178,0.2781,21.4161,-0.006
7,-15.78,441.42,359.7777,0.2806,0.2074,0.2176,0.2804,22.5882,-0.0066
8,-15.74,442.8,361.2617,0.2817,0.2093,0.2174,0.2828,23.7539,-0.0073
9,-15.71,444.18,362.7396,0.2827,0.2111,0.2172,0.2851,24.9087,-0.0079
10,-15.68,445.56,364.1977,0.2837,0.213,0.217,0.2874,26.0616,-0.0085
11,-15.65,446.94,365.6638,0.2847,0.2148,0.2168,0.2897,27.2081,-0.0091
12,-15.62,448.32,367.124,0.2857,0.2166,0.2166,0.2921,28.3437,-0.0097
13,-15.58,449.7,368.5783,0.2867,0.2185,0.2164,0.2944,29.4873,-0.0103
14,-15.55,451.08,370.027,0.2877,0.2202,0.2162,0.2967,30.6146,-0.0109
15,-15.52,452.34,371.1199,0.2885,0.223,0.216,0.2994,31.962,-0.0117
16,-15.49,453.58,372.1828,0.2894,0.2258,0.2159,0.302,33.3352,-0.0126
17,-15.46,454.83,373.2425,0.2902,0.2285,0.2158,0.3047,34.6933,-0.0134
18,-15.42,456.08,374.2993,0.291,0.2312,0.2156,0.3074,36.0401,-0.0142
19,-15.39,457.32,375.3532,0.2919,0.2339,0.2155,0.31,37.3879,-0.015
20,-15.36,458.57,376.404,0.2927,0.2366,0.2153,0.3127,38.7214,-0.0159
