,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,348.11,190.945,0.2263,0.1691,0.2375,0.193,-9.0393,0.0067
1,-15.97,350.27,195.6016,0.2274,0.1695,0.238,0.1946,-9.1075,0.0067
2,-15.94,352.43,200.1499,0.2286,0.17,0.2386,0.1963,-9.1839,0.0067
3,-15.9,354.59,204.5972,0.2297,0.1704,0.2391,0.1979,-9.2674,0.0067
4,-15.87,356.75,208.9498,0.2309,0.1708,0.2396,0.1996,-9.3615,0.0066
5,-15.84,358.91,213.2135,0.232,0.1713,0.2402,0.2012,-9.4591,0.0066
6,-15.81,361.07,217.396,0.2332,0.1717,0.2407,0.2028,-9.5638,0.0066
7,-15.78,363.22,221.4972,0.2343,0.1721,0.2412,0.2045,-9.6736,0.0066
8,-15.74,365.38,225.5238,0.2354,0.1725,0.2418,0.2061,-9.7925,0.0066
9,-15.71,367.54,229.4798,0.2365,0.1729,0.2423,0.2078,-9.9184,0.0065
10,-15.68,369.7,233.3688,0.2376,0.1734,0.2428,0.2094,-10.0515,0.0065
11,-15.65,371.86,237.194,0.2387,0.1738,0.2434,0.211,-10.1953,0.0065
12,-15.62,374.02,240.9585,0.2398,0.1742,0.2439,0.2127,-10.3416,0.0065
13,-15.58,376.18,244.6651,0.2409,0.1746,0.2444,0.2143,-10.4959,0.0065
14,-15.55,378.33,248.3163,0.242,0.175,0.2449,0.216,-10.6551,0.0064
15,-15.52,380.66,251.6327,0.2434,0.1756,0.245,0.2184,-10.0382,0.0062
16,-15.49,382.99,254.8882,0.2448,0.1762,0.245,0.221,-9.376,0.006
17,-15.46,385.33,258.1046,0.2462,0.1768,0.2451,0.2235,-8.7268,0.0058
18,-15.42,387.66,261.2795,0.2475,0.1774,0.2451,0.2261,-8.0922,0.0055
19,-15.39,389.99,264.4163,0.2489,0.178,0.2452,0.2286,-7.4645,0.0053
20,-15.36,392.33,267.5164,0.2502,0.1786,0.2452,0.2312,-6.852,0.0051
21,-15.33,394.66,270.5809,0.2516,0.1792,0.2452,0.2337,-6.248,0.0048
22,-15.3,397.0,273.6129,0.2529,0.1798,0.2453,0.2362,-5.6633,0.0046
23,-15.26,399.33,276.6098,0.2542,0.1804,0.2453,0.2388,-5.084,0.0044
24,-15.23,401.67,279.5747,0.2556,0.1809,0.2454,0.2413,-4.518,0.0041
25,-15.2,404.0,282.5084,0.2569,0.1815,0.2454,0.2439,-3.9665,0.0039
26,-15.17,406.33,285.412,0.2582,0.1821,0.2454,0.2464,-3.4218,0.0037
27,-15.14,408.67,288.2863,0.2595,0.1827,0.2455,0.249,-2.8925,0.0034
