,z(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,0.0,338.0,0.0,0.0,0.0,0.0,0.0132,0.0,0.0
1,0.3,576.93,381.8508,0.1866,0.0728,0.0056,0.017,-0.879,0.0001
2,0.6,684.97,426.427,0.223,0.1162,0.0024,0.0316,11.254,0.0
3,0.9,746.37,410.0975,0.2404,0.1626,-0.0014,0.0555,26.5613,-0.0009
4,1.2,794.56,400.2249,0.2476,0.1967,-0.004,0.0808,35.6501,-0.0015
5,1.5,836.06,394.8924,0.2505,0.2215,-0.0062,0.1038,40.9086,-0.0018
6,1.8,877.67,394.3602,0.2504,0.2423,-0.0083,0.1339,46.0037,-0.0018
7,2.1,917.62,393.9924,0.2517,0.2606,-0.0098,0.166,49.5467,-0.0018
8,2.4,954.23,393.9797,0.2555,0.2759,-0.0099,0.2021,52.3697,-0.0018
9,2.7,988.65,393.9416,0.2598,0.2896,-0.0092,0.2402,54.7465,-0.0022
10,3.0,1022.0,393.8908,0.2643,0.3023,-0.008,0.2794,55.5732,-0.0028
11,3.3,1051.0,393.4336,0.2659,0.3155,-0.007,0.322,58.027,-0.0029
12,3.6,1078.2,393.1539,0.2666,0.3289,-0.006,0.3656,59.6462,-0.003
13,3.9,1101.7,393.2302,0.2656,0.3434,-0.0053,0.4113,62.3108,-0.0028
14,4.2,1121.9,393.4336,0.2647,0.3588,-0.0049,0.4586,65.3403,-0.0028
15,4.5,1140.4,393.6877,0.2637,0.3744,-0.0047,0.5066,67.8063,-0.0031
16,4.8,1156.3,392.5812,0.2642,0.392,-0.0051,0.5561,70.8369,-0.0035
17,5.1,1171.7,391.0882,0.2648,0.4094,-0.0056,0.606,72.8398,-0.0039
18,5.4,1186.1,388.8059,0.2656,0.4272,-0.0061,0.6566,74.4074,-0.0043
19,5.7,1199.3,386.9238,0.2663,0.4457,-0.0061,0.707,76.2849,-0.0048
20,6.0,1211.9,385.2661,0.267,0.4643,-0.0059,0.7574,77.7275,-0.0052
21,6.3,1222.9,385.3829,0.2681,0.4838,-0.0053,0.808,80.409,-0.0056
22,6.6,1233.1,385.7979,0.2694,0.5033,-0.0048,0.8583,82.6809,-0.0059
23,6.9,1241.5,386.7816,0.2707,0.5234,-0.0045,0.9081,85.5814,-0.006
24,7.2,1247.7,387.9304,0.2719,0.5445,-0.0041,0.957,89.6511,-0.0062
25,7.5,1252.9,389.1529,0.2731,0.5656,-0.0036,1.0055,94.009,-0.0063
26,7.8,1255.3,391.3694,0.2746,0.5884,-0.0037,1.0524,100.8223,-0.0063
27,8.1,1257.2,393.7385,0.2761,0.6107,-0.0036,1.0989,107.8629,-0.0063
28,8.4,1258.1,396.4467,0.2779,0.633,-0.0033,1.1447,115.3529,-0.0067
29,8.7,1258.5,399.0363,0.2794,0.6553,-0.0026,1.1897,123.0625,-0.0069
30,9.0,1258.7,401.547,0.2807,0.6772,-0.0019,1.2343,130.6866,-0.0069
31,9.3,1258.3,403.8936,0.2816,0.7009,-0.0011,1.2766,139.2542,-0.0066
32,9.6,1257.9,406.0665,0.2824,0.7234,-0.0,1.3189,147.6557,-0.0063
33,9.9,1257.6,407.9093,0.2827,0.7443,0.0014,1.3614,155.4034,-0.0061
34,10.2,1257.1,409.5485,0.2831,0.7663,0.0027,1.4021,163.7201,-0.0056
35,10.5,1256.5,411.0961,0.2834,0.7885,0.0038,1.4418,172.4783,-0.0051
36,10.8,1255.3,413.2554,0.2843,0.8096,0.0053,1.4804,181.2539,-0.005
37,11.1,1253.7,415.632,0.2854,0.831,0.0068,1.5183,190.6073,-0.0047
38,11.4,1251.6,418.4495,0.2868,0.8535,0.0083,1.5549,200.4872,-0.0044
39,11.7,1249.2,421.4262,0.2886,0.8745,0.0093,1.5901,210.0471,-0.0036
40,12.0,1246.6,424.4526,0.2908,0.8945,0.01,1.6248,219.4243,-0.0026
41,12.3,1243.0,427.5395,0.2926,0.9152,0.0111,1.6573,229.6761,-0.0024
42,12.6,1239.2,430.6158,0.2945,0.9354,0.0123,1.6894,240.2955,-0.0023
43,12.9,1235.0,433.6358,0.2968,0.9552,0.0135,1.7194,250.441,-0.0027
44,13.2,1230.7,436.6463,0.2992,0.9743,0.0145,1.7495,260.6903,-0.003
45,13.5,1226.3,439.7158,0.302,0.9917,0.0148,1.7797,270.7539,-0.0023
46,13.8,1221.8,442.7302,0.3048,1.0093,0.0152,1.8092,281.1194,-0.0018
47,14.1,1217.0,445.5783,0.3077,1.0291,0.0158,1.8352,291.4616,-0.0023
48,14.4,1212.3,448.4194,0.3105,1.0486,0.0164,1.8612,301.9672,-0.0028
49,14.7,1207.2,451.287,0.3132,1.0647,0.017,1.8871,310.9929,-0.0033
50,15.0,1202.1,454.1476,0.3158,1.0806,0.0175,1.9131,320.1625,-0.0037
51,15.3,1197.0,456.8479,0.3191,1.0989,0.0183,1.9361,329.9883,-0.0042
52,15.6,1191.9,459.478,0.3226,1.1178,0.0194,1.9581,340.0406,-0.0048
53,15.9,1187.1,461.8766,0.326,1.1352,0.0203,1.98,349.342,-0.0054
54,16.2,1182.7,463.8534,0.3293,1.1503,0.0212,2.002,356.9346,-0.0059
55,16.5,1178.3,465.8111,0.3325,1.1653,0.022,2.0239,364.9386,-0.0064
56,16.8,1174.5,467.2794,0.3353,1.1808,0.0227,2.0447,372.4998,-0.0071
57,17.1,1170.9,468.6577,0.3381,1.1964,0.0234,2.0652,379.9573,-0.0079
58,17.4,1167.5,469.9681,0.3409,1.2114,0.0239,2.0855,387.0788,-0.0083
59,17.7,1164.8,471.0202,0.344,1.2245,0.0241,2.1052,392.163,-0.0074
