,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,322.05,66.7638,0.1147,0.1122,0.2841,0.2848,-2.5797,0.0066
1,-15.97,327.19,78.8251,0.1164,0.1126,0.2843,0.2788,-2.9202,0.0064
2,-15.94,332.34,89.2715,0.118,0.1129,0.2846,0.2727,-3.1984,0.0063
3,-15.9,337.48,98.6174,0.1196,0.1133,0.2848,0.2667,-3.4144,0.0062
4,-15.87,342.63,107.1494,0.1212,0.1136,0.285,0.2607,-3.5723,0.006
5,-15.84,347.77,115.0522,0.1228,0.114,0.2853,0.2547,-3.6625,0.0059
6,-15.81,352.92,122.4459,0.1243,0.1143,0.2855,0.2487,-3.6968,0.0057
7,-15.78,358.06,129.4179,0.1259,0.1146,0.2858,0.2427,-3.6633,0.0056
8,-15.74,363.2,136.0331,0.1274,0.115,0.286,0.2367,-3.5717,0.0055
9,-15.71,368.35,142.3411,0.1289,0.1153,0.2862,0.2307,-3.417,0.0053
10,-15.68,373.49,148.3813,0.1303,0.1156,0.2865,0.2247,-3.2019,0.0052
11,-15.65,378.64,154.185,0.1318,0.116,0.2867,0.2187,-2.9236,0.005
12,-15.62,383.78,159.778,0.1332,0.1163,0.287,0.2127,-2.584,0.0049
13,-15.58,388.93,165.1817,0.1347,0.1166,0.2872,0.2067,-2.1819,0.0048
14,-15.55,394.07,170.4142,0.1361,0.117,0.2874,0.2007,-1.7199,0.0046
15,-15.52,401.59,178.1067,0.1372,0.1183,0.2875,0.1956,-1.392,0.0043
16,-15.49,415.5,192.0521,0.1379,0.1222,0.287,0.1929,-1.5263,0.0036
17,-15.46,429.4,205.0512,0.1385,0.126,0.2865,0.1902,-1.5844,0.0029
18,-15.42,443.3,217.274,0.1391,0.1297,0.2861,0.1876,-1.5726,0.0022
19,-15.39,457.2,228.8449,0.1397,0.1332,0.2856,0.1849,-1.4814,0.0015
20,-15.36,471.1,239.8562,0.1403,0.1367,0.2851,0.1822,-1.317,0.0008
21,-15.33,485.01,250.3857,0.1409,0.1401,0.2846,0.1796,-1.0801,0.0001
22,-15.3,498.91,260.4899,0.1415,0.1434,0.2842,0.1769,-0.7672,-0.0006
23,-15.26,512.81,270.2166,0.1421,0.1467,0.2837,0.1742,-0.3851,-0.0013
24,-15.23,526.71,279.6051,0.1427,0.1498,0.2832,0.1716,0.0761,-0.002
25,-15.2,540.62,288.6884,0.1433,0.153,0.2827,0.1689,0.6099,-0.0027
26,-15.17,554.52,297.4945,0.1438,0.156,0.2823,0.1662,1.2196,-0.0034
27,-15.14,568.42,306.0457,0.1444,0.159,0.2818,0.1636,1.9035,-0.0041
28,-15.1,582.32,314.366,0.145,0.1619,0.2813,0.1609,2.6569,-0.0048
29,-15.07,596.22,322.4748,0.1456,0.1648,0.2808,0.1582,3.4891,-0.0055
30,-15.04,610.13,330.3786,0.1462,0.1676,0.2804,0.1556,4.3941,-0.0062
31,-15.01,621.36,335.9167,0.1476,0.1695,0.2801,0.1537,5.0294,-0.0067
32,-14.98,631.27,340.294,0.1495,0.1709,0.2798,0.1522,5.5296,-0.0071
33,-14.94,641.17,344.6012,0.1514,0.1723,0.2796,0.1507,6.0613,-0.0075
34,-14.91,651.08,348.8696,0.1532,0.1737,0.2794,0.1492,6.6214,-0.0079
35,-14.88,660.99,353.0864,0.1551,0.1751,0.2792,0.1476,7.2114,-0.0082
36,-14.85,670.9,357.2534,0.1569,0.1764,0.2789,0.1461,7.8314,-0.0086
37,-14.82,680.8,361.3585,0.1586,0.1778,0.2787,0.1446,8.4827,-0.009
38,-14.78,690.71,365.4313,0.1604,0.1791,0.2785,0.1431,9.1625,-0.0094
