,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,515.3,364.6642,0.4673,0.329,0.1281,0.4759,46.9387,-0.0218
1,-15.97,516.59,365.4586,0.4687,0.3314,0.1271,0.4812,48.1817,-0.0228
2,-15.94,517.87,366.2513,0.4701,0.3338,0.1261,0.4865,49.4059,-0.0239
3,-15.9,519.16,367.0559,0.4715,0.3361,0.1251,0.4918,50.6215,-0.0249
4,-15.87,520.45,367.8451,0.4729,0.3384,0.1241,0.4971,51.8135,-0.026
5,-15.84,521.74,368.6326,0.4742,0.3407,0.123,0.5024,53.0017,-0.027
6,-15.81,523.02,369.432,0.4756,0.343,0.122,0.5078,54.1814,-0.028
7,-15.78,524.31,370.2162,0.477,0.3453,0.121,0.5131,55.3323,-0.0291
8,-15.74,525.6,370.9987,0.4784,0.3476,0.12,0.5184,56.4795,-0.0301
9,-15.71,526.89,371.7795,0.4797,0.3498,0.119,0.5237,57.613,-0.0311
10,-15.68,528.18,372.5721,0.4811,0.352,0.118,0.529,58.7228,-0.0322
11,-15.65,529.46,373.3497,0.4824,0.3543,0.1169,0.5343,59.8342,-0.0332
12,-15.62,530.75,374.1256,0.4838,0.3565,0.1159,0.5396,60.9267,-0.0342
13,-15.58,532.04,374.9133,0.4851,0.3587,0.1149,0.5449,61.9954,-0.0353
14,-15.55,533.33,375.686,0.4865,0.3608,0.1139,0.5502,63.0605,-0.0363
15,-15.52,534.23,376.1516,0.4877,0.3638,0.1128,0.5556,64.2918,-0.0375
16,-15.49,535.11,376.6032,0.4888,0.3668,0.1118,0.561,65.5347,-0.0387
17,-15.46,535.98,377.0544,0.49,0.3697,0.1108,0.5663,66.7692,-0.0399
18,-15.42,536.86,377.4917,0.4912,0.3727,0.1098,0.5717,67.9832,-0.0411
19,-15.39,537.74,377.9418,0.4923,0.3756,0.1088,0.577,69.1979,-0.0424
20,-15.36,538.61,378.3913,0.4935,0.3785,0.1077,0.5824,70.3989,-0.0436
21,-15.33,539.49,378.8271,0.4947,0.3814,0.1067,0.5877,71.6001,-0.0448
22,-15.3,540.37,379.2756,0.4958,0.3842,0.1057,0.5931,72.7766,-0.046
23,-15.26,541.24,379.7236,0.497,0.387,0.1047,0.5985,73.9595,-0.0472
