,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,320.15,116.6833,0.155,0.127,0.2647,0.2104,2.5734,0.0012
1,-15.97,321.37,120.2373,0.1558,0.1279,0.2653,0.2114,2.9567,0.0009
2,-15.94,322.58,123.6851,0.1566,0.1289,0.266,0.2124,3.3408,0.0007
3,-15.9,323.8,127.0433,0.1574,0.1298,0.2667,0.2134,3.7203,0.0005
4,-15.87,325.02,130.315,0.1582,0.1307,0.2674,0.2144,4.0997,0.0003
5,-15.84,326.24,133.5066,0.159,0.1316,0.268,0.2153,4.4745,0.0001
6,-15.81,327.46,136.6236,0.1598,0.1325,0.2687,0.2163,4.8459,-0.0002
7,-15.78,328.68,139.671,0.1606,0.1333,0.2694,0.2173,5.2158,-0.0004
8,-15.74,329.9,142.6499,0.1613,0.1342,0.2701,0.2183,5.5867,-0.0006
9,-15.71,331.12,145.5713,0.1621,0.1351,0.2707,0.2192,5.9509,-0.0008
10,-15.68,332.34,148.4352,0.1629,0.136,0.2714,0.2202,6.3138,-0.001
11,-15.65,333.56,151.2448,0.1637,0.1368,0.2721,0.2212,6.6742,-0.0013
12,-15.62,334.78,154.0032,0.1644,0.1377,0.2728,0.2222,7.0312,-0.0015
13,-15.58,336.0,156.7131,0.1652,0.1385,0.2734,0.2232,7.3902,-0.0017
14,-15.55,337.22,159.3738,0.1659,0.1394,0.2741,0.2241,7.7425,-0.0019
15,-15.52,339.05,164.064,0.1666,0.1419,0.2747,0.2259,8.769,-0.0023
16,-15.49,340.92,168.7543,0.1672,0.1444,0.2753,0.2278,9.8314,-0.0027
17,-15.46,342.79,173.3205,0.1679,0.147,0.2759,0.2296,10.8903,-0.0031
18,-15.42,344.66,177.7695,0.1685,0.1494,0.2765,0.2315,11.9388,-0.0035
19,-15.39,346.53,182.1071,0.1691,0.1519,0.277,0.2334,12.9838,-0.0039
20,-15.36,348.41,186.3465,0.1698,0.1543,0.2776,0.2352,14.016,-0.0043
21,-15.33,350.28,190.4888,0.1704,0.1566,0.2782,0.2371,15.0471,-0.0047
22,-15.3,352.15,194.5456,0.171,0.1589,0.2788,0.2389,16.0708,-0.0051
23,-15.26,354.02,198.5195,0.1717,0.1612,0.2794,0.2408,17.0891,-0.0055
24,-15.23,355.89,202.4129,0.1723,0.1635,0.28,0.2426,18.0969,-0.0059
25,-15.2,357.76,206.2353,0.1729,0.1657,0.2806,0.2445,19.0913,-0.0063
26,-15.17,359.63,209.9857,0.1735,0.1679,0.2812,0.2464,20.0851,-0.0067
27,-15.14,361.51,213.6726,0.1741,0.1701,0.2817,0.2482,21.0732,-0.0071
28,-15.1,363.38,217.2947,0.1747,0.1722,0.2823,0.25,22.0568,-0.0075
29,-15.07,365.25,220.8597,0.1754,0.1744,0.2829,0.2519,23.0299,-0.0079
30,-15.04,367.33,224.9355,0.1759,0.1772,0.2835,0.254,24.2982,-0.0084
31,-15.01,369.88,230.1608,0.1763,0.1814,0.2841,0.2566,26.2288,-0.009
32,-14.98,372.42,235.2701,0.1767,0.1856,0.2847,0.2592,28.1487,-0.0096
33,-14.94,374.97,240.2728,0.1771,0.1897,0.2853,0.2618,30.0529,-0.0102
34,-14.91,377.52,245.1714,0.1775,0.1937,0.2859,0.2644,31.9299,-0.0107
35,-14.88,380.07,249.974,0.1779,0.1976,0.2865,0.267,33.8075,-0.0113
36,-14.85,382.61,254.688,0.1783,0.2014,0.2871,0.2696,35.6745,-0.0119
37,-14.82,385.16,259.3145,0.1787,0.2052,0.2877,0.2722,37.5256,-0.0125
38,-14.78,387.71,263.8617,0.1791,0.2089,0.2883,0.2748,39.3595,-0.0131
39,-14.75,390.25,268.33,0.1795,0.2126,0.2889,0.2774,41.1768,-0.0137
40,-14.72,392.8,272.7251,0.1799,0.2161,0.2895,0.28,42.9881,-0.0143
41,-14.69,395.35,277.0505,0.1803,0.2197,0.2901,0.2826,44.7862,-0.0149
42,-14.66,397.9,281.3112,0.1807,0.2231,0.2907,0.2852,46.571,-0.0155
43,-14.62,400.44,285.5066,0.1811,0.2265,0.2913,0.2878,48.3414,-0.0161
44,-14.59,402.99,289.6429,0.1815,0.2299,0.2919,0.2904,50.0896,-0.0167
45,-14.56,405.54,293.7193,0.1819,0.2332,0.2925,0.293,51.8346,-0.0173
46,-14.53,408.34,298.1191,0.1823,0.237,0.2931,0.2958,53.893,-0.0179
47,-14.5,411.31,302.6962,0.1826,0.2411,0.2937,0.2987,56.134,-0.0186
48,-14.46,414.28,307.2051,0.183,0.2452,0.2942,0.3015,58.368,-0.0192
49,-14.43,417.25,311.6472,0.1834,0.2491,0.2948,0.3044,60.5849,-0.0199
50,-14.4,420.22,316.0285,0.1838,0.253,0.2954,0.3073,62.7806,-0.0205
51,-14.37,423.19,320.3436,0.1841,0.2569,0.296,0.3102,64.9534,-0.0212
52,-14.34,426.17,324.6075,0.1845,0.2607,0.2965,0.313,67.116,-0.0218
53,-14.3,429.14,328.8161,0.1849,0.2644,0.2971,0.3159,69.2647,-0.0225
54,-14.27,432.11,332.9715,0.1852,0.2681,0.2977,0.3188,71.3863,-0.0231
55,-14.24,435.08,337.0757,0.1856,0.2717,0.2983,0.3216,73.4965,-0.0238
56,-14.21,438.05,341.1305,0.186,0.2753,0.2988,0.3245,75.594,-0.0244
57,-14.18,441.02,345.1377,0.1863,0.2789,0.2994,0.3274,77.6645,-0.0251
58,-14.14,443.99,349.0988,0.1867,0.2824,0.3,0.3303,79.7279,-0.0257
59,-14.11,446.96,353.0156,0.1871,0.2858,0.3006,0.3331,81.7697,-0.0264
60,-14.08,449.93,356.8893,0.1874,0.2892,0.3011,0.336,83.789,-0.027
61,-14.05,452.9,360.7215,0.1878,0.2926,0.3017,0.3389,85.8012,-0.0277
62,-14.02,455.89,364.1566,0.1882,0.2956,0.3022,0.3415,87.7836,-0.0282
63,-13.98,458.89,367.5323,0.1886,0.2986,0.3028,0.3441,89.7505,-0.0287
64,-13.95,461.88,370.8773,0.189,0.3015,0.3033,0.3467,91.7054,-0.0292
65,-13.92,464.88,374.1925,0.1895,0.3044,0.3038,0.3493,93.6414,-0.0298
66,-13.89,467.87,377.4652,0.1899,0.3073,0.3043,0.3519,95.5606,-0.0303
67,-13.86,470.87,380.723,0.1903,0.3102,0.3048,0.3545,97.4654,-0.0308
68,-13.82,473.86,383.9531,0.1907,0.313,0.3054,0.357,99.3583,-0.0313
69,-13.79,476.86,387.1563,0.1912,0.3158,0.3059,0.3596,101.2321,-0.0318
70,-13.76,479.85,390.3204,0.1916,0.3186,0.3064,0.3622,103.0991,-0.0323
71,-13.73,482.85,393.4717,0.192,0.3214,0.3069,0.3648,104.9418,-0.0329
72,-13.7,485.84,396.598,0.1924,0.3241,0.3074,0.3674,106.7727,-0.0334
73,-13.66,488.84,399.6999,0.1928,0.3268,0.308,0.37,108.5843,-0.0339
74,-13.63,491.83,402.7779,0.1932,0.3295,0.3085,0.3726,110.3841,-0.0344
75,-13.6,494.83,405.8202,0.1937,0.3322,0.309,0.3752,112.1598,-0.0349
76,-13.57,497.82,408.8521,0.1941,0.3348,0.3095,0.3778,113.9286,-0.0354
77,-13.54,500.79,411.7038,0.1945,0.3372,0.31,0.3803,115.5796,-0.0359
78,-13.5,503.66,413.9203,0.1951,0.3388,0.3105,0.3825,116.8501,-0.0362
79,-13.47,506.52,416.125,0.1956,0.3403,0.311,0.3847,118.102,-0.0364
80,-13.44,509.39,418.3181,0.1961,0.3419,0.3115,0.3868,119.3527,-0.0367
81,-13.41,512.25,420.5116,0.1967,0.3434,0.312,0.389,120.5796,-0.037
82,-13.38,515.12,422.6819,0.1972,0.3449,0.3124,0.3912,121.8002,-0.0373
83,-13.34,517.98,424.8411,0.1977,0.3465,0.3129,0.3934,123.0122,-0.0375
84,-13.31,520.84,426.9895,0.1983,0.348,0.3134,0.3956,124.2017,-0.0378
85,-13.28,523.71,429.127,0.1988,0.3495,0.3139,0.3977,125.3848,-0.0381
86,-13.25,526.57,431.254,0.1993,0.351,0.3144,0.3999,126.5594,-0.0384
87,-13.22,529.44,433.382,0.1999,0.3525,0.3148,0.4021,127.7075,-0.0386
88,-13.18,532.3,435.4882,0.2004,0.354,0.3153,0.4043,128.8571,-0.0389
89,-13.15,535.17,437.5843,0.2009,0.3555,0.3158,0.4064,129.9802,-0.0392
90,-13.12,538.03,439.6703,0.2014,0.357,0.3163,0.4086,131.1048,-0.0394
91,-13.09,540.9,441.7465,0.202,0.3585,0.3168,0.4108,132.2129,-0.0397
92,-13.06,543.76,443.8243,0.2025,0.3599,0.3173,0.413,133.3026,-0.04
93,-13.02,546.66,445.6905,0.203,0.3611,0.3177,0.415,134.207,-0.0402
94,-12.99,549.58,447.3701,0.2036,0.3619,0.3182,0.4168,134.9106,-0.0403
95,-12.96,552.5,449.0434,0.2042,0.3628,0.3187,0.4186,135.6135,-0.0403
96,-12.93,555.42,450.7106,0.2048,0.3636,0.3192,0.4204,136.2959,-0.0404
97,-12.9,558.34,452.3715,0.2054,0.3644,0.3197,0.4222,136.9777,-0.0405
98,-12.86,561.26,454.0264,0.206,0.3653,0.3202,0.424,137.6389,-0.0406
99,-12.83,564.18,455.6753,0.2066,0.3661,0.3206,0.4258,138.2996,-0.0407
100,-12.8,567.11,457.3183,0.2072,0.3669,0.3211,0.4276,138.9354,-0.0408
101,-12.77,570.03,458.9553,0.2077,0.3678,0.3216,0.4295,139.5649,-0.0409
102,-12.74,572.95,460.5866,0.2083,0.3686,0.3221,0.4313,140.1939,-0.0409
103,-12.7,575.87,462.2121,0.2089,0.3694,0.3226,0.4331,140.8022,-0.041
104,-12.67,578.79,463.8319,0.2095,0.3702,0.3231,0.4349,141.41,-0.0411
105,-12.64,581.71,465.446,0.21,0.3711,0.3236,0.4367,141.9972,-0.0412
106,-12.61,584.63,467.0546,0.2106,0.3719,0.324,0.4385,142.5839,-0.0413
107,-12.58,587.56,468.6577,0.2112,0.3727,0.3245,0.4403,143.1456,-0.0414
108,-12.54,590.48,470.2552,0.2118,0.3735,0.325,0.4421,143.7111,-0.0415
109,-12.51,593.54,471.8474,0.2124,0.3745,0.3254,0.4437,144.2685,-0.0415
110,-12.48,596.63,473.4448,0.2131,0.3755,0.3258,0.4453,144.8386,-0.0415
111,-12.45,599.73,475.0263,0.2138,0.3765,0.3262,0.4468,145.3846,-0.0415
112,-12.42,602.82,476.6026,0.2145,0.3775,0.3266,0.4484,145.9257,-0.0415
113,-12.38,605.92,478.1736,0.2152,0.3785,0.3269,0.4499,146.4527,-0.0415
114,-12.35,609.01,479.7395,0.2159,0.3794,0.3273,0.4514,146.9846,-0.0415
115,-12.32,612.1,481.3003,0.2166,0.3804,0.3277,0.453,147.4971,-0.0415
116,-12.29,615.2,482.8561,0.2173,0.3814,0.3281,0.4545,147.9954,-0.0415
117,-12.26,618.29,484.4172,0.218,0.3824,0.3284,0.456,148.4888,-0.0415
118,-12.22,621.39,485.963,0.2187,0.3834,0.3288,0.4576,148.9781,-0.0416
119,-12.19,624.48,487.5038,0.2193,0.3843,0.3292,0.4591,149.4525,-0.0416
120,-12.16,627.58,489.0399,0.22,0.3853,0.3296,0.4607,149.9127,-0.0416
121,-12.13,630.67,490.5711,0.2207,0.3863,0.33,0.4622,150.368,-0.0416
122,-12.1,633.77,492.0976,0.2214,0.3872,0.3303,0.4638,150.8128,-0.0416
123,-12.06,636.86,493.6294,0.222,0.3882,0.3307,0.4653,151.249,-0.0416
124,-12.03,639.95,495.1363,0.2227,0.3892,0.3311,0.4668,151.6777,-0.0416
125,-12.0,642.97,496.6186,0.2234,0.39,0.3312,0.4679,152.0572,-0.0415
126,-11.97,645.98,498.0863,0.2241,0.3909,0.3313,0.469,152.4412,-0.0415
127,-11.94,649.0,499.5498,0.2247,0.3918,0.3314,0.47,152.8175,-0.0414
128,-11.9,652.01,501.019,0.2254,0.3927,0.3316,0.4711,153.182,-0.0414
129,-11.87,655.03,502.4739,0.2261,0.3935,0.3317,0.4722,153.5417,-0.0413
130,-11.84,658.04,503.9246,0.2268,0.3944,0.3318,0.4733,153.8931,-0.0412
131,-11.81,661.06,505.381,0.2274,0.3953,0.3319,0.4744,154.2497,-0.0412
132,-11.78,664.08,506.8234,0.2281,0.3961,0.332,0.4755,154.5832,-0.0411
133,-11.74,667.09,508.2617,0.2288,0.397,0.3322,0.4766,154.9216,-0.0411
134,-11.71,670.11,509.7058,0.2294,0.3978,0.3323,0.4776,155.252,-0.041
135,-11.68,673.12,511.136,0.2301,0.3987,0.3324,0.4787,155.5773,-0.0409
136,-11.65,676.14,512.5622,0.2307,0.3996,0.3325,0.4798,155.8845,-0.0409
137,-11.62,679.15,513.9844,0.2314,0.4004,0.3326,0.4809,156.19,-0.0408
138,-11.58,682.17,515.4125,0.2321,0.4013,0.3327,0.482,156.5009,-0.0408
139,-11.55,685.19,516.8269,0.2327,0.4021,0.3329,0.4831,156.7884,-0.0407
140,-11.52,687.98,518.0444,0.2333,0.4028,0.3328,0.4839,156.9527,-0.0406
141,-11.49,690.44,518.9605,0.2339,0.4032,0.3326,0.4844,156.8909,-0.0405
142,-11.46,692.89,519.875,0.2344,0.4035,0.3325,0.4849,156.8315,-0.0404
143,-11.42,695.35,520.7783,0.2349,0.4039,0.3322,0.4854,156.7749,-0.0402
144,-11.39,697.81,521.6896,0.2355,0.4043,0.332,0.4858,156.706,-0.0401
145,-11.36,700.26,522.5897,0.236,0.4047,0.3318,0.4863,156.6396,-0.04
146,-11.33,702.72,523.4979,0.2365,0.4051,0.3316,0.4868,156.5759,-0.0398
147,-11.3,705.17,524.4044,0.237,0.4055,0.3314,0.4873,156.5048,-0.0397
148,-11.26,707.63,525.2999,0.2376,0.4058,0.3312,0.4878,156.4335,-0.0396
149,-11.23,710.08,526.2034,0.2381,0.4062,0.331,0.4882,156.3576,-0.0394
150,-11.2,712.54,527.1053,0.2386,0.4066,0.3308,0.4887,156.2846,-0.0393
151,-11.17,714.99,527.9962,0.2391,0.407,0.3306,0.4892,156.204,-0.0392
152,-11.14,717.45,528.8951,0.2397,0.4074,0.3304,0.4897,156.1163,-0.039
153,-11.1,719.91,529.7924,0.2402,0.4077,0.3302,0.4902,156.0261,-0.0389
154,-11.07,722.36,530.6788,0.2407,0.4081,0.33,0.4906,155.9485,-0.0388
155,-11.04,724.82,531.5731,0.2412,0.4085,0.3298,0.4911,155.8536,-0.0386
156,-11.01,726.88,532.1372,0.2417,0.4089,0.3295,0.4914,155.713,-0.0384
157,-10.98,728.77,532.5599,0.2422,0.4094,0.3291,0.4915,155.5477,-0.0381
158,-10.94,730.66,532.9822,0.2426,0.4099,0.3287,0.4917,155.3845,-0.0378
159,-10.91,732.55,533.4042,0.243,0.4103,0.3283,0.4919,155.2106,-0.0376
160,-10.88,734.44,533.8258,0.2435,0.4108,0.328,0.492,155.0435,-0.0373
161,-10.85,736.33,534.2471,0.2439,0.4112,0.3276,0.4922,154.8684,-0.037
162,-10.82,738.22,534.6681,0.2444,0.4117,0.3272,0.4924,154.7,-0.0368
163,-10.78,740.11,535.0888,0.2448,0.4121,0.3268,0.4925,154.5236,-0.0365
164,-10.75,742.0,535.5091,0.2453,0.4126,0.3264,0.4927,154.364,-0.0362
165,-10.72,743.89,535.9291,0.2457,0.413,0.326,0.4929,154.1864,-0.0359
166,-10.69,745.78,536.3488,0.2461,0.4135,0.3256,0.493,154.0081,-0.0357
