,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,547.04,426.7435,0.4709,0.4037,0.1098,0.5422,84.7013,-0.0463
1,-15.97,548.05,427.2821,0.4717,0.4058,0.109,0.546,85.6247,-0.0472
2,-15.94,549.06,427.8201,0.4725,0.4079,0.1083,0.5498,86.5303,-0.0482
3,-15.9,550.07,428.3573,0.4732,0.41,0.1075,0.5537,87.4327,-0.0492
4,-15.87,551.08,428.8939,0.474,0.412,0.1068,0.5575,88.3329,-0.0501
5,-15.84,552.09,429.4299,0.4748,0.4141,0.106,0.5613,89.2153,-0.0511
6,-15.81,553.1,429.9651,0.4755,0.4161,0.1053,0.5652,90.0945,-0.0521
7,-15.78,554.11,430.5113,0.4763,0.4182,0.1045,0.569,90.9714,-0.053
8,-15.74,555.12,431.0452,0.4771,0.4202,0.1038,0.5728,91.8306,-0.054
9,-15.71,556.14,431.5785,0.4778,0.4223,0.103,0.5767,92.6863,-0.0549
10,-15.68,557.15,432.1111,0.4786,0.4243,0.1022,0.5805,93.5344,-0.0559
11,-15.65,558.16,432.643,0.4794,0.4263,0.1015,0.5843,94.3704,-0.0569
12,-15.62,559.17,433.1743,0.4801,0.4283,0.1007,0.5882,95.2086,-0.0578
13,-15.58,560.18,433.705,0.4809,0.4303,0.1,0.592,96.0334,-0.0588
14,-15.55,561.19,434.2465,0.4817,0.4322,0.0992,0.5958,96.8462,-0.0598
15,-15.52,562.16,434.7413,0.4824,0.4342,0.0985,0.5997,97.6983,-0.0607
16,-15.49,563.03,435.1437,0.4831,0.4362,0.0978,0.6036,98.6426,-0.0617
17,-15.46,563.91,435.5456,0.4838,0.4381,0.0971,0.6076,99.5696,-0.0627
18,-15.42,564.78,435.9472,0.4845,0.4401,0.0964,0.6115,100.5057,-0.0637
19,-15.39,565.65,436.3485,0.4851,0.442,0.0957,0.6155,101.4294,-0.0646
20,-15.36,566.52,436.7379,0.4858,0.444,0.0951,0.6194,102.3418,-0.0656
21,-15.33,567.39,437.1384,0.4865,0.4459,0.0944,0.6234,103.2574,-0.0666
22,-15.3,568.26,437.5386,0.4872,0.4478,0.0937,0.6273,104.1562,-0.0675
23,-15.26,569.14,437.9384,0.4879,0.4497,0.093,0.6312,105.0461,-0.0685
24,-15.23,570.01,438.3378,0.4886,0.4516,0.0923,0.6352,105.931,-0.0695
25,-15.2,570.88,438.7368,0.4892,0.4535,0.0916,0.6391,106.8192,-0.0704
26,-15.17,571.75,439.1355,0.4899,0.4554,0.091,0.6431,107.6947,-0.0714
27,-15.14,572.62,439.5338,0.4906,0.4573,0.0903,0.647,108.5591,-0.0724
28,-15.1,573.49,439.9318,0.4913,0.4591,0.0896,0.651,109.4267,-0.0734
29,-15.07,574.37,440.3294,0.492,0.461,0.0889,0.6549,110.2651,-0.0743
30,-15.04,575.24,440.7267,0.4926,0.4628,0.0882,0.6588,111.1189,-0.0753
31,-15.01,575.91,441.0329,0.4932,0.4644,0.0876,0.6624,111.913,-0.0761
32,-14.98,576.49,441.2822,0.4936,0.4659,0.0871,0.6657,112.6718,-0.0769
33,-14.94,577.07,441.5314,0.4941,0.4673,0.0866,0.6691,113.4267,-0.0777
34,-14.91,577.64,441.7805,0.4946,0.4688,0.0861,0.6725,114.1902,-0.0785
35,-14.88,578.22,442.0407,0.495,0.4702,0.0855,0.6758,114.9374,-0.0793
36,-14.85,578.8,442.2895,0.4955,0.4716,0.085,0.6792,115.6806,-0.0801
