"Radius (cm) 1.0D","Mean soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","Mean soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","Mean soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","Mean soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","Mean soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","Mean soot volume fraction (ppm) 3.5D"
-9.0,0.0,-9.0,0.001901442901040796,-9.0,0.0007585612097238704,-9.0,0.002092057746931938,-8.0,0.0024420698694010224,-9.0,0.005685158067965507
-8.0,3.2210746813485915e-05,-8.0,0.00432638227111002,-8.0,0.0028002024810021738,-8.0,0.005821630525434591,-7.0,0.00534039256607585,-8.0,0.008369519568074132
-7.0,0.00011680103940556912,-7.0,0.007799884040859111,-7.0,0.004714523883458515,-7.0,0.011196986420838096,-6.0,0.01129669357997858,-7.0,0.009968866171034608
-6.0,0.0008936372220319984,-6.0,0.01196786577190765,-6.0,0.008967197432933323,-6.0,0.019003779719539735,-5.0,0.01633307598422117,-6.0,0.015980488840393044
-5.0,0.003958251423735965,-5.0,0.02156539089392592,-5.0,0.01814906252998595,-5.0,0.031139799741649113,-4.0,0.026334209863359465,-5.0,0.021371272239264764
-4.0,0.012385407502994283,-4.0,0.03475405472591989,-4.0,0.035464730967400666,-4.0,0.044432345899644066,-3.0,0.04243562066616804,-4.0,0.025999059465745572
-3.0,0.026703645481778972,-3.0,0.04821590368044168,-3.0,0.04742524566985967,-3.0,0.06302813887970991,-2.0,0.05418547977220209,-3.0,0.03641693472663625
-2.0,0.04844462563683373,-2.0,0.05368508312369119,-2.0,0.05662229241619766,-2.0,0.07133930400416166,-1.0,0.062617952840967,-2.0,0.045030545820150376
-1.0,0.03558289371249999,-1.0,0.04978652581752814,-1.0,0.06450654458989766,-1.0,0.07999156703737975,0.0,0.07045480382876472,-1.0,0.04740327521566924
0.0,0.02227647953647999,0.0,0.047405275542838764,0.0,0.07123264208002213,0.0,0.08375896012600026,1.0,0.07399766822397137,0.0,0.050818504853730906
1.0,0.03512952511053161,1.0,0.051881075353412805,1.0,0.06655406756896017,1.0,0.07761360998131085,2.0,0.0652767631476503,1.0,0.05024006208856207
2.0,0.049734286830236,2.0,0.05162126155825035,2.0,0.06172735193497458,2.0,0.0677096353803385,3.0,0.06200490320903018,2.0,0.041724041982344466
3.0,0.03782079386419343,3.0,0.0466974352095584,3.0,0.05080263992531867,3.0,0.05389646708265226,4.0,0.05134253153789263,3.0,0.03713132797636864
4.0,0.014332106648746942,4.0,0.02885944364341096,4.0,0.03523805567117999,4.0,0.038473754649280566,5.0,0.03865726633564283,4.0,0.034817027682095034
5.0,0.006911060815454597,5.0,0.013040216480578116,5.0,0.01937687199184649,5.0,0.02516052318794076,6.0,0.02765601002275515,5.0,0.025715761986969985
6.0,0.0018379740530077117,6.0,0.00495774420388654,6.0,0.013088987789440646,6.0,0.018448800012114443,7.0,0.01843241692895932,6.0,0.018100140044723215
7.0,0.0001361437001758088,7.0,0.0020022140442362184,7.0,0.007911399010714032,7.0,0.012067947723020452,8.0,0.014035413912982376,7.0,0.014019019270489845
8.0,5.642675403234185e-06,8.0,0.0005998349677104021,8.0,0.004502574788973218,8.0,0.0076087052071723916,9.0,0.00757980842163693,8.0,0.00806244932202869
9.0,0.0,9.0,0.00017135999701793782,9.0,0.002714772069600798,9.0,0.0031203858025420817,10.0,0.006409883548036301,9.0,0.004877745941117066
