"Radius (cm) 1.0D","Mean conditional temperature (K) 1.0D","Radius (cm) 1.5D","Mean conditional temperature (K) 1.5D","Radius (cm) 2.0D","Mean conditional temperature (K) 2.0D","Radius (cm) 2.5D","Mean conditional temperature (K) 2.5D","Radius (cm) 3.0D","Mean conditional temperature (K) 3.0D","Radius (cm) 3.5D","Mean conditional temperature (K) 3.5D"
-9.0,0.0,-9.0,1461.7165741510767,-9.0,1464.1423342170299,-9.0,1468.130422524429,-8.0,1473.0273279199362,-9.0,1475.460702048956
-8.0,1483.825688792003,-8.0,1463.0158175131478,-8.0,1480.8896975548062,-8.0,1475.1662310551803,-7.0,1479.4692394156016,-8.0,1469.5217477222977
-7.0,1455.288683524073,-7.0,1495.9387107816772,-7.0,1479.303559503848,-7.0,1483.9924577728439,-6.0,1480.5605404806136,-7.0,1472.7461788183405
-6.0,1470.4118480684594,-6.0,1492.5640841372758,-6.0,1494.339821465536,-6.0,1488.1731369767572,-5.0,1482.7645727803044,-6.0,1476.7335691086857
-5.0,1493.9291362332967,-5.0,1507.9893544714662,-5.0,1500.508006443034,-5.0,1497.8890867155385,-4.0,1490.8412811885482,-5.0,1482.929398684398
-4.0,1507.8780086530417,-4.0,1509.5347520056093,-4.0,1503.5416302008027,-4.0,1506.0912399637975,-3.0,1490.1637575499988,-4.0,1484.1920564853788
-3.0,1503.4280905373603,-3.0,1509.9736847441084,-3.0,1507.7200695136962,-3.0,1500.8478706827225,-2.0,1495.8800403305147,-3.0,1488.0375112132995
-2.0,1492.974191871455,-2.0,1504.3069525590474,-2.0,1507.2709390696527,-2.0,1501.3547073200916,-1.0,1496.7303614440796,-2.0,1489.2390022771617
-1.0,1485.1115483013743,-1.0,1499.33578027479,-1.0,1504.868695868953,-1.0,1504.49437512068,0.0,1492.6667678456242,-1.0,1491.003660531449
0.0,1477.4775315682634,0.0,1498.2794488150048,0.0,1509.911277642791,0.0,1507.0194888008798,1.0,1492.166511373998,0.0,1489.4066943842938
1.0,1486.0340490064273,1.0,1500.145885399907,1.0,1508.2763906172493,1.0,1507.0597782032828,2.0,1494.4996342957068,1.0,1492.4496835087778
2.0,1499.3469513977766,2.0,1508.5092916706917,2.0,1510.325526456388,2.0,1507.3246658717355,3.0,1490.9257936083807,2.0,1492.5773838759853
3.0,1500.17265829617,3.0,1512.9814223936626,3.0,1507.8025821505594,3.0,1501.9909212753976,4.0,1489.9625091844623,3.0,1485.9155390133371
4.0,1499.100499898913,4.0,1518.1214457584454,4.0,1500.6448945715358,4.0,1497.0347352564456,5.0,1487.6654233174086,4.0,1486.050037975549
5.0,1503.423089199567,5.0,1505.960565498437,5.0,1495.5117201580672,5.0,1495.0502803634408,6.0,1489.1887117691783,5.0,1484.0905928755974
6.0,1493.336255496047,6.0,1487.0702098832253,6.0,1488.2980184272517,6.0,1489.9049525236799,7.0,1484.005666918979,6.0,1484.440243200179
7.0,1503.0105338290875,7.0,1470.0562156944143,7.0,1472.4957097009747,7.0,1481.8291968812794,8.0,1472.0115545790075,7.0,1482.8091003966624
8.0,0.0,8.0,1467.6446307434373,8.0,1439.5774103369904,8.0,1474.8084452774892,9.0,1468.6070304444854,8.0,1467.2194239698706
9.0,0.0,9.0,1414.1958100815086,9.0,1436.9343472420096,9.0,1471.3041879158482,10.0,1462.8431627949512,9.0,1472.3332716928314
