"Radius (cm) 1.0D","rms intensity 950 um (kW/m2-um-sr) 1.0D","rms intensity 675 um (kW/m2-um-sr) 1.0D","Radius (cm) 1.5D","rms intensity 950 um (kW/m2-um-sr) 1.5D","rms intensity 675 um (kW/m2-um-sr) 1.5D","Radius (cm) 2.0D","rms intensity 950 um (kW/m2-um-sr) 2.0D","rms intensity 675 um (kW/m2-um-sr) 2.0D","Radius (cm) 2.5D","rms intensity 950 um (kW/m2-um-sr) 2.5D","rms intensity 675 um (kW/m2-um-sr) 2.5D","Radius (cm) 3.0D","rms intensity 950 um (kW/m2-um-sr) 3.0D","rms intensity 675 um (kW/m2-um-sr) 3.0D","Radius (cm) 3.5D","rms intensity 950 um (kW/m2-um-sr) 3.5D","rms intensity 675 um (kW/m2-um-sr) 3.5D"
9.0,0.0005984651260344898,0.0001277654453201891,-9.0,0.013120333857740854,0.0017522677857247126,-9.0,0.007854042081065089,0.001009745248336539,9.0,0.017462732686457472,0.0023218822792711816,9.0,0.027323736712474258,0.0035447649996619224,-9.0,0.023090787177338652,0.0029659158186432695
8.0,0.0006317860258290082,0.00013002759438869775,-8.0,0.01791996008981796,0.0023210513328687757,-8.0,0.019933055414150573,0.0027136737625804617,8.0,0.030677398543527825,0.004145812510669022,10.0,0.023384724471049875,0.0029992887514103373,-8.0,0.02852054775871997,0.00366160001080667
7.0,0.003020045131405786,0.00042759744465009386,-7.0,0.027920249769551552,0.0038568712049785185,-7.0,0.02408306412765847,0.003183918406246326,7.0,0.04121009656433299,0.005583072835140784,8.0,0.03819007398935181,0.004998377397870987,-7.0,0.031657635326656774,0.00409098470649315
6.0,0.015452415145984779,0.0021435777401471374,0.0,0.06279372004779511,0.00906982974725845,-6.0,0.0363951890409985,0.005043909536277062,6.0,0.051285852258385965,0.007028023737483946,7.0,0.04690254154205475,0.006190510036809929,-6.0,0.04023303887068454,0.005218906868771534
5.0,0.029871016157926148,0.004207768855350378,1.0,0.06812834580309594,0.009723846867784484,-5.0,0.054267220529928405,0.0075372158712786975,5.0,0.06244564009804205,0.00866712391680769,6.0,0.05784248637470482,0.007642573974987247,-5.0,0.04703178599369211,0.006183208283965539
4.0,0.04102416702242551,0.005675412685962498,2.0,0.07708386370567888,0.011140273665169455,-4.0,0.07257676881023446,0.010185567012715871,4.0,0.07379204381889984,0.010221076097243577,5.0,0.06989748524980802,0.00941838696060041,-4.0,0.05296795164005343,0.00703427296052594
3.0,0.0628695390301794,0.00878493116701481,3.0,0.08259550631457548,0.011964166139194746,-3.0,0.0807773701786458,0.011395111495290239,3.0,0.08884946937019887,0.012482021738467953,4.0,0.07725020157057264,0.010451193361771922,-3.0,0.06217861593046746,0.008345655026781418
2.0,0.06671478572521375,0.009485675702012432,4.0,0.07150623030595378,0.010302924259122105,-2.0,0.088850225587348,0.012673339131591483,2.0,0.09631758611528543,0.013547131477841926,3.0,0.08585222843960189,0.011609331219706703,-2.0,0.06970189654519372,0.009307793253622281
1.0,0.05149703060385923,0.0072151496103860764,5.0,0.04756360036281629,0.006673281981648484,-1.0,0.09005661607613805,0.012897466027120434,1.0,0.09987706888635749,0.014153511103947277,2.0,0.08985205704737934,0.01219071553799077,-1.0,0.07001869368530522,0.00935610364302045
0.0,0.03241896184425906,0.0044145785591620575,6.0,0.025513007850460984,0.0034815727512122192,0.0,0.09321262150092827,0.013472393262748678,0.0,0.10429314813928778,0.014817281950132636,1.0,0.09021858804965346,0.012155793959538058,0.0,0.07296323265527062,0.009693451325123646
-1.0,0.05002757722690461,0.007052710557558386,7.0,0.015071818232133613,0.0020539769387532517,1.0,0.09012908702467796,0.01296063340198177,-1.0,0.10036237118332562,0.014195177286818886,0.0,0.0883367641942606,0.011946736264441444,1.0,0.07503612254602766,0.010055012918919725
-2.0,0.06780830596981777,0.009719584687423692,8.0,0.00717499913590161,0.0009536805052648953,2.0,0.09257859930242965,0.013314658797982956,-2.0,0.09620711222300789,0.013533718193879156,-1.0,0.08664245147253127,0.011777894544511967,2.0,0.06828043761552238,0.009092161393597994
