"Radius (cm) 1.0D","RMS soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","RMS soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","RMS soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","RMS soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","RMS soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","RMS soot volume fraction (ppm) 3.5D"
-9.0,0.0,-9.0,0.02119152416471764,-9.0,0.013122530329805388,-9.0,0.023863217402510004,-8.0,0.026765910446165282,-9.0,0.038695620861117455
-8.0,0.0017800960060736079,-8.0,0.030696117997846176,-8.0,0.02864444877202955,-8.0,0.043040811968406804,-7.0,0.04175195043388586,-8.0,0.04824298173918694
-7.0,0.003588465865912577,-7.0,0.03829155972582498,-7.0,0.037931657626154414,-7.0,0.059495450115529064,-6.0,0.059340164192793574,-7.0,0.052975103069129774
-6.0,0.013208847439288391,-6.0,0.0565260264949905,-6.0,0.04929566424285816,-6.0,0.0754933860738132,-5.0,0.07004112759532924,-6.0,0.06757304420928915
-5.0,0.03028854933628139,-5.0,0.07429483436588782,-5.0,0.07307535039030022,-5.0,0.09458105145530242,-4.0,0.08828088580340203,-5.0,0.07771822448198146
-4.0,0.05097038684374913,-4.0,0.08878490188523745,-4.0,0.09582997904109297,-4.0,0.11131309182196367,-3.0,0.10984227913934422,-4.0,0.08546025422072594
-3.0,0.0696213212719296,-3.0,0.09554686212230137,-3.0,0.10501943722755705,-3.0,0.12526110965144444,-2.0,0.12162330357658635,-3.0,0.0995029240298293
-2.0,0.08536033356285555,-2.0,0.09489656250999656,-2.0,0.11316804489673071,-2.0,0.13286719030969904,-1.0,0.127380950798648,-2.0,0.1107990925038427
-1.0,0.06753074355461956,-1.0,0.0884188194209374,-1.0,0.11497298325484048,-1.0,0.13609942551347343,0.0,0.13300336660498352,-1.0,0.11223701735760956
0.0,0.05052122425450127,0.0,0.079879459324717,0.0,0.1158539539214688,0.0,0.1394665532160463,1.0,0.13747193581581366,0.0,0.1174809855041741
1.0,0.06903097286630375,1.0,0.08679693061024873,1.0,0.11411960271090815,1.0,0.13505053726290192,2.0,0.13322307051213403,1.0,0.11822157829675674
2.0,0.08296485905725416,2.0,0.09300009429483438,2.0,0.1160754513022049,2.0,0.12996127839368465,3.0,0.12871877035056986,2.0,0.10787731060194501
3.0,0.0825301425591231,3.0,0.09820479821675089,3.0,0.1121767984405442,3.0,0.12111890101420085,4.0,0.1174290895784599,3.0,0.10394689529500888
4.0,0.05416205792014433,4.0,0.08399699988226808,4.0,0.09680767011518422,4.0,0.10431004330767232,5.0,0.10607148950974539,4.0,0.10002555721884317
5.0,0.03756650475606043,5.0,0.06099604384077107,5.0,0.07455527694910899,5.0,0.08820883196441023,6.0,0.08860662475559654,5.0,0.08635820167494969
6.0,0.01971981899203506,6.0,0.036699830682415335,6.0,0.06263489504933736,6.0,0.07484722078263191,7.0,0.0728836051930471,6.0,0.07341960397178339
7.0,0.004084445640271572,7.0,0.02298480181753438,7.0,0.04789549376554493,7.0,0.060658530746001145,8.0,0.06205597872403592,7.0,0.0640342364250845
8.0,0.0006185509855665383,8.0,0.012188080090313334,8.0,0.035011557926432874,8.0,0.04643527668613115,9.0,0.04553209910394312,8.0,0.047921901618097666
9.0,0.0,9.0,0.006144925462684018,9.0,0.02624177987810037,9.0,0.02797983391297243,10.0,0.040580229322087956,9.0,0.038346543022122814
