"Radius (cm) 1.0D","Mean soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","Mean soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","Mean soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","Mean soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","Mean soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","Mean soot volume fraction (ppm) 3.5D"
-7.0,0.00013004295150679255,-9.0,0.0003615608277077199,-9.0,0.004049724644298409,-9.0,0.01270638851982672,-9.0,0.004902371110046033,-9.0,0.0034812144192719234
-6.0,0.001335941730106369,-8.0,0.001377421387780411,-8.0,0.01020180309767321,-8.0,0.012711738216913895,-8.0,0.009743229086209806,-8.0,0.009115615025478004
-5.0,0.011547348078984663,-7.0,0.0075474981720855035,-7.0,0.01944347865339278,-7.0,0.03627978870787253,-7.0,0.018025008055935123,-7.0,0.01623432102483262
-4.0,0.0378777737278117,-6.0,0.01580337158205958,-6.0,0.04600389306797462,-6.0,0.0612764207475611,-6.0,0.03921157200091809,-6.0,0.02928795883820648
-3.0,0.08508516341400431,-5.0,0.035746841925276475,-5.0,0.0898099207927492,-5.0,0.09895213046911945,-5.0,0.056668075979121636,-5.0,0.04154123767362233
-2.0,0.17709347274997742,-4.0,0.057149605035849226,-4.0,0.11977739661407776,-4.0,0.136968549499129,-4.0,0.090316269436096,-4.0,0.05134202900755871
-1.0,0.1931775825126804,-3.0,0.09834382715672155,-3.0,0.16906985267467953,-3.0,0.19122620228611772,-3.0,0.13501786665140075,-3.0,0.06527574348523599
0.0,0.13409932910078726,-2.0,0.14016929473357337,-2.0,0.2175930401218409,-2.0,0.23256017902530784,-2.0,0.16071787671471027,-2.0,0.07889409130941902
1.0,0.17166916089397533,-1.0,0.19402789549033098,-1.0,0.27301221243509627,-1.0,0.2522274976583624,-1.0,0.17722554813117203,-1.0,0.08319692496881888
2.0,0.2089668184404035,0.0,0.21154844875830486,0.0,0.27633382645727966,0.0,0.2587309394337113,0.0,0.17413129655400053,0.0,0.08188069270327318
3.0,0.11478963385769315,1.0,0.22120435417740578,1.0,0.23393345502964852,1.0,0.2546176305823102,1.0,0.17730625924488183,1.0,0.07920515581131404
4.0,0.03972144491069955,2.0,0.20365310343547,2.0,0.20369671007979465,2.0,0.22501769020500456,2.0,0.15079972874976807,2.0,0.0809273331454286
5.0,0.01711010564311777,3.0,0.16587771580958713,3.0,0.15545902181230378,3.0,0.17387139325971224,3.0,0.12548775763572403,3.0,0.07514362599846681
6.0,0.005134842134062204,4.0,0.13014685800317224,4.0,0.10980715890748372,4.0,0.14797123776294527,4.0,0.0962152826646577,4.0,0.061326360931784576
7.0,0.001396940723857533,5.0,0.08373664835850625,5.0,0.0889871900478552,5.0,0.10703483572434809,5.0,0.07258182729166993,5.0,0.04711994018637098
,,6.0,0.06212148379457594,6.0,0.05461050264807954,6.0,0.08028121936605907,6.0,0.058324917264738464,6.0,0.032724413588679814
,,7.0,0.03750611562559525,7.0,0.03771695790609581,7.0,0.05999290894996725,7.0,0.04687941244432969,7.0,0.025715919556855704
,,8.0,0.02392522663695289,8.0,0.015358657782833197,8.0,0.032731780559190286,8.0,0.030255055713014792,8.0,0.01786460445737723
,,9.0,0.017514789136007805,9.0,0.009798187090191693,9.0,0.028123382688301404,9.0,0.01262614748696117,9.0,0.016656055884849582
