"Radius (cm) 1.0D","mean intensity 950 um (kW/m2-um-sr),1.0D","mean intensity 675 um (kW/m2-um-sr) 1.0D","Radius (cm) 1.5D","mean intensity 950 um (kW/m2-um-sr),1.5D","mean intensity 675 um (kW/m2-um-sr) 1.5D","Radius (cm) 2.0D","mean intensity 950 um (kW/m2-um-sr),2.0D","mean intensity 675 um (kW/m2-um-sr) 2.0D","Radius (cm) 2.5D","mean intensity 950 um (kW/m2-um-sr),2.5D","mean intensity 675 um (kW/m2-um-sr) 2.5D","Radius (cm) 3.0D","mean intensity 950 um (kW/m2-um-sr),3.0D","mean intensity 675 um (kW/m2-um-sr) 3.0D","Radius (cm) 3.5D","mean intensity 950 um (kW/m2-um-sr),3.5D","mean intensity 675 um (kW/m2-um-sr) 3.5D"
9.0,0.00018735203931198707,-5.964537778451655e-05,-9.0,0.0012896638338434794,7.485527412313612e-05,-9.0,0.0001313338497548476,-1.1209754153826224e-06,9.0,0.0020536038685057072,0.00022757284580118386,9.0,0.004735871465625914,0.000533585984701422,-9.0,0.0036818726709546574,0.00048234588019419907
8.0,0.00022563728756150607,-5.6246742161704024e-05,-8.0,0.0021282224447914085,0.0002536063632086523,-8.0,0.0017014741969825044,0.0001923639577679277,8.0,0.004589803809735039,0.0006410610362611442,10.0,0.004081379107628913,0.0004305430475349948,-8.0,0.0046565487320197295,0.0005269672792026251
7.0,0.0003760113504242805,-3.389001868245806e-05,-7.0,0.005015855831034228,0.0006609658274232721,-7.0,0.0028287119688591585,0.00033424194371276515,7.0,0.007831247784274986,0.0010415887725844907,8.0,0.008868373178394541,0.0010468945343793691,-7.0,0.005764631695028281,0.0006608350775641536
6.0,0.0010126521973447657,0.0001348188723346852,0.0,0.034273825666840486,0.004451505703968841,-6.0,0.006274071586126911,0.0007979249338240955,6.0,0.012510869204568828,0.0015534263226180526,7.0,0.011873561524460006,0.0015414030500022712,-6.0,0.009595673052248245,0.0011510850406839055
5.0,0.005030201706874536,0.0006643807580910272,1.0,0.03816929477863625,0.0050046553582067076,-5.0,0.012949338056603917,0.0017264701533604206,5.0,0.017705559796591133,0.0022539563016512874,6.0,0.018424553264701087,0.002369479727253828,-5.0,0.013095485477981268,0.0016315890645674583
4.0,0.010390794195501176,0.0013590315163553128,2.0,0.04017733259822013,0.005394457534365876,-4.0,0.026236746126471432,0.0035059470340895807,4.0,0.027167655663243445,0.0035050182553175414,5.0,0.025766427004247302,0.003195111026635413,-4.0,0.016306154897268995,0.0020174289628321087
3.0,0.027678080691780498,0.0036630769200934315,3.0,0.03733620856236699,0.005082762305646435,-3.0,0.03568071028058632,0.004852161685339637,3.0,0.0393691284081106,0.005188747542143155,4.0,0.03445708041288017,0.004337542005453936,-3.0,0.023228344464039923,0.0029385746750371184
2.0,0.036613393491531296,0.0048755951084948,4.0,0.023624930176823,0.003323400192565495,-2.0,0.04284541417761615,0.00574737848486115,2.0,0.05019020140760353,0.006766245853538372,3.0,0.04191922233886654,0.005334582199203395,-2.0,0.029179555426289864,0.003684084511653569
1.0,0.023844418056429076,0.0029442231845746986,5.0,0.010172517905329281,0.0013596413080669222,-1.0,0.04821162045961933,0.006415048508048005,1.0,0.05733387597091283,0.007715933868014438,2.0,0.04467011500076519,0.00577258316415546,-1.0,0.030896328741347852,0.003923409995344399
0.0,0.014094661440937333,0.001599259939735046,6.0,0.003409130740636424,0.00043284958377275205,0.0,0.055255629589951775,0.0075407912931777284,0.0,0.06225563362501602,0.008411232764426502,1.0,0.049868539032374704,0.0063406631765254235,0.0,0.032922166316123457,0.004163045663908439
-1.0,0.023814689878634512,0.0029288732728796375,7.0,0.0012996738192347123,0.00014831335707450152,1.0,0.05070691338859269,0.006870536545874431,-1.0,0.05860972240199289,0.007809292242978533,0.0,0.047571771621364445,0.006069507541219092,1.0,0.03324154247198056,0.004231676563772709
-2.0,0.03450649677275898,0.0044542140577843075,8.0,0.00023943729501069264,2.2982125538778118e-05,2.0,0.04753684327479019,0.006504712723478807,-2.0,0.0511779528559471,0.0067521090543745796,-1.0,0.04315758450158179,0.005656445892205636,2.0,0.027272835552091215,0.0035506614084555173
-3.0,0.019715053009374,0.0026944131614496107,9.0,-1.1876641795123768e-06,-1.1461294216199673e-05,3.0,0.03859350772581155,0.0051437324169687415,-3.0,0.045148213490012974,0.005964048795863731,-2.0,0.037606900155235316,0.004868984626236463,3.0,0.023710557292723422,0.002980772103918229
-4.0,0.0096915303014786,0.0012869198627636334,-1.0,0.03630769785412753,0.0047979910559132165,6.0,0.008902110650645346,0.0010636275543207845,-4.0,0.032903961809929015,0.004493838834610578,-3.0,0.02862791109444922,0.0036604290002684565,4.0,0.02261832546716682,0.0028205459624023985
-5.0,0.002849677711064699,0.00034980163311824854,-2.0,0.04006803704449881,0.0053227039494858795,7.0,0.004758509145092543,0.0006512434947362776,-5.0,0.022054666125650026,0.002921666497817898,-4.0,0.01786619586818459,0.002277007209923855,5.0,0.016517104005070896,0.002041987348628976
