"Radius (cm) 1.0D","Mean conditional soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","Mean conditional soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","Mean conditional soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","Mean conditional soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","Mean conditional soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","Mean conditional soot volume fraction (ppm) 3.5D"
-7.0,0.28449678273144513,-9.0,0.31049387478452234,-9.0,0.49888430051963856,-9.0,0.42472789899569385,-9.0,0.409506070659093,-9.0,0.3614002118321815
-6.0,0.36123788056381223,-8.0,0.35538171708467986,-8.0,0.38976678291985495,-8.0,0.42158691574913987,-8.0,0.41038182331415995,-8.0,0.3708773963943864
-5.0,0.3761237281865323,-7.0,0.3931749632533206,-7.0,0.4252539548076516,-7.0,0.41592620333416164,-7.0,0.43096952555791856,-7.0,0.3796714359253668
-4.0,0.3594252649203431,-6.0,0.4008231493289353,-6.0,0.41444381485674964,-6.0,0.4313316792374683,-6.0,0.4464576441156373,-6.0,0.4019247871405824
-3.0,0.33975423548047745,-5.0,0.413319369419269,-5.0,0.436342186032685,-5.0,0.4421430137797779,-5.0,0.43296844329405354,-5.0,0.41215271241483703
-2.0,0.3273399461958679,-4.0,0.4016736854033922,-4.0,0.4078654826477233,-4.0,0.4422565380134644,-4.0,0.4341357949428852,-4.0,0.416438023816915
-1.0,0.2781717939005135,-3.0,0.3978843570260323,-3.0,0.38400114935367247,-3.0,0.45719965061031254,-3.0,0.46470720325395,-3.0,0.4251654793290134
0.0,0.22779797075260663,-2.0,0.3509470413958468,-2.0,0.39284668448238896,-2.0,0.4705902690611639,-2.0,0.4586336919204246,-2.0,0.4240726632379135
1.0,0.2767997990236548,-1.0,0.3145209229642365,-1.0,0.3956830148677193,-1.0,0.46546462822443063,-1.0,0.4601551252457417,-1.0,0.4354458504585534
2.0,0.314785337080839,0.0,0.2870212455335615,0.0,0.4062329930346357,0.0,0.48042218850346036,0.0,0.4584118899767626,0.0,0.4229460047758127
3.0,0.3196322497435093,1.0,0.3016644676323804,1.0,0.37928782598518546,1.0,0.49552550487144004,1.0,0.4631892908683271,1.0,0.4281794918704337
4.0,0.3379551438928587,2.0,0.31482458340402886,2.0,0.3976469855671852,2.0,0.4632302669353067,2.0,0.45942546394110095,2.0,0.4304193039774854
5.0,0.36698468415821045,3.0,0.33551934520920557,3.0,0.3997527614582455,3.0,0.45231591189937986,3.0,0.45494972057384525,3.0,0.42471282452976905
6.0,0.3383334523796601,4.0,0.3443786647499727,4.0,0.4161708383112642,4.0,0.46243313873185016,4.0,0.45493946807130997,4.0,0.4197725780431324
7.0,0.3034891211527344,5.0,0.36476729436003047,5.0,0.44667240591584784,5.0,0.4688422015501393,5.0,0.45129445192607204,5.0,0.412924609629896
,,6.0,0.37088159562749495,6.0,0.4212767394234919,6.0,0.4561357780811159,6.0,0.4645306022808971,6.0,0.40787130382789494
,,7.0,0.37280699067411155,7.0,0.4143921538744748,7.0,0.4705282743492878,7.0,0.4374502416327675,7.0,0.4251706937212937
,,8.0,0.36950679013720705,8.0,0.38857618812341976,8.0,0.451943580082564,8.0,0.4401658761407032,8.0,0.4315017089813366
,,9.0,0.36655827927420004,9.0,0.3864714737974345,9.0,0.4613553652670617,9.0,0.44960620089349934,9.0,0.41514767542206094
