"Radius (cm) 1.0D","intermittency index 1.0D","Radius (cm) 1.5D","intermittency index 1.5D","Radius (cm) 2.0D","intermittency index 2.0D","Radius (cm) 2.5D","intermittency index 2.5D","Radius (cm) 3.0D","intermittency index 3.0D","Radius (cm) 3.5D","intermittency index 3.5D"
9.0,0.0,9.0,0.002182857142857143,-9.0,0.04079705882352941,9.0,0.003777142857142857,-9.0,0.019625714285714285,9.0,0.05780857142857143
8.0,0.0,8.0,0.0036,-8.0,0.07571714285714286,8.0,0.010976527079383397,-8.0,0.04123142857142857,8.0,0.07007567567567567
7.0,0.0005743957356860583,7.0,0.014468571428571428,-7.0,0.11386246668504733,7.0,0.021,-7.0,0.07202647058823529,7.0,0.11227142857142858
6.0,0.005928571428571429,6.0,0.03058823529411765,-6.0,0.13045714285714285,6.0,0.038965714285714284,-6.0,0.11536816832907427,6.0,0.13848285714285713
5.0,0.014852941176470588,5.0,0.05552,-5.0,0.2082342857142857,5.0,0.06919142857142857,-5.0,0.15995,5.0,0.17295833333333333
4.0,0.03269428571428572,4.0,0.12929142857142858,-4.0,0.2950897435897436,4.0,0.12810285714285713,-4.0,0.2331457142857143,4.0,0.19334857142857143
3.0,0.07816285714285715,3.0,0.22775,-3.0,0.38778285714285715,3.0,0.22580285714285714,-3.0,0.3119222222222222,3.0,0.21126944444444445
2.0,0.2274057142857143,2.0,0.36223529411764704,-2.0,0.4701657142857143,2.0,0.3679189189189189,-2.0,0.34930285714285714,2.0,0.23838857142857142
1.0,0.33084411764705884,1.0,0.40803256354134093,-1.0,0.51302,1.0,0.46758571428571427,-1.0,0.38269117647058826,1.0,0.2511285714285714
0.0,0.26504500379684637,0.0,0.4177111111111111,0.0,0.5034771428571428,0.0,0.507075,0.0,0.4037142857142857,0.0,0.2978057142857143
-1.0,0.19212,-1.0,0.4131457142857143,1.0,0.4670236842105263,-1.0,0.5009771428571429,1.0,0.39186470588235295,-1.0,0.28610833333333335
-2.0,0.34775675675675677,-2.0,0.3965228571428571,2.0,0.3941923076923077,-2.0,0.4315514285714286,2.0,0.32628823529411766,-2.0,0.27524571428571426
-3.0,0.36864705882352944,-3.0,0.2880967971693778,3.0,0.28168823529411763,-3.0,0.3723457142857143,3.0,0.22832727272727274,-3.0,0.21894
-4.0,0.20770882352941175,-4.0,0.17450833333333332,4.0,0.15685142857142856,-4.0,0.28137142857142855,4.0,0.16242647058823528,-4.0,0.17110571428571428
-5.0,0.06078,-5.0,0.08655714285714286,5.0,0.07791176470588235,-5.0,0.22336764705882353,5.0,0.11811176470588235,-5.0,0.12586
-6.0,0.016594292803970224,-6.0,0.042778947368421055,6.0,0.031375,-6.0,0.15663428571428573,6.0,0.07464705882352941,-6.0,0.08471142857142858
-7.0,0.00524388163026521,-7.0,0.01736764705882353,7.0,0.01318566578818064,-7.0,0.1052407866923996,7.0,0.03212285714285714,-7.0,0.04324857142857143
-8.0,0.00013513853270981043,-8.0,0.0029125,8.0,0.0048529411764705885,-8.0,0.07218857142857144,8.0,0.02268529411764706,-8.0,0.03174857142857143
-9.0,0.0,-9.0,0.00035882352941176473,9.0,0.003857142857142857,-9.0,0.0315,9.0,0.008917142857142858,-9.0,0.014952136752136752
