"Radius (cm) 1.0D","RMS conditional temperature (K) 1.0D","Radius (cm) 1.5D","RMS conditional temperature (K) 1.5D","Radius (cm) 2.0D","RMS conditional temperature (K) 2.0D","Radius (cm) 2.5D","RMS conditional temperature (K) 2.5D","Radius (cm) 3.0D","RMS conditional temperature (K) 3.0D","Radius (cm) 3.5D","RMS conditional temperature (K) 3.5D"
-9.0,0.0,-9.0,72.41712348232895,-9.0,72.0643639381784,-9.0,78.80433915261133,-8.0,85.59206701706171,-9.0,79.48320032304943
-8.0,15.742106939406987,-8.0,68.97126962075711,-8.0,75.52087304951638,-8.0,82.68891976331896,-7.0,80.4992152480687,-8.0,77.53925488856922
-7.0,51.70357718700524,-7.0,67.01766470271208,-7.0,73.98951926244622,-7.0,78.91164517963922,-6.0,81.56954550923457,-7.0,82.65147801297279
-6.0,74.07578437884544,-6.0,69.20029044071006,-6.0,74.70148254982308,-6.0,79.59690750888545,-5.0,83.59111472518069,-6.0,82.69356888854196
-5.0,71.3528327206869,-5.0,66.70108638150407,-5.0,74.31222136767217,-5.0,76.68015065244198,-4.0,82.98825286507918,-5.0,85.47873306432686
-4.0,64.03293489647132,-4.0,66.83800459166345,-4.0,71.53433820476063,-4.0,79.23026404167837,-3.0,83.19857937395129,-4.0,86.14619155271596
-3.0,60.14534135065175,-3.0,65.58318572454479,-3.0,71.00667143626353,-3.0,78.70790080481319,-2.0,84.0368554161895,-3.0,89.78085127425167
-2.0,59.52022325183094,-2.0,66.55059074340457,-2.0,71.75080580402145,-2.0,81.25178949316188,-1.0,83.68876018161895,-2.0,88.47333364039585
-1.0,57.15051505819976,-1.0,66.64274155112713,-1.0,71.12978354073788,-1.0,80.00199536275083,0.0,84.50472635865734,-1.0,90.6380589811813
0.0,56.79894409776718,0.0,65.25513384135076,0.0,69.80806782719169,0.0,80.76801472596665,1.0,85.12553941687779,0.0,88.10581476170728
1.0,55.89752211119408,1.0,62.57805975803036,1.0,71.46848466557037,1.0,80.83320881231037,2.0,86.25161543115807,1.0,91.56716477688204
2.0,55.7664812635486,2.0,62.689646283717934,2.0,72.26596785355483,2.0,79.02602719687293,3.0,83.65637292196271,2.0,90.10988440395025
3.0,60.373925393012996,3.0,65.51058967484387,3.0,69.93380161585394,3.0,80.51347994616077,4.0,85.3648312871904,3.0,90.30543220512313
4.0,59.15857102615617,4.0,65.22887524679946,4.0,72.0208396962569,4.0,79.6343574490387,5.0,85.42711056518543,4.0,89.51242519171346
5.0,61.822209626982264,5.0,72.22719809949933,5.0,72.64581987057757,5.0,81.34277338910843,6.0,80.69690214324636,5.0,86.90046611593739
6.0,63.59878663138963,6.0,74.46023090249537,6.0,73.67640092711947,6.0,79.54092277008701,7.0,80.62562019987251,6.0,86.41867134087171
7.0,48.98201172979573,7.0,79.33253992930915,7.0,72.16244661094336,7.0,78.90178418962412,8.0,77.63321634477082,7.0,86.38187954919019
8.0,0.0,8.0,78.57441937692428,8.0,74.38318818523676,8.0,76.49429731431567,9.0,78.95554066257807,8.0,82.15574616523934
9.0,0.0,9.0,70.06694343899689,9.0,73.96340014787314,9.0,74.57670291540583,10.0,75.16794351232272,9.0,82.76123140801796
