"Radius (cm) 1.0D","RMS conditional soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","RMS conditional soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","RMS conditional soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","RMS conditional soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","RMS conditional soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","RMS conditional soot volume fraction (ppm) 3.5D"
-9.0,0.0,-9.0,0.14937147198413844,-9.0,0.0,-9.0,0.17305409391300744,-9.0,0.0,-9.0,0.19753750046357046
-8.0,0.1456167145812289,-8.0,0.13598180565254595,-8.0,0.1706394972526015,-8.0,0.14937147198413844,-8.0,0.0,-8.0,0.21437300558463054
-7.0,0.18893274092706971,-7.0,0.18771443207374874,-7.0,0.19277605454696564,-7.0,0.15329987069352655,-7.0,0.23733849066572718,-7.0,0.20725022413101155
-6.0,0.20456665569212718,-6.0,0.19829338250865217,-6.0,0.22234065631514316,-6.0,0.18997580789161914,-6.0,0.24936846192379486,-6.0,0.20390343632656607
-5.0,0.177347275318505,-5.0,0.21288571604720144,-5.0,0.2165252124154218,-5.0,0.1985801248675891,-5.0,0.24796741208579465,-5.0,0.20086725705520223
-4.0,0.18005727283386555,-4.0,0.2225309148232433,-4.0,0.19017748771371604,-4.0,0.2119288346542722,-4.0,0.27063363777321037,-4.0,0.2000298236179001
-3.0,0.16489636730044624,-3.0,0.20100410676951627,-3.0,0.17190489006109888,-3.0,0.22093198344775974,-3.0,0.26150954028915235,-3.0,0.21114286840055113
-2.0,0.14175845848607224,-2.0,0.17498551996336778,-2.0,0.1649654308923836,-2.0,0.20069097613665557,-2.0,0.257160600134211,-2.0,0.21119711126254664
-1.0,0.10802579121726229,-1.0,0.16672975218091182,-1.0,0.15559400026007977,-1.0,0.17487220378330567,-1.0,0.2557821934594448,-1.0,0.21306187570038726
0.0,0.1107827600961375,0.0,0.1556566547908942,0.0,0.16672975218091182,0.0,0.1666584667793758,0.0,0.2633372690553626,0.0,0.21403965774835604
1.0,0.13403949570600196,1.0,0.16420075866570796,1.0,0.17498551996336778,1.0,0.15567106769380742,1.0,0.2620806285665237,1.0,0.20929531612077593
2.0,0.1655704294628894,2.0,0.17190489006109888,2.0,0.20100410676951627,2.0,0.16443188303407785,2.0,0.26228830123082697,2.0,0.21124145922021734
3.0,0.16881179916633193,3.0,0.19017748771371604,3.0,0.2209222446554931,3.0,0.17230446958629544,3.0,0.25787218697002845,3.0,0.20186153631510081
4.0,0.1744364999757839,4.0,0.2165252124154218,4.0,0.21288571604720144,4.0,0.18922927542036325,4.0,0.2580932516528328,4.0,0.21336188014986412
5.0,0.16787393287503105,5.0,0.22234065631514316,5.0,0.19871955166044156,5.0,0.21661182086478273,5.0,0.2574846888414991,5.0,0.19742363281785352
6.0,0.11815653846305484,6.0,0.19277605454696564,6.0,0.18771443207374874,6.0,0.22354813922936714,6.0,0.256014056347005,6.0,0.20371201220892346
7.0,0.0666687979632467,7.0,0.1706394972526015,7.0,0.13598180565254595,7.0,0.19296907871897712,7.0,0.255361112338464,7.0,0.20078818356023082
8.0,0.0,8.0,0.0,8.0,0.14937147198413844,8.0,0.16900245021918026,8.0,0.22328812651078905,8.0,0.0
9.0,0.0,9.0,0.0,9.0,0.17357544724180707,9.0,0.0,9.0,0.22286585267864595,9.0,0.0
