"Radius (cm) 1.0D","RMS soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","RMS soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","RMS soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","RMS soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","RMS soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","RMS soot volume fraction (ppm) 3.5D"
-9.0,0.0,-9.0,0.004537167546339703,-9.0,,-9.0,0.05759290572613209,-9.0,,-9.0,0.0401755008187041
-8.0,0.0036905791812078034,-8.0,0.014947566246506989,-8.0,0.03752254361911691,-8.0,0.004471896968685276,-8.0,,-8.0,0.06134228336202315
-7.0,0.026782889334230172,-7.0,0.04195076516140166,-7.0,0.055724425546973586,-7.0,0.01503947628692515,-7.0,0.09986978368727414,-7.0,0.0695059189369097
-6.0,0.044646008127438096,-6.0,0.0678583422656836,-6.0,0.07960662634337232,-6.0,0.04160538884280798,-6.0,0.13117834213476903,-6.0,0.09266749335901735
-5.0,0.07200305045561463,-5.0,0.09685249927967166,-5.0,0.11723614878254182,-5.0,0.06865722763032914,-5.0,0.14993220838725685,-5.0,0.11126565327435498
-4.0,0.12869421622871688,-4.0,0.13894991260126927,-4.0,0.12604728158422304,-4.0,0.09645191623193383,-4.0,0.18905683004032303,-4.0,0.12582111262914894
-3.0,0.14650008116777835,-3.0,0.15375866099677765,-3.0,0.1413356479411725,-3.0,0.13803218030070818,-3.0,0.20623625907564688,-3.0,0.14535501874845416
-2.0,0.11967613897979508,-2.0,0.1509072707393834,-2.0,0.14151616753890406,-2.0,0.15329728703229864,-2.0,0.2120902280294497,-2.0,0.15831351924459583
-1.0,0.07891752587838302,-1.0,0.14351284696090727,-1.0,0.13455892852641316,-1.0,0.150818795355712,-1.0,0.21612200710006826,-1.0,0.1633693709171388
0.0,0.08976958098024097,0.0,0.1344693306143237,0.0,0.14351284696090727,0.0,0.14223396131315177,0.0,0.22520129879371595,0.0,0.16665212783429745
1.0,0.11192003753933512,1.0,0.14102406261336098,1.0,0.14694908325894152,1.0,0.13462191353222674,1.0,0.22366470161087873,1.0,0.15354798860550167
2.0,0.11874199131795062,2.0,0.1427294083660087,2.0,0.14859518018530649,2.0,0.13970122949997213,2.0,0.20944373596716895,2.0,0.1524227370074365
3.0,0.07496687565923034,3.0,0.13203275952099014,3.0,0.13856834814206984,3.0,0.14150350746835122,3.0,0.17892334242332045,3.0,0.13842112025996606
4.0,0.05170813738381969,4.0,0.11723614878254182,4.0,0.09685249927967166,4.0,0.13009810682483197,4.0,0.15584560506614478,4.0,0.13953187079394466
5.0,0.0350119685292544,5.0,0.07960662634337232,5.0,0.0686385302788865,5.0,0.11720727127946816,5.0,0.13510320435953072,5.0,0.12507770252448208
6.0,0.01853743421276779,6.0,0.05637725552474327,6.0,0.040784146092487136,6.0,0.07994969662480808,6.0,0.10832159972557673,6.0,0.11572936384346741
7.0,0.004238960333759443,7.0,0.03752254361911691,7.0,0.014130846987721494,7.0,0.0564467682870253,7.0,0.07341980177769598,7.0,0.10485353115229125
8.0,,8.0,,8.0,0.004537167546339703,8.0,0.035732813386265,8.0,0.05691643557118036,8.0,
9.0,,9.0,,9.0,0.06073954397070472,9.0,,9.0,0.03477499055664669,9.0,
