"Radius (cm) 1.0D","rms intensity 950 um (kW/m2-um-sr) 1.0D","rms intensity 675 um (kW/m2-um-sr) 1.0D","Radius (cm) 1.5D","rms intensity 950 um (kW/m2-um-sr) 1.5D","rms intensity 675 um (kW/m2-um-sr) 1.5D","Radius (cm) 2.0D","rms intensity 950 um (kW/m2-um-sr) 2.0D","rms intensity 675 um (kW/m2-um-sr) 2.0D","Radius (cm) 2.5D","rms intensity 950 um (kW/m2-um-sr) 2.5D","rms intensity 675 um (kW/m2-um-sr) 2.5D","Radius (cm) 3.0D","rms intensity 950 um (kW/m2-um-sr) 3.0D","rms intensity 675 um (kW/m2-um-sr) 3.0D","Radius (cm) 3.5D","rms intensity 950 um (kW/m2-um-sr) 3.5D","rms intensity 675 um (kW/m2-um-sr) 3.5D"
0.0,0.12463723423763352,0.019456823972742184,9.0,0.07566518477766829,0.010885826574987219,9.0,0.06495868542776938,0.010024388346990274,-9.0,0.07072425826440275,0.010418879469624266,9.0,0.08331135213595287,0.012548259264554756,-9.0,0.03534761345839574,0.005215110076993669
-1.0,0.1892741953351103,0.030870508960896405,8.0,0.09326065224974586,0.013651708304530032,8.0,0.08378508487284936,0.012575376931204548,-8.0,0.07796636103702535,0.011950022541430115,8.0,0.13107530486479005,0.020327212476373552,-8.0,0.05674945155726074,0.008315505958659139
-2.0,0.23615426102172485,0.0388089132536042,7.0,0.13735091750039366,0.02171983953312148,7.0,0.15217773119975786,0.024074762545150778,-7.0,0.13348101979393553,0.020532584958485298,7.0,0.16528877781502804,0.025774273091178367,-7.0,0.08493950993107263,0.012922202136934695
-3.0,0.20947094323266055,0.034849130407757715,6.0,0.20529289031205647,0.03371219370983596,6.0,0.19991298169925098,0.03230289103810771,-6.0,0.18630700401510136,0.029210080791748833,6.0,0.1908907607446046,0.029754712594365365,-6.0,0.12092264237626475,0.018817815014889806
-4.0,0.1616699160351966,0.026956225773163856,5.0,0.2465938599101934,0.04118830800995735,5.0,0.25274191948740715,0.041679149378774746,-5.0,0.23541472559233928,0.036855995386990144,5.0,0.20643166836863774,0.0322473203586606,-5.0,0.14415936225180626,0.022237801219326322
-5.0,0.09369852723263544,0.01562550571813271,4.0,0.27981533165977274,0.0467872018280653,4.0,0.2697255425351234,0.04456084635682733,-4.0,0.2797334496785684,0.04486784198375132,4.0,0.23848952089347464,0.037522613151037325,-4.0,0.1590376735228372,0.024233424125798708
-6.0,0.027603215199811737,0.004215813284360256,3.0,0.28551064572502577,0.0480559192410768,3.0,0.3044658541954238,0.05064653199205823,-3.0,0.3195284371358481,0.051418453888143985,3.0,0.2597505530719314,0.04067213129461074,-3.0,0.1845987252354142,0.02856914562286773
-7.0,0.0033567936890591564,0.0004179915791248183,2.0,0.264519367769241,0.04448751354818214,2.0,0.3229359741398735,0.05402276377204393,-2.0,0.34561489865081957,0.0563008490938171,2.0,0.2840592177071058,0.04484919116860447,-2.0,0.19728245613957587,0.030377430504656244
1.0,0.15474776162975715,0.02411710622772996,1.0,0.26215434897955664,0.04530535409128651,1.0,0.33567972037814625,0.05613222100400201,-1.0,0.35337157555897053,0.05726713133317184,1.0,0.29494397196221717,0.04629400579255314,-1.0,0.20811745580874946,0.032165241294961
2.0,0.20673295406143882,0.03316100316486648,0.0,0.26060039125284956,0.0446872408286632,0.0,0.35623653614247763,0.059917186004028476,0.0,0.34645242310952357,0.055899467318871035,0.0,0.29982378178336067,0.04760948844024094,0.0,0.19687092781168483,0.03014214529937129
