"Radius (cm) 1.0D","Mean conditional soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","Mean conditional soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","Mean conditional soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","Mean conditional soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","Mean conditional soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","Mean conditional soot volume fraction (ppm) 3.5D"
-9.0,0.0,-9.0,0.20880592774134837,-9.0,0.21439731225627948,-9.0,0.21492545659455903,-8.0,0.2252110804124257,-9.0,0.20402918936659045
-8.0,0.11356439116426861,-8.0,0.196592159713259,-8.0,0.22273433250750843,-8.0,0.23266693292369803,-7.0,0.23788597348877036,-8.0,0.21529542930715348
-7.0,0.1343399217610326,-7.0,0.1568784518430979,-7.0,0.22340646314163592,-7.0,0.23100500513178687,-6.0,0.22959999622983035,-7.0,0.21408758550615825
-6.0,0.1756624422194397,-6.0,0.20641225852722886,-6.0,0.2059504579616573,-6.0,0.22045443597344136,-5.0,0.22645750427134906,-6.0,0.21951881628405892
-5.0,0.18413851969702594,-5.0,0.19638177561605655,-5.0,0.2112636922254455,-5.0,0.21810149892407477,-4.0,0.22354055854344962,-5.0,0.21319823563044354
-4.0,0.17109783147907281,-4.0,0.18492051043492427,-4.0,0.20306709419077126,-4.0,0.21764251088553913,-3.0,0.22359932957738604,-4.0,0.21192566888408068
-3.0,0.16458028190318044,-3.0,0.17518446823034703,-3.0,0.19427984168660842,-3.0,0.21318596167937554,-2.0,0.22064728225191804,-3.0,0.21095930542282335
-2.0,0.16776694081687735,-2.0,0.16827291505293798,-2.0,0.19439094803444612,-2.0,0.21348043265057323,-1.0,0.21651758425697504,-2.0,0.21584293975104077
-1.0,0.15059499035829987,-1.0,0.15980941448271607,-1.0,0.18709318668986152,-1.0,0.20760557145276062,0.0,0.21757735597260253,-1.0,0.2133971643540265
0.0,0.13542850592117958,0.0,0.15272079619080767,0.0,0.17938191319769695,0.0,0.20801023692331222,1.0,0.22120222025201372,0.0,0.21836918277894068
1.0,0.15258598796692222,1.0,0.15862394840898242,1.0,0.1825241289705267,1.0,0.2063174383322539,2.0,0.22327061699029996,1.0,0.22090924288928668
2.0,0.15418752440149167,2.0,0.16770435272213022,2.0,0.19216129611664481,2.0,0.2099004827062471,3.0,0.22121052832578783,2.0,0.2154394348886485
3.0,0.1715899102921781,3.0,0.1839852865802287,3.0,0.20328120324116136,3.0,0.21866795711583556,4.0,0.2219857399024748,3.0,0.2237278365956552
4.0,0.17069870130582393,4.0,0.1915039837686483,4.0,0.20749110302053508,4.0,0.21587229127859553,5.0,0.22578452247441624,4.0,0.22227573430187603
5.0,0.1762690397159262,5.0,0.2108202772366639,5.0,0.21441773480282528,5.0,0.23102897836851802,6.0,0.21847827424223748,5.0,0.21902376307151838
6.0,0.1775907415971832,6.0,0.20494467635556918,6.0,0.22379480934464763,6.0,0.2258923927831905,7.0,0.21867814143524597,6.0,0.22026885785819625
7.0,0.13396824220534012,7.0,0.21297648218452236,7.0,0.2258411679080195,7.0,0.23176773493607014,8.0,0.22054598075807183,7.0,0.21943575425798792
8.0,0.0,8.0,0.20931746415083446,8.0,0.2341205922109231,8.0,0.2189761798673645,9.0,0.21906931052697168,8.0,0.21718982245906984
9.0,0.0,9.0,0.20991982132428658,9.0,0.2200925507122842,9.0,0.2022810780651883,10.0,0.20622359702871443,9.0,0.22294147913230114
