"Radius (cm) 1.0D","intermittency index 1.0D","Radius (cm) 1.5D","intermittency index 1.5D","Radius (cm) 2.0D","intermittency index 2.0D","Radius (cm) 2.5D","intermittency index 2.5D","Radius (cm) 3.0D","intermittency index 3.0D","Radius (cm) 3.5D","intermittency index 3.5D"
9.0,0.0,-9.0,0.00618,-9.0,0.0026285714285714285,9.0,0.013063888888888889,9.0,0.029683333333333332,-9.0,0.023762162162162162
8.0,0.0,-8.0,0.01725,-8.0,0.010427777777777777,8.0,0.03082,10.0,0.026434285714285716,-8.0,0.03423142857142857
7.0,0.0005313160555096039,-7.0,0.03896,-7.0,0.018702857142857143,7.0,0.0473433242506812,8.0,0.05696388888888889,-7.0,0.04165142857142857
6.0,0.008030555555555556,0.0,0.24076857142857142,-6.0,0.03779444444444444,6.0,0.0752,7.0,0.07823142857142858,-6.0,0.06609634681718407
5.0,0.032254285714285715,1.0,0.26851714285714284,-5.0,0.07609722222222222,5.0,0.10159428571428572,6.0,0.11820571428571429,-5.0,0.09125945945945946
4.0,0.0725,2.0,0.2617411567877629,-4.0,0.15839828918568813,4.0,0.16577681118656326,5.0,0.16048205128205129,-4.0,0.11178333333333333
3.0,0.19043888888888888,3.0,0.2261027777777778,-3.0,0.22102723665223664,3.0,0.2300225,4.0,0.21748112744003217,-3.0,0.158025
2.0,0.2691970588235294,4.0,0.13764,-2.0,0.2603517900912123,2.0,0.3014081833206772,3.0,0.26415428571428573,-2.0,0.1928111111111111
1.0,0.16737777777777776,5.0,0.05565833333333333,-1.0,0.3023138888888889,1.0,0.3493805555555556,2.0,0.2792700547540414,-1.0,0.2055
0.0,0.09882285714285714,6.0,0.020641666666666666,0.0,0.35691944444444446,0.0,0.3758888888888889,1.0,0.3152542857142857,0.0,0.21610857142857143
-1.0,0.16678857142857142,7.0,0.007638888888888889,1.0,0.3252055555555556,-1.0,0.35587619047619046,0.0,0.30312222222222224,1.0,0.21207752375093977
-2.0,0.2362942857142857,8.0,0.0018342857142857143,2.0,0.2927057142857143,-2.0,0.3085861111111111,-1.0,0.2715,2.0,0.18230931724730018
-3.0,0.1366473846428731,9.0,0.0005675,3.0,0.22866285714285714,-3.0,0.2738885714285714,-2.0,0.229145,3.0,0.154775
-4.0,0.06109117647058823,-1.0,0.2530142857142857,6.0,0.0535046511627907,-4.0,0.19056285714285714,-3.0,0.1765551282051282,4.0,0.1461625
-5.0,0.017637142857142858,-2.0,0.26900285714285715,7.0,0.03113888888888889,-5.0,0.13147714285714285,-4.0,0.10965714285714286,5.0,0.10833428571428572
-6.0,0.0038,-3.0,0.24215,8.0,0.015851428571428572,-6.0,0.07843714285714286,-5.0,0.06588857142857144,6.0,0.07635
-7.0,0.00045,-4.0,0.16508857142857142,9.0,0.009971428571428572,-7.0,0.044025,-6.0,0.04460571428571428,7.0,0.058522222222222225
-8.0,0.0001962962962962963,-5.0,0.09812285714285714,4.0,0.15613142857142856,-8.0,0.02204404341805512,-7.0,0.020219444444444446,8.0,0.032684034416826005
-9.0,0.0,-6.0,0.051347368421052635,5.0,0.08276931600903877,-9.0,0.007705364720596775,-8.0,0.009288571428571429,9.0,0.01978888888888889
