"Radius (cm) 1.0D","rms intensity 950 um (kW/m2-um-sr) 1.0D","rms intensity 675 um (kW/m2-um-sr) 1.0D","Radius (cm) 1.5D","rms intensity 950 um (kW/m2-um-sr) 1.5D","rms intensity 675 um (kW/m2-um-sr) 1.5D","Radius (cm) 2.0D","rms intensity 950 um (kW/m2-um-sr) 2.0D","rms intensity 675 um (kW/m2-um-sr) 2.0D","Radius (cm) 2.5D","rms intensity 950 um (kW/m2-um-sr) 2.5D","rms intensity 675 um (kW/m2-um-sr) 2.5D","Radius (cm) 3.0D","rms intensity 950 um (kW/m2-um-sr) 3.0D","rms intensity 675 um (kW/m2-um-sr) 3.0D","Radius (cm) 3.5D","rms intensity 950 um (kW/m2-um-sr) 3.5D","rms intensity 675 um (kW/m2-um-sr) 3.5D"
9.0,0.00080621895139935,0.00015922457228752162,9.0,0.01076064089472565,0.0014279436517254734,-9.0,0.04003474044569793,0.005468314846337888,9.0,0.013215488111408838,0.001744558918687621,-9.0,0.036147505284845,0.004937975456368573,9.0,0.05678291174885549,0.007942700436026504
8.0,0.0007197970984184623,0.00013554997434962526,8.0,0.01174193356350639,0.0015632433230752451,-8.0,0.057976321631552155,0.007900540553803749,8.0,0.026933270897496447,0.00361386356476264,-8.0,0.05134439932429899,0.006928954928436686,8.0,0.06922707433213544,0.009971979832094332
7.0,0.002527103414686307,0.0003271285992822963,7.0,0.026386063540268498,0.0036177193653636106,-7.0,0.07510529249784201,0.010310157853806678,7.0,0.03522120389093407,0.004719965248895948,-7.0,0.07532821484324996,0.010432091245559303,7.0,0.0805909680650914,0.011484498864045038
6.0,0.01232207375995349,0.0016820554859879153,6.0,0.041663711960193486,0.005764763951301886,-6.0,0.09212117358553167,0.013030150997783872,6.0,0.05787873432588745,0.007925764215272602,-6.0,0.099970067049426,0.013943326450651756,6.0,0.0903563304921538,0.012921929762945742
5.0,0.028351677482628002,0.003994573144357503,5.0,0.06911228374750364,0.010142056914941652,-5.0,0.11771010172503703,0.016724470406982953,5.0,0.06990235136206345,0.009781611084686503,-5.0,0.11584479076336211,0.01626124440845512,5.0,0.09921844113261924,0.014294415939870188
4.0,0.047655474925093345,0.007146742623055461,4.0,0.10269436935619886,0.015077392894777324,-4.0,0.14254657304356194,0.020667325655885162,4.0,0.10486710021658684,0.01483420385797559,-4.0,0.14779340469648047,0.020764568832106405,4.0,0.10870117666268456,0.015485596715945002
3.0,0.06711661517891285,0.009820220263616848,3.0,0.11763334583419353,0.01741572133668812,-3.0,0.14815765022409216,0.021682081214078348,3.0,0.13656651515587062,0.019655983996554435,-3.0,0.16131966254701552,0.02284689619191971,3.0,0.10719951743569865,0.015359035760983282
2.0,0.10180598711335515,0.014672359626507108,2.0,0.12518310114700176,0.018566436678448393,-2.0,0.1529956643501555,0.022556948912989865,2.0,0.16030274220176613,0.02313787616106018,-2.0,0.1674511134337298,0.023801029708396614,2.0,0.11760040620127003,0.016787261885408387
1.0,0.09525266517868614,0.013995305448397223,1.0,0.12388303274136438,0.01854838998934774,-1.0,0.15378042399671832,0.022964120164033774,1.0,0.16897303789147622,0.024582753694338454,-1.0,0.17117579613945522,0.024438083244189533,1.0,0.11925068358581026,0.017172059772717005
0.0,0.06754653912571133,0.009456229269524594,0.0,0.11329806014192535,0.016825971984906762,0.0,0.14778779946729623,0.021913235301075824,0.0,0.17712881431996935,0.025682807163673448,0.0,0.1799989668513933,0.025801430624760518,0.0,0.1313113715794003,0.01902225052192716
-1.0,0.0555870740181089,0.007720534987651272,-1.0,0.12075292344826663,0.017771004824566825,1.0,0.16006201172442483,0.0237257374332957,-1.0,0.17871881788586355,0.026123431024826282,1.0,0.17496618684504828,0.02492986225345958,-1.0,0.12877845829760295,0.01863082956991311
-2.0,0.0926561027269835,0.013047780549685613,-2.0,0.13232585172343417,0.01965546963198356,2.0,0.15279774562804352,0.022337607872444848,-2.0,0.17450758702482458,0.02535768002626557,2.0,0.16544437307509713,0.023593720520842434,-2.0,0.1257403147172704,0.018214897694106544
-3.0,0.11525625427675573,0.01634883061747569,-3.0,0.13360726364752792,0.019734614829199783,3.0,0.14525937498690517,0.021319277725141264,-3.0,0.16971692763747037,0.024675187459830425,3.0,0.13985281143659475,0.019771276893506284,-3.0,0.11552086988981287,0.016686987064878773
-4.0,0.09843514678417364,0.013731752377822686,-4.0,0.11984078215732909,0.01748375997047108,4.0,0.11336993728949006,0.016329162614523288,-4.0,0.14938948872931554,0.021560536799504232,4.0,0.12072012616311796,0.017047506362338188,-4.0,0.10091425247215643,0.014633573271820218
-5.0,0.060242759002200844,0.008596111832594004,-5.0,0.07924124113759123,0.011357021197368491,5.0,0.08926163366009462,0.012956651540782595,-5.0,0.13101146557890192,0.018728692666453804,5.0,0.10173615065745469,0.014103194047955238,-5.0,0.08939771155625158,0.012887784997133363
-6.0,0.03997021342092394,0.005824142535280812,-6.0,0.052978384864904415,0.0075353803195147145,6.0,0.05638505421686456,0.007948577282608602,-6.0,0.11145272172486227,0.015740681161997564,6.0,0.08199456871616581,0.011358021405948599,-6.0,0.07216638290746162,0.01027618454604055
-7.0,0.022609052112769864,0.003129538014897115,-7.0,0.028695395454940428,0.0038362726844584777,7.0,0.03969633591285547,0.005780123326272525,-7.0,0.09403292990059325,0.013071362737366985,7.0,0.05252159728251584,0.007101355456220729,-7.0,0.05572786565226699,0.007997912151722759
-8.0,0.002485156369434994,0.00032848516038952826,-8.0,0.008748070234028741,0.0010955026312872642,8.0,0.014784308078562902,0.001794876424319486,-8.0,0.07414681186852716,0.01014362072174295,8.0,0.04154097823527905,0.0056983001382298485,-8.0,0.047239126174431344,0.006688140310238665
-9.0,0.0006078443764898925,0.00012822459703249118,-9.0,0.0055060866094232865,0.0008867748549311053,9.0,0.009943139546410537,0.0012641488219265224,-9.0,0.04913935991562877,0.0065506111006381,9.0,0.024437045084956376,0.0032602592180149695,-9.0,0.030121985364203508,0.00420473627774157
