"Radius (cm), 1.0D","mean intensity 950 um, (kW/m2-um-sr),1.0D","mean intensity 675 um, (kW/m2-um-sr), 1.0D","Radius (cm), 1.5D","mean intensity 950 um, (kW/m2-um-sr),1.5D","mean intensity 675 um, (kW/m2-um-sr), 1.5D","Radius (cm), 2.0D","mean intensity 950 um, (kW/m2-um-sr),2.0D","mean intensity 675 um, (kW/m2-um-sr), 2.0D","Radius (cm), 2.5D","mean intensity 950 um, (kW/m2-um-sr),2.5D","mean intensity 675 um, (kW/m2-um-sr), 2.5D","Radius (cm), 3.0D","mean intensity 950 um, (kW/m2-um-sr),3.0D","mean intensity 675 um, (kW/m2-um-sr), 3.0D","Radius (cm), 3.5D","mean intensity 950 um, (kW/m2-um-sr),3.5D","mean intensity 675 um, (kW/m2-um-sr), 3.5D"
0.0,0.07824857644279856,0.009770618543246502,9.0,0.012260631889126844,0.0016321856343308844,9.0,0.00788307807413118,0.001061654114670894,-9.0,0.009657964062921718,0.0012837584847000443,9.0,0.010945765795631954,0.0015877587299149968,-9.0,0.0022673645528419623,0.00034134280960667577
-1.0,0.13091142939375294,0.0175437840546186,8.0,0.01765558399552263,0.0024215714978057653,8.0,0.012310345801416317,0.0018196919175615107,-8.0,0.009615769399639115,0.001239667914307881,8.0,0.027213903868989534,0.0037286978239929624,-8.0,0.007017207860603437,0.0009545663304404221
-2.0,0.14090747840920417,0.0197175817033154,7.0,0.03220462706633858,0.004654513802602737,7.0,0.03495117065102787,0.005090354872808421,-7.0,0.029774324409612724,0.004139685030963418,7.0,0.04161329380097829,0.006092838635602202,-7.0,0.013292284473617733,0.0019101427367486483
-3.0,0.08024259561101789,0.01179908257318828,6.0,0.06208595830723341,0.00974622292697138,6.0,0.0545837767073493,0.008345956717122198,-6.0,0.054809785207043084,0.008059073797787452,6.0,0.05446594434988236,0.007883933545313937,-6.0,0.02508972711097962,0.0036167013347916978
-4.0,0.03848048652141867,0.006088886099813907,5.0,0.08894507300791976,0.013966698070768398,5.0,0.09119515800402622,0.013699880761144015,-5.0,0.09066432016853568,0.013323207752116933,5.0,0.06736086277610137,0.009838661209002644,-5.0,0.03689850709967667,0.005352270659644726
-5.0,0.012309172618216452,0.0017546789793037388,4.0,0.13268170920031003,0.02041412065873457,4.0,0.11304139247244652,0.01706587479713196,-4.0,0.12919983911053687,0.01939534651332638,4.0,0.09132604074077783,0.013458523580197139,-4.0,0.04515954509266241,0.006475230750405802
-6.0,0.000958387360060191,0.0002305826541452977,3.0,0.1613986599235268,0.024395922941501905,3.0,0.15758159353633577,0.024188534507108832,-3.0,0.17810308198288882,0.02642963476958217,3.0,0.11679205885779538,0.017190640424061873,-3.0,0.059352933179896976,0.008601360572605172
-7.0,0.0004485589334335877,3.823059093774191e-05,2.0,0.17087248254140727,0.024579190480229517,2.0,0.20059663326596466,0.030380190932215712,-2.0,0.2153481592548644,0.031780556922768224,2.0,0.141551027088725,0.020973537748004208,-2.0,0.07088666538501351,0.010269001043998282
1.0,0.10163560066867915,0.012787983306140956,1.0,0.18332436665206167,0.02620648181554963,1.0,0.23462706175700201,0.0358638026135651,-1.0,0.23328713245196925,0.034569843772036514,1.0,0.16261580031301504,0.023907325652287384,-1.0,0.07549668897649807,0.010989631611219604
2.0,0.14417603364934575,0.019281021329550778,0.0,0.18405677460298936,0.02680218819381884,0.0,0.25893149744630756,0.038602090426225415,0.0,0.23052833962008504,0.033640338649834775,0.0,0.16195892988205216,0.02407609141794907,0.0,0.07242223252285454,0.010293035699958503
