"Radius (cm) 1.0D","Mean soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","Mean soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","Mean soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","Mean soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","Mean soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","Mean soot volume fraction (ppm) 3.5D"
-9.0,0.0,-9.0,7.469678946710202e-05,-9.0,,-9.0,0.00993819244482122,-9.0,,-9.0,0.0041618297362916775
-8.0,3.954681702376616e-05,-8.0,0.0008878369924724328,-8.0,0.004121668754955789,-8.0,7.256254669963584e-05,-8.0,,-8.0,0.00905025446108635
-7.0,0.001738667693914025,-7.0,0.004999422221556998,-7.0,0.00828630520192701,-7.0,0.0008334111781558908,-7.0,0.022250354440917056,-7.0,0.012147536605285012
-6.0,0.004918915964979418,-6.0,0.012218610085467726,-6.0,0.015270685229353,-6.0,0.0048702250135209835,-6.0,0.03720912404968218,-6.0,0.022374715393002405
-5.0,0.015184496289417967,-5.0,0.023997300970547798,-5.0,0.03539175482918711,-5.0,0.012488797430304907,-5.0,0.05007214404430951,-5.0,0.03351791767193899
-4.0,0.05376279205901977,-4.0,0.04980734881378289,-4.0,0.05007627689735658,-4.0,0.023901187587832974,-4.0,0.07683289057995485,-4.0,0.0443533959885631
-3.0,0.08946717571987738,-3.0,0.07453215967621751,-3.0,0.08000778764009187,-3.0,0.049488107149107445,-3.0,0.10007072884076139,-3.0,0.058229374208466037
-2.0,0.07604313153873726,-2.0,0.09281158288729212,-2.0,0.09173857913666823,-2.0,0.07410726623480013,-2.0,0.11095283620719602,-2.0,0.07175847889467481
-1.0,0.0409764303036915,-1.0,0.0936971094832623,-1.0,0.09038513785487283,-1.0,0.0927641617231363,-1.0,0.1187625798344146,-1.0,0.07595489728261069
0.0,0.05360123966088684,0.0,0.0901641441553105,0.0,0.0936971094832623,0.0,0.09099001714774929,0.0,0.12667297244349285,0.0,0.07962590570991372
1.0,0.06986500694146605,1.0,0.09155319857581637,1.0,0.08543971405359448,1.0,0.09042026842658195,1.0,0.12480894373689962,1.0,0.06680187366870427
2.0,0.05248983630848835,2.0,0.08237432882248094,2.0,0.06826079805276834,2.0,0.08850310861563356,2.0,0.10377643076199,2.0,0.06435723279298106
3.0,0.018115821320559427,3.0,0.05598831310623611,3.0,0.04990825474408427,3.0,0.08000051785619643,3.0,0.07202403042278716,3.0,0.05523205182891035
4.0,0.008088724997523689,4.0,0.03539175482918711,4.0,0.023997300970547798,4.0,0.0543379877875711,4.0,0.05216509442610369,4.0,0.052163359170725315
5.0,0.0038322182767807768,5.0,0.015270685229353,5.0,0.012475638789506865,5.0,0.03536141206042758,5.0,0.03813587536490002,5.0,0.04452404943464096
6.0,0.0015488929592447345,6.0,0.008486120968482367,6.0,0.004721500525507445,6.0,0.015322576312110127,6.0,0.02411295104161085,6.0,0.0362311617081122
7.0,0.00014715497783464372,7.0,0.004121668754955789,7.0,0.0007931682232668781,7.0,0.008498702863932759,7.0,0.0107932539136103,7.0,0.02972707370218997
8.0,,8.0,,8.0,7.469678946710202e-05,8.0,0.003764882914025123,8.0,0.007227549374155547,8.0,
9.0,,9.0,,9.0,0.011072998136373233,9.0,,9.0,0.002808016776019802,9.0,
