"Radius, (cm), 1.0D","RMS soot volume fraction, (ppm), 1.0D","Radius, (cm), 1.5D","RMS soot volume fraction, (ppm), 1.5D","Radius, (cm), 2.0D","RMS soot volume fraction, (ppm), 2.0D","Radius, (cm), 2.5D","RMS soot volume fraction, (ppm), 2.5D","Radius, (cm), 3.0D","RMS soot volume fraction, (ppm), 3.0D","Radius, (cm), 3.5D","RMS soot volume fraction, (ppm), 3.5D"
-7.0,0.006184672937323134,-9.0,0.011830931013569674,-9.0,0.054720913850462495,-9.0,0.0867804565303927,-9.0,0.05427937925597099,-9.0,0.04208461198859168
-6.0,0.02917386051518027,-8.0,0.02725354011480996,-8.0,0.0753677404934062,-8.0,0.08820395720261201,-8.0,0.07751731346654236,-8.0,0.07150490659204865
-5.0,0.08234430899841169,-7.0,0.06600747684896369,-7.0,0.112606264748042,-7.0,0.14757427755887012,-7.0,0.10706628483484824,-7.0,0.09596654950701129
-4.0,0.14334026303799713,-6.0,0.09934272679247483,-6.0,0.16545160912524592,-6.0,0.1915572850716864,-6.0,0.1600770425398629,-6.0,0.13273673277297987
-3.0,0.19678174436464038,-5.0,0.15003855825406723,-5.0,0.23613126643090598,-5.0,0.24175250908696436,-5.0,0.18860195704413532,-5.0,0.1575059828925901
-2.0,0.23973277830501882,-4.0,0.18581164713198578,-4.0,0.2574663149262541,-4.0,0.2760996313850096,-4.0,0.22849881029094982,-4.0,0.17640366705459024
-1.0,0.19976344798430662,-3.0,0.23894882197317174,-3.0,0.282947524187613,-3.0,0.31526949084726735,-3.0,0.27821043576284693,-3.0,0.19888978676367522
0.0,0.15937477934411057,-2.0,0.25432686627351403,-2.0,0.30009665851650824,-2.0,0.34185249267655987,-2.0,0.29989680398523383,-2.0,0.21509891294618114
1.0,0.19337840737103662,-1.0,0.2548710756097161,-1.0,0.3181800670168197,-1.0,0.34634275393912933,-1.0,0.3109697652474956,-1.0,0.22391695146783513
2.0,0.2248313763669368,0.0,0.23293353194447802,0.0,0.32729850215702744,0.0,0.3509368583289394,0.0,0.30791366474817045,0.0,0.21887053690181282
3.0,0.20880754950821812,1.0,0.2387929914855002,1.0,0.30516904796723343,1.0,0.3577350357684072,1.0,0.30801574481101596,1.0,0.2188018479632265
4.0,0.1427610287195173,2.0,0.2453660582600657,2.0,0.2979999859755703,2.0,0.33224464200621195,2.0,0.29234763079874415,2.0,0.22053153912960033
5.0,0.10233250756370048,3.0,0.2528942459183056,3.0,0.27705234471107787,3.0,0.30780039078226606,3.0,0.2726534086207072,3.0,0.21190048648204102
6.0,0.05227859387129675,4.0,0.244778227312932,4.0,0.24746835304409945,4.0,0.29447736695943094,4.0,0.24678125098751072,4.0,0.19062819570824355
7.0,0.024694398557502783,5.0,0.2158506220253956,5.0,0.23388947108587757,5.0,0.2595471551360695,5.0,0.2160516346987623,5.0,0.1674336107939396
,,6.0,0.18764587298773064,6.0,0.18691078659336338,6.0,0.22126233509860388,6.0,0.1983344027404323,6.0,0.13996425900057688
,,7.0,0.14273947232629444,7.0,0.15282595725457296,7.0,0.1970181408464594,7.0,0.17322432365178922,7.0,0.1268860720785967
,,8.0,0.11369928473771253,8.0,0.09510183421145721,8.0,0.14602130317358022,8.0,0.1405994875414115,8.0,0.10690829521774058
,,9.0,0.09583669017211269,9.0,0.07317218329212723,9.0,0.13719922706849846,9.0,0.09303705165220177,9.0,0.10162741604609125
